segment-id,segment-type,segment-speaker,segment-text
scene1,slugline,,Second draft script
desc1.0,desc,,With the support of the Media Programme of the European Union The SOUND of Muay Thai boxing... The Art of Eight Limbs... Thrust and move... Feet shuffling across the ring...
scene2,slugline,,INT. BACK ROOM - NIGHT
desc2.1,desc,,"CLOSE ON a pair of hands from VARIOUS ANGLES... The SOUNDS of the fighting grow LOUDER. Punches, kicks, elbows... The hands tense into fists. They're strong hands. Fighter's hands. ZOOM OUT TO REVEAL Julian (mid-thirties) staring at his hands. Even though he's kept in shape, he hasn't fought for a long time. The SOUND of the boxing match gets LOUDER STILL as Julian continues staring at his hands - it's almost as if he's meditating. Suddenly he breaths in. Behind him sits a young kid dressed in Thai boxing clothes - this is Liang, barely sixteen. He looks nervous, occasionally glancing at Julian's reflection through the huge mirror that hangs on the far wall. Julian continues to stare at his hands and closes them into a tight fist."
scene3,slugline,,INT. CORRIDORS - NIGHT
desc3.2,desc,,The SOUNDS of the boxing match reach FEVER PITCH as we TRACK WITH Julian and Liang making their way towards the ring.
scene4,slugline,,INT. THAI BOXING RING - NIGHT
desc4.3,desc,,"Two Young Thai Boxers beat the crap out of each other. The crowd is wild with excitement, people placing bets on which way the fight will turn. One of the Thai Boxers goes down and money immediately starts changing hands... The ring is cleared and Liang jumps in as Julian pushes his way though the crowd, nodding at people as he passes. They know him here. Again bets are placed.... PICK OUT a face in the crowd. Billy. Julian's older brother (late thirties). Julian sits down next to Billy who's delighted to see him, throwing his arm around him, pulling him in close."
utter4.4,utter,BILLY,... I love violence!
desc4.5,desc,,"Billy offers Julian a hit from his bottle of Mehkong whiskey. Julian refuses. He's more interested in the fight. BACK TO THE RING where the fight has just started. Liang is immediately on the ropes. Julian watches, concerned. Billy takes a phone call but he can't hear. He nods to Julian and takes it outside. BACK TO THE FIGHT where Liang pulls an amazing move. Turns the tables. Takes the bigger man down with a series of jabs, swings and backfists. As Julian applauds Liang's success, Billy slinks off out of the auditorium. Liang wins the fight with a knock out... The crowd go wild with adulation... Julian watches, transfixed... Liang is lit up by a beatific white light... As he stands triumphant in the middle of the ring, the crowd start to gather round him... Julian continues to stare at what's taking place before him... ... Which is almost like a religious ceremony... The audience bow down before Liang as he stares out into the light... A look of calm washing over his face... A sense of stillness and peace... Enlightenment through victory and violence..."
scene5,slugline,,EXT. BANGKOK STREETS - NIGHT
desc5.6,desc,,Billy stalks the streets of the city of vice. A man on a mission.
scene6,slugline,,INT. CHANGING ROOMS - NIGHT
desc6.7,desc,,"Liang is sitting on a bench, his constantly-smiling Mother beside him, as Julian peels off fifty Bhat notes. We get the sense that Julian's proud of him, that Liang is something of a protege of his and that Liang is incredibly pleased to have gained his approval."
utter6.8,utter,JULIAN,"Two fifty, three hundred..."
desc6.9,desc,,Liang takes the money. Julian pulls off two more notes. A bonus.
utter6.10,utter,JULIAN (CONT'D),"You did well out there. You've got something, Liang. Potential, yeah?"
desc6.11,desc,,Liang nods.
utter6.12,utter,JULIAN (CONT'D),Don't spend it all in once place.
scene7,slugline,,EXT. BACK ALLEY - NIGHT
desc7.13,desc,,Billy comes down a back ally and knocks on a door. After a moment the door opens. The Doorman recognises him and lets him enter.
scene8,slugline,,INT. UNDERGROUND NIGHTCLUB - NIGHT
desc8.14,desc,,WE TRACK with Billy as he makes his way through the small
scene9,slugline,,subterranean nightclub.
desc9.15,desc,,"A Thai man - known as The Lizard - sits by a table with a few locals gambling... He spots Billy and follows him with his eyes as he continues to gamble. Billy moves across to a small private corner... ... where he meets various men and women, all smoking Methamphetamine. Billy joins in but an argument quickly starts up between him and another Thai Man. The music's too loud to hear what they're arguing about but it suddenly gets out of control... Billy starts viciously hitting the Thai Man and quickly the room EXPLODES in a frenzy of violence."
scene10,slugline,,INT. BACK ROOM - NIGHT
desc10.16,desc,,"A fan does what it can to cool Julian down as he counts out money at his desk. Sitting opposite him, feet on the table, is Gordon, Julian's lieutenant and the closest thing to a friend he's got... Julian's phone rings. He interrupts his counting. Picks up and listens..."
utter10.17,utter,JULIAN,"(ON THE PHONE) Hold on, hold on. What did he say?"
desc10.18,desc,,"Beat as Julian listens. He glances over at Gordon who looks up, concerned."
utter10.19,utter,JULIAN (CONT'D),"(ON THE PHONE) No, tell him to stay there. Tell them both to stay there. Beat."
utter10.20,utter,JULIAN (CONT'D),(ON THE PHONE) I'm coming over.
scene11,slugline,,EXT. BACK ALLEY - NIGHT
desc11.21,desc,,"The Lizard sits outside the nightclub, somehow managing to smoke a cigarette at the same time as he stems the flow of blood from his nose with a handkerchief. Julian and Gordon arrive."
utter11.22,utter,JULIAN,He still in there?
utter11.23,utter,THE LIZARD,... No.
desc11.24,desc,,Beat... Julian glances at Gordon.
utter11.25,utter,JULIAN,You told him I was coming...
utter11.26,utter,THE LIZARD,Wouldn't listen...
desc11.27,desc,,Julian stares at him...
utter11.28,utter,JULIAN,Well maybe you didn't try hard enough. The Lizard takes the handkerchief away from his nose. Shows the bloodstain to Julian.
utter11.29,utter,JULIAN (CONT'D),When was the last time you slept?
desc11.30,desc,,The Lizard smiles but stares at Julian with hatred in his eyes.
utter11.31,utter,THE LIZARD,"Just cause I ain't slept for three days, don't mean I don't know right from wrong... and your brother has become a real problem..."
desc11.32,desc,,Again Julian stares at him - clenching his fist. The Lizard notices this but gazes up into Julian's face blankly.
utter11.33,utter,THE LIZARD (CONT'D),You're not going to cause another ruckus in my club now - are you?
desc11.34,desc,,A long pause as Julian considers it.
utter11.35,utter,JULIAN,No.
utter11.36,utter,THE LIZARD,Good - 'cause Billy ripped me off and then he broke my face...
desc11.37,desc,,Julian turns to Gordon.
utter11.38,utter,GORDON,Like I always said. One day he's going to meet the devil. Beat.
utter11.39,utter,JULIAN,You know where he is now?
desc11.40,desc,,The Lizard stares at Julian.
utter11.41,utter,THE LIZARD,"Bangkok has millions of people my friend. You and your brother, you're lost to my world..."
desc11.42,desc,,The Lizard gets up - puts out his cigarette and looks at Julian...
utter11.43,utter,THE LIZARD (CONT'D),So what you going to do? You wanna come in? Very good amphetamine in here...
desc11.44,desc,,Julian looks over to Gordon. Sees he's keen.
utter11.45,utter,JULIAN,You go. I'm gonna look around. See if I can find him.
utter11.46,utter,GORDON,Sure--?
utter11.47,utter,JULIAN,Go on.
desc11.48,desc,,He turns back to The Lizard.
utter11.49,utter,JULIAN (CONT'D),Which way'd he go?
desc11.50,desc,,"The Lizard nods his head towards the busy street. Julian turns and heads off... Gordon steps up to the entrance to the club. The Lizard sticks out an arm, blocking his way."
utter11.51,utter,THE LIZARD,His brother didn't pay.
utter11.52,utter,GORDON,So? That's his problem.
utter11.53,utter,THE LIZARD,Now it's your problem.
utter11.54,utter,GORDON,I'm with you mate. Billy's fucked--
utter11.55,utter,THE LIZARD,You don't pay his debt - you don't enter.
desc11.56,desc,,Gordon thinks for beat. Takes out his money...
utter11.57,utter,GORDON,How much...?
desc11.58,desc,,...and The Lizard smiles for the first time.
scene12,slugline,,INT. MA LONG'S BROTHEL - NIGHT
desc12.59,desc,,"Julian is talking to Ma Long, fifties, the mother figure to a group of girls who stand in the background."
utter12.60,utter,JULIAN,You seen Billy?
utter12.61,utter,MA LONG,Not this evening.
desc12.62,desc,,"A particularly pretty prostitute catches Juilan's eye. He stares at her, stone faced."
utter12.63,utter,JULIAN,"Well if he comes in, tell him I'm looking for him, yeah?"
utter12.64,utter,MA LONG,He's not coming in. I tell him to stay away. He hurt one of my girls Julian. Not good...
desc12.65,desc,,Julian considers. Pulls out his wad of notes again. Hands a few to Ma Long.
utter12.66,utter,JULIAN,"Yeah, well... if you see him, tell him I'm looking for him..."
desc12.67,desc,,Ma Long nods as she takes the money. Julian is about to leave. He looks at the pretty prostitute again. Stares at her for a moment. Then walks out.
scene13,slugline,,EXT. BANGKOK STREETS - NIGHT
desc13.68,desc,,Billy's so wasted he's bumping into people. He starts window shopping the various brothels that line the street: groups of girls smiling at him... Anything for a price... PICK OUT one particularly young-looking girl. Just fifteen. She makes eye contact with Billy... He smiles... Pulls out a roll of notes...
scene14,slugline,,EXT. BANGKOK STREETS - NIGHT
desc14.69,desc,,"Julian out in the middle of the road. Girls on the pavement, girls in the windows. A steady line of punters cruising past. He stands alone. Focussed. Watchful. An island in a sea of neon. It feels ominous. Like something really bad's about to happen..."
scene15,slugline,,INT. TAXI - NIGHT
desc15.70,desc,,"CLOSE ON Chang, mid-forties, a man who looks like he's carved out of stone. The neon lights bleed over his face in a seemingly unending flow as he's driven towards his destination."
scene16,slugline,,EXT. SEEDY HOTEL - NIGHT
desc16.71,desc,,Police cars are parked up outside. Chang gets out of his taxi. Pays the driver. Makes his way inside.
scene17,slugline,,INT. SEEDY HOTEL - NIGHT
desc17.72,desc,,"Chang makes his way up the stairs to a landing where a GROUP OF POLICEMEN are gathered. Their circle opens up as Chang approaches and they bow as he joins them - like he's a God. One of the group, Kim Han Ho, gestures towards the door of Room 610 where TWO COPS stand guard. Chang gives a nod and the door is opened."
scene18,slugline,,INT. ROOM 610 - NIGHT
desc18.73,desc,,"Chang stands silhouetted in the doorway. Stepping into the room he moves into the light in CLOSE UP. His face is a mask. The bed is drenched in blood. The fifteen year old prostitute lies naked on her back. She's dead, her body having been savagely beaten in some sort of brutal sex game gone wrong. Billy is slumped in the corner in his underpants, his eyes glazed, staring at MTV, a bottle of Mehkong whiskey in his hand, a crack pipe on the floor. Chang stares at him, giving nothing away."
scene19,slugline,,INT. ROOM 611 - NIGHT
desc19.74,desc,,The Hotel Owner serves tea to Chang who sits in silence with Lieutenant Kim. The door is open and we can see into room 610 across the corridor where Billy is still sat staring at the television.
scene20,slugline,,INT. HOTEL CORRIDOR - NIGHT
desc20.75,desc,,"A young cop, Daeng, who has been watching Chang, summons up courage to whisper to his superior officer, Phaiban."
utter20.76,utter,PHAIBAN,"(IN THAI) He was... Before Daeng can ask another questions, two more cops lead an"
desc20.77,desc,,"older Thai man, Choi Yan Lee (50's, overweight, dragged straight from his bed) down the corridor towards the crime scene."
scene21,slugline,,INT. ROOM 611 - NIGHT
desc21.78,desc,,"As Choi Yan Lee is delivered to the doorway, Chang gets up and goes over to him. A moment of uncertainty in Choi Yan Lee's face. Fear. He doesn't know why he's been brought here. He looks for some comfort from Chang. Chang gives him nothing."
scene22,slugline,,INT. ROOM 610 - NIGHT
desc22.79,desc,,Chang leads Choi Yan Lee to the doorway. Slowly Choi Yan Lee realises what he's looking at. His daughter. Dead. Mutilated. Every father's worst nightmare.
utter22.80,utter,CHANG,(IN THAI) Is this your daughter? Beat.
utter22.81,utter,CHOI YAN LEE,(IN THAI) Yes.
utter22.82,utter,CHANG,(IN THAI) How could you?
desc22.83,desc,,... but Choi Yan Lee just stares at his daughter. Finally:
utter22.84,utter,CHOI YAN LEE,(IN THAI) ... What?
utter22.85,utter,CHANG,(IN THAI) How could you let this happen?
utter22.86,utter,CHOI YAN LEE,(IN THAI) I didn't do anything.
utter22.87,utter,CHANG,(IN THAI) Well now's your chance.
desc22.88,desc,,A long moment between them as Choi Yan Lee fails to understand what Chang is suggesting. Chang stands back.
utter22.89,utter,CHANG (CONT'D),(IN THAI) Do what thou will.
desc22.90,desc,,"Choi Yan Lee nods. Chang leaves the room, closing the door behind him."
scene23,slugline,,INT. ROOM 611 - NIGHT
desc23.91,desc,,"Chang sits drinking tea in silence with Lieutenant Kim. The guards in the corridor stare at the closed door of Room 610 from where we hear the cries of Billy being beaten to death. ANGLE ON: Daeng who's starting to look scared. Phaiban puts a reassuring hand on his shoulder. As the beating reaches its climax, with Choi Yan Lee screaming out Thai obscenities, we hear the sickening sound of Billy's neck snapping. And then a regular thud as blow after blow rain down on his body."
scene24,slugline,,INT. ROOM 610 - NIGHT
desc24.92,desc,,"Chang opens the door and looks through. Choi Yan Lee is sitting breathlessly on the floor covered in blood. In his hand he holds a piece of wood he has ripped from a chair. Billy lies dead, his head completely smashed in."
scene25,slugline,,EXT. BANGKOK - NIGHT
desc25.93,desc,,A police car drives through the city streets and onto the freeway heading out of town.
scene26,slugline,,INT. POLICE CAR - NIGHT
desc26.94,desc,,"The bloodied Choi Yan Lee sits in the back, Chang on one side, Kim on the other. As the police car turns onto a more major road, Choi Yan Lee starts to get nervous."
utter26.95,utter,CHOI YAN LEE,(IN THAI) You missed my turning. I live that way.
desc26.96,desc,,"Beat. Chang says nothing. Phaiban is driving, Daeng in the passenger seat. Daeng looks back at them through the rearview mirror..."
utter26.97,utter,KIM,(IN THAI) We'll get you there.
scene27,slugline,,EXT. BANGKOK - NIGHT
desc27.98,desc,,The Police Car heads over the Mega Bridge and continues its way out of town.
scene28,slugline,,EXT. COUNTRYSIDE - NIGHT
desc28.99,desc,,"The bright white headlights of the stationary police car blind Choi Yan Lee who's caught in their glare, rigid with fear."
utter28.100,utter,CHOI YAN LEE (IN THAI),I'm so sorry. Please. Please. Please don't hurt me. I'm so sorry.
utter28.101,utter,CHANG (IN THAI),What are you sorry for?
utter28.102,utter,CHOI YAN LEE (IN THAI),I thought... You were there. He killed my daughter. I thought you were letting me...
utter28.103,utter,CHANG,(IN THAI) Answer the question. What are you sorry for?
desc28.104,desc,,Beat. Choi Yan Lee is wrongfooted. Tentatively...
utter28.105,utter,CHOI YAN LEE,(IN THAI) I killed the Westerner?
utter28.106,utter,CHANG,(IN THAI) And why did you do that?
utter28.107,utter,CHOI YAN LEE,(IN THAI) He killed my daughter.
utter28.108,utter,CHANG,(IN THAI) And why did he do that? Choi Yan Lee can't answer.
utter28.109,utter,CHANG (CONT'D),(IN THAI) How old was she?
utter28.110,utter,CHOI YAN LEE,(IN THAI) Fifteen...
utter28.111,utter,CHANG,(IN THAI) You knew what she was doing and you did nothing.
utter28.112,utter,CHOI YAN LEE (IN THAI),How else can we make money? Four daughters. No sons. What else could I do?
desc28.113,desc,,Daeng watches as Kim opens the boot and pulls something out. He walks towards Chang and hands it to him. Daeng sees that it's an axe.
