segment-id,segment-type,segment-speaker,segment-text
scene1,slugline,,Original story by
desc1.0,desc,,"Lee Unkrich, Jason Katz, Matthew Aldrich & Adrian Molina Screenplay by Adrian Molina & Matthew Aldrich"
scene2,slugline,,EXT. MARIGOLD PATH - DUSK
desc2.1,desc,,"A path of marigold petals leads up to an altar lovingly arranged in a humble cemetery. An old woman lights a candle as the smoke of burning copal wood dances lyrically upward... CARD: DISNEY PRESENTS CARD: A PIXAR ANIMATION STUDIOS FILM The smoke lifts up toward lines of papel picado - cut paper banners -- that sway gently in the breeze. PAPEL PICADO CARD: ""COCO"""
utter2.2,utter,MIGUEL (V.O.),Sometimes I think I'm cursed... 'cause of something that happened before I was even born.
desc2.3,desc,,A story begins to play out on the papel picado.
utter2.4,utter,MIGUEL (V.O.),"See, a long time ago there was this family."
desc2.5,desc,,"The images on the papel picado come to life to illustrate a father, a mother, and a little girl. The family is happy."
utter2.6,utter,MIGUEL (V.O.),"The papa, he was a musician."
desc2.7,desc,,The papa plays guitar while the mother dances with her
utter2.8,utter,MIGUEL (V.O.),"He and his family would sing, and dance, and count their blessings... (beat) But he also had a dream... to play for the world. (beat) And one day he left with his guitar... and never returned."
desc2.9,desc,,"The man walks down a road, guitar slung on his back. In another vignette his daughter stands in the doorway, watching her papa leave. Two feet step up next to her. It is her mama, hardened. She shuts the door."
utter2.10,utter,MIGUEL (V.O.),And the mama...? She didn't have time to cry over that walkaway musician! (beat) After banishing all music from her life...
desc2.11,desc,,The woman gets rid of all of her husband's instruments and
utter2.12,utter,MIGUEL (V.O.),She found a way to provide for her daughter... (beat) She rolled up her sleeves and she learned to make shoes. (beat) She could have made candy!
desc2.13,desc,,"Amongst the papel picado, a stick swings at a strung up pinata which bursts with candy..."
utter2.14,utter,MIGUEL (V.O.),Or fireworks!
desc2.15,desc,,Fireworks go off in the background...
utter2.16,utter,MIGUEL (V.O.),Or sparkly underwear for wrestlers!
desc2.17,desc,,Sparkly underwear and a luchador mask hang on a line amongst other linens...
utter2.18,utter,MIGUEL (V.O.),But no... she chose shoes...
desc2.19,desc,,"On the papel picado, the little girl becomes a young woman."
utter2.20,utter,MIGUEL (V.O.),"Then she taught her daughter to make shoes. And later, she taught her son-in-law."
desc2.21,desc,,She introduces a suitor to the family business.
utter2.22,utter,MIGUEL (V.O.),"Then her grandkids got roped in. As her family grew, so did the business."
desc2.23,desc,,"In the next vignette, a bunch of goofy grandchildren join in the shoemaking. The shoe shop is full of family!"
utter2.24,utter,MIGUEL (V.O.),"Music had torn her family apart, but shoes held them all together. (beat) You see, that woman was my great- great grandmother, Mama Imelda."
desc2.25,desc,,TILT DOWN from the papel picado to the
scene3,slugline,,OFRENDA ROOM - DAY
desc3.26,desc,,"where a photo sits at the top of a beautiful altar. The photo features MAMA IMELDA -- serious, formidable. She holds a baby on her lap. Her husband stands beside her, but his face has been torn away."
utter3.27,utter,MIGUEL (V.O.),She died WAY before I was born. But my family still tells her story every year on Dia de los Muertos -- the Day of the Dead... (beat) And her little girl?
desc3.28,desc,,"Fade from the face of the little girl to present day MAMA COCO (97), a living raisin, convalescing in a wicker wheelchair."
utter3.29,utter,MIGUEL (V.O.),"She's my great grandmother, Mama Coco."
desc3.30,desc,,"A boy (12) walks into frame and kisses her on the cheek. This is our narrator, MIGUEL."
utter3.31,utter,MIGUEL,"Hola, Mama Coco."
utter3.32,utter,MAMA COCO,"How are you, Julio?"
utter3.33,utter,MIGUEL (V.O.),"Actually, my name is Miguel. Mama Coco has trouble remembering things... But it's good to talk to her anyway. So I tell her pretty much everything."
desc3.34,desc,,QUICK CUTS of Miguel with Mama Coco:
scene4,slugline,,EXT. COURTYARD
utter4.35,utter,MIGUEL,I used to run like this...
desc4.36,desc,,Miguel pumps his arms with his hands in fists. Then he switches to flat palms.
utter4.37,utter,MIGUEL,But now I run like this which is way faster!
