segment-id,segment-type,segment-speaker,segment-text
scene1,slugline,,screenplay by
desc1.0,desc,,Brian Helgeland and Eric Roth based on the novel by
scene2,slugline,,Early Production Draft 1 EXT. DESERT LANDSCAPE (UTAH) - DAY 1
desc2.1,desc,,"Jagged mountains defy a dark, foreboding sky. We hear PLODDING HOOVES, CREAKING LEATHER. A lone wanderer appears. Wearing a long coat and a battered hat, he carries a bolt-action carbine. His name forgotten, history remembers him simply as THE POSTMAN. His laden pack mule, BILL, BRAYS, as they pass a battered sign: ""The Great Salt Lake Marina."" They start down a slope and begin to cross a..."
scene3,slugline,,DRY LAKE BED
desc3.2,desc,,"A bizarre, wind-swept sight. Dozens of boats resting lee- to on the dry, cracked earth. It's like God pulled the plug. Rusty mooring chains snake their way around house boats, ski boats and a cabin cruiser or two."
utter3.3,utter,WOMAN (V.O.),The last of the great cities died when my father was a child. Another victim of yet another war. The plagues followed. And the terrors. The living hid themselves away in tiny hamlets in hopes of surviving whatever new madness conspired to rob them of the little that remained. The Earth itself had fallen prey to chaos. For three years a dirty snow fell that even summer could not erase. The ocean was barren. Poisoned. Near death.
desc3.4,desc,,"As The Postman continues to cross, the CAMERA PULLS BACK. He's soon lost in the massive vista."
utter3.5,utter,WOMAN (V.O.),Sixteen long years passed before the great lungs started working again. My father said it was as if the ocean breathed a great sigh of relief...
desc3.6,desc,,"A RUMBLE of THUNDER. RAIN begins to fall. The earth just sucks it up at first, but it's coming hard. Rivulets run. Puddles form. We begin to get the feeling that soon these boats will be tugging at the mooring chains once again. TRACK a rivulet as it runs, filling up a depression in the sand. And then, running to fill another in a series of depressions. They make a pattern we recognize as --"
scene4,slugline,,MAN'S FOOTPRINTS
desc4.7,desc,,"These tracks may already be days old as they fill with rain water. Then, the sound of light, padded FOOTFALLS. A LION ENTERS FRAME. Lean, hungry and dangerous, the big cat has been tracking this man. He lets out a low, disappointed GROWL. The rain has foiled his dinner plans -- for now."
scene5,slugline,,2 EXT. HIGHWAY ON-RAMP (UTAH) - DAY 2
desc5.8,desc,,"A bullet-ridden sign reads: ""U.S. 84 North."" The Postman leads Bill down a barren 4-lane. Weeds poke up through the asphalt. The rusting hulk of a car rests in the median, covered in a tangle of purple wisteria. The Postman plucks a flower. He sticks it into a buttonhole and continues. BILL BRAYS woefully. In answer:"
utter5.9,utter,THE POSTMAN,"I don't know. And if you ask me again, I'm going to slug you."
desc5.10,desc,,"They near a sign: ""Thank You For Visiting Utah."" The Postman waves, shouts to the sign as he passes it."
utter5.11,utter,THE POSTMAN,"It's been fun, hasn't it, kids? (to the sign)"
scene6,slugline,,3 EXT. 4-LANE (IDAHO) - BILLBOARD - DAY 3
desc6.12,desc,,"Bill tugs up weeds as The Postman is climbing up a ladder on a highway that razor cuts the plains to the horizon. Above, The Postman sands atop a billboard catwalk. He references a tattered road atlas, scans the horizon through binoculars with one broken lens. He pauses at a Union 76 ball just visible above the tree line."
scene7,slugline,,4 EXT. HIGHWAY TRAVEL STOP (IDAHO) - DAY 4
desc7.13,desc,,"A 76 Station and the remains of a Howard Johnson's. Alert, carbine in hand, The Postman leads in the mule. Rusting cars sag on flattened tires. There's a stripped fire engine, its cracked hoses leading to the HoJo foundation which bristles with burned timbers. Bill stops to drink out of a stream. The Postman swats at him with his hat."
utter7.14,utter,THE POSTMAN,"Damnit, Bill, you know I need to check it first!"
desc7.15,desc,,Bill hangs his head. The Postman digs through his pack. He removes an old Tupperware container and replaces its contents -- a tiny sheaf of litmus papers and several small bottles -- with stream water. He adds a few drops from each bottle. Swirls it around. Then dips a tiny strip of paper into the water. The paper turns a vivid purple. The Postman is dubious.
utter7.16,utter,THE POSTMAN,"Better than turpentine. (touches some to his lips) Tastes about the same. Your call, Bill."
desc7.17,desc,,Bill drinks.
utter7.18,utter,THE POSTMAN,"You ain't picky, Bill. I like that about you."
desc7.19,desc,,"The Postman takes his carbine and a burlap sack and crosses to the 76 Station. An old extension ladder on the ground. The pole holding up the 76 ball has a 30-degree bend in it, like someone once tried to pull it over. Beyond the 76 ball, the sun sets -- but we here in the 20th Century have never seen such a wild riot of color before. The Postman tries the station door. Locked. Smiling ironically, he steps in through the blown-out window."
scene8,slugline,,5 INT. 76 STATION - OFFICE - DAY 5
desc8.20,desc,,"A shambles. The Postman kicks around the table. He finds a few beat-up CDs, flips through them. Reads the label."
utter8.21,utter,THE POSTMAN,'Running on Empty'? Tell me about it.
desc8.22,desc,,"Tossing it, he turns, stops. There, resting on a pile of trash is a bashed-in portable TV. The Postman smiles."
utter8.23,utter,THE POSTMAN,"Hey, Bill! We got TV! 147 channels. Everything from Jesus to 'Jeopardy'."
desc8.24,desc,,"He steps over, switches on the set. Nothing happens, but The Postman pretends just the same. He mimics static, then:"
utter8.25,utter,THE POSTMAN,"'Like sands through the hour- glass, so are the days of our lives...' (switching channels) 'Michael Shields, come on down, you're the next contestant on...'The Price is Right'.' (switching again) I'll take Domestic Nuclear thousand, Alex..."
desc8.26,desc,,The Postman stops suddenly. Click.
utter8.27,utter,THE POSTMAN,"We interrupt our regularly scheduled program to bring you the Second Civil War... Well, shit."
desc8.28,desc,,"The Postman stares at the blank screen a moment. There's a sudden, panicked RUSTLING from behind the service manager's desk. The Postman wheels around, raises the carbine."
utter8.29,utter,THE POSTMAN,"I don't want any trouble... I bet you don't either... Let's just call it a draw, okay?"
desc8.30,desc,,"Sudden MOVEMENT. The Postman shouts in surprise as a Doe dashes out from behind the desk. Scared, it bounds back and forth between the walls. Then freezes in the corner. The Postman sighs in relief, lowers the carbine."
utter8.31,utter,THE POSTMAN,"Look out, Bill!"
desc8.32,desc,,"The doe bolts for the window and runs right into Bill. Bill has a conniption fit. Investigating further, The Postman spots a cigarette machine. The front glass is smashed and all the slots are empty. But he looks down to the lock at the bottom. It's intact. He pulls a crowbar from the sack, crouches by the machine and digs the pry into a seam and pulls. The panel bursts open to reveal four half-open cartons of cigarettes. He doesn't believe it for a second. Then:"
utter8.33,utter,THE POSTMAN,I'm rich.
scene9,slugline,,6 EXT. 76 STATION - NIGHT 6
desc9.34,desc,,"Embers of a campfire glow. The Postman is asleep, the carbine in reach. BILL BRAYS and nervously stamps his hooves. The Postman reaches for the carbine only to find the barrel of a shotgun pointed in his face. Three BANDITS! Hard-eyed and ugly. One, barely 20, is mostly just ugly. The Postman looks down the barrels of a shotgun, a rifle and a revolver. The LEAD BANDIT kicks the carbine out of reach."
utter9.35,utter,THE POSTMAN,I'm just passing through. I don't mean anyone any harm. (re: stream) Water's good.
desc9.36,desc,,The Lead Bandit pokes at The Postman's shoulder with the muzzle of his rifle. The Postman knows why.
utter9.37,utter,THE POSTMAN,I'm not a Holnist.
desc9.38,desc,,"The Lead Bandit pokes again. Harder. The Postman opens his shirt, reveals his bare left shoulder."
utter9.39,utter,THE POSTMAN,Okay?
desc9.40,desc,,"They just stare at him, none saying a word. Creepy."
utter9.41,utter,THE POSTMAN,I'm headed for a town called St. Rose. Somewhere west of Portland.
utter9.42,utter,LEAD BANDIT,Portland's under twenty feet of water.
utter9.43,utter,THE POSTMAN,"Well, I heard different."
utter9.44,utter,LEAD BANDIT,You mouthin' me?
utter9.45,utter,THE POSTMAN,"No, it's just that it's hard to get good information."
desc9.46,desc,,"The third BANDIT, a HULKING brute, has been quiet."
utter9.47,utter,HULKING BANDIT,He is mouthin' you; I say we kill him.
utter9.48,utter,LEAD BANDIT,"Don't be in such a rush, Martin. (back to The Postman) Now I see a pack mule over there, but I don't see no packs."
utter9.49,utter,THE POSTMAN,This is all I got.
utter9.50,utter,LEAD BANDIT,"Oh... Kill him, Martin."
desc9.51,desc,,"The Hulking Bandit, raises his shotgun. The butt end. He's going to bludgeon The Postman to death."
