segment-id,segment-type,segment-speaker,segment-text
desc0.0,desc,,Mel Brooks
scene1,slugline,,INT. DAY. HALLWAY OUTSIDE OF MAX BIALYSTOCK'S OFFICE.
desc1.1,desc,,CLOSE-UP OF LITTLE OLD LADY. She blows a kiss and waves good- bye. CUT TO CLOSE-UP OF MAX BIALYSTOCK. He responds with similar gestures. CAMERA PULLS BACK TO FULL SHOT. Legend on frosted glass of Bialystock's office door reads:
scene2,slugline,,MAX BIALYSTOCK - THEATRICAL PRODUCER
desc2.2,desc,,"Little old lady begins to descend stairway. She stops, turns, blows another kiss and once more waves goodbye. Bialystock graciously answers in kind."
utter2.3,utter,BIALYSTOCK,Don't forget the checkee. Can't produce playees without checkees.
utter2.4,utter,LITTLE OLD LADY,"You can count on me-o, you dirty"
desc2.5,desc,,"young man. CAMERA BACK TO BIALYSTOCK'S FACE FROZEN IN A LITTLE GOODBYE SMILE. The little old lady's footsteps. Begin to fade. Bialystock's face quickly resumes its normal expression -- Despair and disgust. He then reaches into his vest pocket, pulls out an old-fashioned, pocket watch and earnestly consults its face. CAMERA STAYS WITH HIM AS HE RUSHES INTO HIS OFFICE. Bialystock moves with a quick shuffling gait to his desk. From the top of it he picks up a framed photograph. CAMERA INSERT: CLOSE-UP OF PHOTOGRAPH. It is face of little old lady who has just left. CAMERA BACK TO BIALYSTOCK. He opens desk drawer. It is filled with tagged keys. He picks up a key. CAMERA INSERT: tag on key reads: Investors file. CAMERA BACK TO BIALYSTOCK. With photograph in hand, he moves across his office to a large, double-doored cabinet. He unlocks cabinet. CAMERA SHOWS CABINET INTERIOR FILLED WITH HUNDREDS OF SIMILARLY FRAMED PHOTOGRAPHS OF LITTLE OLD LADIES. CAMERA BACK TO BIALYSTOCK. He places photograph in its proper niche and begins to look through the faces. CAMERA SLOWLY PANS ROWS OF PHOTOGRAPHS, BIALYSTOCK'S P.O.V."
utter2.6,utter,BIALYSTOCK,"(Voice Over) ""Hold me, touch me', 'hold me, touch me', 'hold me, touch me', where is 'hold me, touch me'? Ahhh... here we are. 'Hold me, touch me.'"""
desc2.7,desc,,"CAMERA STOPS PANNING AND REMAINS ON ONE OF THE PHOTOGRAPHS. Bialystock's hand moves into the frame and picks up photograph. CAMERA MOVES IN TO CLOSE-UP OF PHOTOGRAPH. DISSOLVE THROUGH TO MATCHING CLOSE-UP OF SAME FACE WE HAVE JUST SEEN IN PHOTOGRAPH. CAMERA PULLS BACK TO REVEAL LITTLE OLD LADY IN REAR SEAT OF LIMOUSINE. EXTERIOR. DAY. CAMERA KEEPS MOVING BACK TO EXTERIOR OF LIMO AS IT MOVES ALONG THROUGH NEW YORK'S THEATRICAL DISTRICT. LONG SHOT. 45Th street. Same limousine pulls up in front of one of the theatres that line the block. MEDIUM SHOT. Chauffeur briskly hops out, and smartly opens rear door. The little old lady emerges. She lowers her veil and furtively ducks into the building entrance."
scene3,slugline,,INT. MEDIUM SHOT. DILAPIDATED THEATRE OFFICE BUILDING.
desc3.8,desc,,"The little old lady enters. She raises her veil, chuckles gleefully, and begins to ascend the stairs. MEDIUM SHOT. Upon reaching the landing, she spots the first little old lady coming down. She quickly drops her veil. The first little old lady discreetly hides her face with her purse as they pass each other on the landing. DISSOLVE TO FOURTH FLOOR LANDING. The little old lady makes her way to the top. She hangs onto the banister for support as she catches her breath. She raises her veil, reaches into her purse, takes out a small flacon of perfume and sprays delicately behind both ears. Thoroughly composed, she approaches Bialystock's door. She raps on the door three times in quick succession, waits a moment, raps twice and then three times again. Suddenly the door is flung open. MEDIUM SHOT. MAX BIALYSTOCK"
utter3.9,utter,BIALYSTOCK,(leering) Darling!
desc3.10,desc,,MEDIUM SHOT OVER BIALYSTOCK'S SHOULDER. LITTLE OLD LADY.
utter3.11,utter,LITTLE OLD LADY,"(passionately) Hold me, touch me."
desc3.12,desc,,CUT TO TWO SHOT. Bialystock clutches the little old lady in a passionate embrace.
utter3.13,utter,BIALYSTOCK,Devil woman.
desc3.14,desc,,"Freeze action. SUPER-IMPOSE FIRST CREDIT: ZERO MOSTEL. Resume action. The little old lady giggles joyously and then slips from Bialystock's grasp, darts into the office and ducks behind the couch. She pops her head up. LITTLE OLD LADY Finder's keepers. Freeze action. SUPER-IMPOSE: TITLE OF FILM Resume action."
utter3.15,utter,BIALYSTOCK,"Here I come, ready or not."
desc3.16,desc,,Bialystock leaps through the air towards the couch. Freeze-action. CREDIT.
scene4,slugline,,Resume action.
desc4.17,desc,,Bialystock lands badly. He writhes in pain. Little old lady coquettishly crawls to him.
utter4.18,utter,LITTLE OLD LADY,What's the matter? Papa no want to play with baby?
utter4.19,utter,BIALYSTOCK,Ohhhhhh.
desc4.20,desc,,"Freeze-action. CREDIT. Resume action. Bialystock reaches out for her. She eludes him, darts into a chair, crosses her leg seductively, raises her skirt just above her knee revealing a golden rose and garter. Freeze-action. CREDIT. Resume action. Bialystock struggles to his feet."
utter4.21,utter,BIALYSTOCK,Come to Papa. Come to Papa do.
desc4.22,desc,,"Little old lady leaps out of her chair and poses, coyly. LITTLE OLD LADY To the victor go the spoils. Bialystock starts for her. She rushes around a chair and ducks behind it. Bialystock tiptoes on to chair and peeks over it."
utter4.23,utter,BIALYSTOCK,I'm gonna get you.
desc4.24,desc,,Freeze-action. CREDIT. Resume action. Cut to little old lady wedged between desk and back of chair. She straightens her legs and sends the chair hurtling across the room. CLOSE-UP OF BIALYSTOCK'S FACE: TERROR. Freeze-action. CREDIT. Resume action. Bialystock crashes into radiator.
utter4.25,utter,BIALYSTOCK,Ohhhhhhhh.
desc4.26,desc,,"Cut to little old lady. She is lying phone on the desk, preening herself and purring."
desc4.27,desc,,Meeow. Meeow. I wonder where Old Tom
desc4.28,desc,,"Bialystock, with great will, pushes the hate out of his face and replaces it with sweetness."
utter4.29,utter,BIALYSTOCK,Rowrrr.
desc4.30,desc,,"Bialystock glides in tom-cat fashion over to his preening pussy-cat. Freeze-action. CREDIT. Resume action. Bialystock finishes crossing to desk, puts his face down near hers and softly mews into her ear. She suddenly lets out a fierce howl as she rebuffs him with a savage swipe of her ""paw"". Bialystock grabs his stricken face with both hands and shrieks."
utter4.31,utter,BIALYSTOCK,"Aieeeeyiyiyiyiyi,"
desc4.32,desc,,CLOSE-UP OF BIALYSTOCK'S PAIN-RIDDEN FEATURES. Stop action. CREDIT.
scene5,slugline,,Resume action.
desc5.33,desc,,Bialystock falls into the chair moaning. She hops on to his lap. From his breast pocket she takes a handkerchief and tenderly dabs his cheek with it.
utter5.34,utter,LITTLE OLD LADY,"Oh, Bialy, Bialy, darling, did I hurt you?"
desc5.35,desc,,Freeze-action. CREDIT. Resume action.
utter5.36,utter,BIALYSTOCK,My hand. My hand. I can't turn my hand. (he turns his hand)
desc5.37,desc,,"There is a rapping at the door. We hear it, they don't."
utter5.38,utter,LITTLE OLD LADY,(taking his hand) Don't worry. I'll kiss it and make it well. (she smothers his hand with kissers)
utter5.39,utter,BIALYSTOCK,"(trying to rescue his hand) Enough. It's better. Please, Lambchop, it's better. Stop. You're hurting it again."
desc5.40,desc,,Cut to door. It opens. Leo Bloom enters.
utter5.41,utter,BLOOM,(his forward motion arrested by the unbelievable scene) How do you do. I mean... Excuse me... I mean...
utter5.42,utter,BIALYSTOCK,"You mean ooops, don't you? Say ooops and get out."
utter5.43,utter,BLOOM,I'll wait in the hall...
utter5.44,utter,BIALYSTOCK,Oooooooops!
utter5.45,utter,BLOOM,(backing out of door) Ooooooops.
desc5.46,desc,,Little old lady hops off Bialystock's lap and goes to door.
utter5.47,utter,LITTLE OLD LADY,I can't abide a peeping Tom. There's one in the apartment just opposite
desc5.48,desc,,my bedroom window. I swear that man NEVER takes his field glasses off me for a minute. She locks door and starts back toward Bialystock.
utter5.49,utter,LITTLE OLD LADY,Feeling better?
desc5.50,desc,,Bialystock nods his head in assent.
utter5.51,utter,LITTLE OLD LADY,"Good. Let's fool around. Now, I'll be the innocent little milk maid and you'll be the naughty stable boy. (she goes into her act) Oh, this milk is so heavy. I'll never"
desc5.52,desc,,reach the house. Help. Will someone help me?
utter5.53,utter,BIALYSTOCK,(stopping her) Wait. Wait. We can't play today. I have too many appointments.
utter5.54,utter,LITTLE OLD LADY,(crushed) We can't play today?
utter5.55,utter,BIALYSTOCK,Thursday. Thursday. We'll play Thursday. We'll play the Contessa and the chauffeur.
utter5.56,utter,LITTLE OLD LADY,"Oh, the best one."
utter5.57,utter,BIALYSTOCK,"(trying to steer her towards the door) Until Thursday, then, Contessa Mio."
utter5.58,utter,LITTLE OLD LADY,"(she sits on the sofa) Oh, Bialy, please, just a little. Just a little."
utter5.59,utter,BIALYSTOCK,(harassed) All right. All right.
desc5.60,desc,,"He squats down in front of her in chauffeur fashion, his hands on the wheel."
utter5.61,utter,LITTLE OLD LADY,"So, the Count hired you this morning, Rudolfo... Watch the road... Watch the road."
utter5.62,utter,BIALYSTOCK,I can't take my eyes off you. How can I drive when you drive me mad. Mad.
