segment-id,segment-type,segment-speaker,segment-text
desc0.0,desc,,NOTICE: This script and its contents are CONFIDENTIAL It is not to be reproduced or xeroxed without the expressed permission of Carolco Pictures.
utter0.1,utter,CAROLCO PicruRES,"LOS ANGELES, CA 90069"
scene1,slugline,,EXT. A FREEWAY - MORNING
desc1.2,desc,,"Her name is NOMI MALONE. She looks from a distance like a kid. She stands along the Interstate, outlined in the shadows of the setting sun. She's got a big American Tourister in front of her with a sign on it that says: ""Vegas"". The suitcase looks like it's been dropped from a plane or something. She's wearing a baseball cap, a worn black leather jacket, torn jeans, and time-kissed cowboy boots. She's got her thumb out. A sign near her says:"
scene2,slugline,,"""Salt Lake City -- 10; Las Vegas *-- 342."""
desc2.3,desc,,"cars and trucks roar by her and then a beaten-up, hard top Jeep pulls to a stop. We hear Garth Brooks BLASTING. The door swings open. She grabs her suitcase, goes up to it, looks the guy over warily. JEFF is in his :mid-20's. He has the lanky callowness of the urban cowboy."
utter2.4,utter,JEFF,"Hop in, pard. NOMI (hesitant) Where you goin'? Vegas. JEFF (grins)"
desc2.5,desc,,She looks at him warily.
desc2.6,desc,,"She hesitates, then as he opens the back door, she lifts the big suitcase into the back seat. A beat, a final hesitation, and she gets into the front seat. The Jeep roars onto the freeway."
scene3,slugline,,INT. THE JEEP - DAY
desc3.7,desc,,"The Garth Brooks tape is still BLARING. pressed against the door, and grins. Jeff looks over at her,"
utter3.8,utter,JEFF,You can sit a little closer if you want.
desc3.9,desc,,"And instantly she pops a switchblade open and holds it. looks at the blade, looks at her."
utter3.10,utter,",TEFF","It was a bad idea! Chill, okay?"
desc3.11,desc,,She holds the open switchblade casually.
utter3.12,utter,Jeff JEFF,"I'm chilled. A beat, as he drives. JEFF (grins) I sure am glad you're gonna be such good company."
desc3.13,desc,,"She looks at him a beat and, still holding the open switchblade, shuts Garth Brooks off and puts the radio on to the heavy metal."
utter3.14,utter,NOMI,I don't like Garth Brooksl
utter3.15,utter,JEFF (after a beat),Me neither! I don't know anybody that likes Garth Brooks. They sit there saying nothing.
desc3.16,desc,,"the blade in her hand. He drives. She stares ahead,"
desc3.17,desc,,"She says nothing, stares ahead. She takes her baseball cap off. Her hair falls down her back. He looks at her. She looks beautiful."
utter3.18,utter,JEFF,You got a name?
desc3.19,desc,,"She says nothing, stares ahead, listening to the music, lost in it."
utter3.20,utter,JEFF,"Look. I'll pull on over and you can get out, okay? I been drivin' all the way from Kansas. I'm tired and I ain't in the mood to get myself pig-stuck for doin' somebody a favor."
desc3.21,desc,,"She says nothing, stares ahead."
utter3.22,utter,JEFF,I'll pull on over.
desc3.23,desc,,"He starts to pull over. Without looking at him, she snaps the switchblade shut, but keeps it in her hand. A beat, as he drives."
utter3.24,utter,JEFF,So -- you got a name? Nomi.
desc3.25,desc,,"I'm Jeff. She pronounces it ""Noe-mi."" She doesn't even look at him."
desc3.26,desc,,She looks at him evenly.
desc3.27,desc,,She looks away from him again.
desc3.28,desc,,"She looks at him hard, holding the switchblade."
utter3.29,utter,JEFF (after a beat),I'm sorry. I'm sorry.
scene4,slugline,,INT. THE JEEP - TWILIGHT/NIGHT
desc4.30,desc,,"He drives; she stares straight ahead. Far ahead, shimmering in the setting sun, we see the Vegas skyline, the desert high-rises, surrounded by nothing."
utter4.31,utter,JEFF,There she is.
desc4.32,desc,,"He smiles; her face is deadpan, she stares straight ahead."
utter4.33,utter,NOMI,You been here before?
utter4.34,utter,JEFF,"Sure. I got an uncle. He's one of the hosts at The Riviera. I ain't never won, though. NOMI (quietly) I'm gonna win."
utter4.35,utter,JEFF,You gamble? No.
utter4.36,utter,",JEFF ( smi 1 es)",You gotta gamble if you're gonna win.
desc4.37,desc,,She looks at him.
utter4.38,utter,JEFF,You can use some of that Mafia money you got in that suitcase.
desc4.39,desc,,She looks away.
scene5,slugline,,EXT. PARKING LOT - RIVIERA - NIGHT
desc5.40,desc,,They are getting out of the car.
utter5.41,utter,JEFF,"I can talk tom~ uncle, see if he can help you get a Job."
desc5.42,desc,,"She is taking her suitcase out of the car. him suspiciously. She stops, looks at"
desc5.43,desc,,"She looks at him. in the car. A beat, and she decides to leave the suitcase"
scene6,slugline,,INT. THE RIVIERA HOTEL - NIGHT
desc6.44,desc,,"They are in the casino. There are hundreds of people even at this hour. There are slot machines everywhere -- the pulsating HUM and ever-present JINGLE of machine and money that is Vegas. She stares wide-eyed at this glittering, swirling world. JEFF (grins)"
desc6.45,desc,,"She shrugs. wallet. He grins, takes a ten dollar bill out of his"
utter6.46,utter,JEFF,"Here. You win, we SJ?lit it up. holdin' out on me, either."
desc6.47,desc,,A beat; and she takes the ten.
utter6.48,utter,JEFF,I'm gonna go see my uncle. you right back here.
scene7,slugline,,I'll meet
desc7.49,desc,,"He winks, grins, and heads away. She stares at this scene a beat, then goes up to a slot machine, stares at it."
utter7.50,utter,A CHANGE GIRL,Can I give you some change? NOMI (after a beat)
scene8,slugline,,INT. THE CASINO - LATER
desc8.51,desc,,"She is at a slot machine with a stack of quarters. She keeps plunking them in -- losing, losing, losing. And then she plunks a quarter in and coins cascade out of the machine. She stares at this cascading money, backs a little away."
desc8.52,desc,,"A beat, and then she laughs to herself. It is a little girlish laugh. She looks around excitedly for Jeff. He isn't there."
utter8.53,utter,ANOTHER CHANGE GIRL,Look at you!
desc8.54,desc,,She laughs with Nomi a little.
utter8.55,utter,THE CHANGE GIRL,You want to try silver dollars? NOMI (after a beat) Sure.
scene9,slugline,,INT. THE CASINO - LATER
