segment-id,segment-type,segment-speaker,segment-text
scene1,slugline,,Black screen
desc1.0,desc,,"SOUND OS -- a CHOKED BACK BREATH, GASPING, lungs looking for air, the struggle for life and we --"
scene2,slugline,,INT. LIMBO/WATER - ANOTHER TIME
desc2.1,desc,,"GASPING for BREATH continues, more relentless, harder, heavier and into the FRAME we SEE fragments, slowed into special motion, dreamlike, surreal: Dirty blonde hair lifts and tumbles; Bubbles POP through the murky water; A hand and then its attached arm swims, in trouble, trying to climb; And then floats as if disembodied, momentary; The SWIMMER drifts, then a brief effort twisting, signs of struggle; A leg pushes off the nothingness, threatened, an impossible fight; And the claustrophobic GASP, a last chocked back BREATH as other sounds begin to bleed in: the CRACKLE of a RADIO, a few VOICES MURMURING and then more clearly -- WOMAN'S VOICE (O.S.)"
desc2.2,desc,,"The water blurs opaque, into a murky veil of illusion and we"
scene3,slugline,,INT. FORD FIESTA - MORNING
desc3.3,desc,,The cracked windshield of a blue Ford Fiesta. The clouded form of the drowning SWIMMER is replaced by a small plastic day-glo cross that sways as the Fiesta is lifted up on a tow truck hoist. A PARAMEDIC jogs over to the car as
utter3.4,utter,PARAMEDIC (O.S.),"Hold it, hold on..."
desc3.5,desc,,The Fiesta stops its ascent. The passenger side door opens and the Paramedic reaches in and snares the bopping cross.
scene4,slugline,,EXT. CITY STREET - MORNING
desc4.6,desc,,"The Paramedic carries the plastic symbol over to a middle aged woman who's sitting on a stretcher, wearing a foam neck brace and looking totally relaxed. This minor fender-bender is an ignored sideshow on a quiet commercial street. As the woman reclaims her crucifix, a lanky MAN strides by, over-coated against the fall weather. We FOLLOW the MAN as he rounds the corner."
scene5,slugline,,EXT. ANOTHER CITY STREET - MORNING
desc5.7,desc,,"And as he walks on, he gazes out at a small Catholic Church ahead. St. Ursula's is a modest seminary sitting adjacent to the Church. And just in front, behind a chain link fence, is: An asphalt playground used by the Church's pre-school program. A group of CHILDREN play there in happy confusion, watched by TWO FEMALE DAY-CARE WORKERS."
scene6,slugline,,EXT. PLAYGROUND - MORNING
