segment-id,segment-type,segment-speaker,segment-text
scene1,slugline,,(just the dialogue)
desc1.0,desc,,"Yes, as confusing as this is going to be, this is just the dialogue to the film. There is no description, no character names. Just the entire film, quoted. For a more complete script, try to buy the excellent script book by Terry Gilliam and Michael Palin."
desc1.1,desc,,"""Yes folks, Moderna Designs presents the latest in kitchen luxury. The Moderna Wondermajor all-automatic convenience centerette gives you all the time in the world to do the things you really want to do. Add the infrared freezer-oven complex, that can make you a meal from packet to plate in fifteen and a half seconds."" ""The Morrises have got one that can do that in eight seconds."" Oh?"" ""Block of ice to boeuf bourguignon in eight seconds. Lucky things."" ""Dad, did you know that the ancient Greek warriors had to learn forty-four different ways of unarmed combat?"" ""Well, at least we've got a two-speed hedge-cutter."" ""They were trained to kill people twenty-six different ways with their bare hands, Dad."" ""Bedtime for you, Kevin. It's nine o'clock."" ""And this King Agamemnon, he was. . ."" ""Oh, go on, dear. Your father said."" . . .the man you all love to like, Kenny Lang. ""Well, that's today's top prize. Now let's meet today's star guests on Your Money or Your Life. Bring them on, girls. Oh, don't they look gorgeous? I'm sure they look lovelier every day, aren't you?"" ""Turn that light off."" ""It is off."" ""What the hell is going on up here? I told you to put that light out and go to bed."" ""But. . ."" ""And no more noise."" "". . .and it came off just like that. The whole thermostat. That's the toaster, the spreader, and the slicer, all gone. She's in a terrible state."" ""Should've bought German."" ""Well, that's what I said."" ""Mom. . ."" ""It would have matched her rotissamat."" ""Mom, Dad, can I g. . ."" ""You're going to bed in good time tonight."" ""Well, I was thinking of going to bed now, actually."" ""Now? Certainly not."" ""At least wait for your food to go down."" ""I haven't eaten any food."" ""Well, you must eat your food."" ""And then wait for it to go down."" ""Oh, no. Not the carvery again."" Oh, dear me, Beryl. Now all I want to know is, what famous film star begins with ""C"". Do you understand the question, my darling? Come on, Beryl, come on. Come on, or he'll end up in the souffle, Beryl. You've got to answer it, Beryl. Come on, come on, Beryl. ""It's gone down, now."" Come on, Beryl, come on. ""What?"" ""My supper. It's gone down. I can feel it. Can I go to bed, now?"" ""Yeah, all right. Off you go. And no noise."" ""What?"" ""No noise."" ""All right. Okay."" No, Beryl, Cape Town is not a film star. Oh, dear. Oh, well, that's Your Money or Your Life. ""I'd have taken the money."" ""What? With a kitchen like that?"" ""Our kitchen's all right, isn't it?"" ""Our kitchen? It's light years behind."" ""Where are we?"" ""I don't know."" ""Well, look at the map."" ""It's not on the map."" ""Is he coming after us?"" ""I don't know. I think we gave him the slip."" ""It's him. Run for it."" ""I can explain everything, sir. It's not as bad as it looks. We just borrowed the map, and sort of got rather happy about it, and ran off in high spirits."" ""Who are you?"" ""That's not him."" ""It didn't sound like him, did it?"" ""It doesn't even look like him."" ""It isn't him."" ""Let's get him."" ""Quick, Strutter, get his torch. Shine it right in the face. His face, dummy."" ""It's a kid."" ""Og, Fidgit, check the door."" ""All clear."" ""Strutter, the light. Right. Listen to me. Just tell us how we get out of here, keep quiet, and you won't get hurt."" ""Why don't you get out the way you came?"" ""Don't try to be smart with me, you little creep. If you want to play it smart, I'll introduce you to Vermin. He eats anything, you know."" ""I'm not trying to be smart. I'm just trying to help."" ""You know, don't you?"" ""I don't know anything."" ""You know, and you're not gonna tell us. Well, I'm getting angry, and Vermin here's getting hungry."" ""I don't know."" ""He's found it. The way out."" ""It's never done that before."" ""No, no, not like that. Wait for me to give the order. Right. Ready, one. . .stop, stop. You never start on one. Who ever heard of anybody starting anything on one?"" ""What is it, then? Two, or three? ""Three!"" ""He's found us."" ""Please, help us. Come on. Come on."" ""Who is that?"" ""Return what you have stolen from me. Return, return the map. It will bring you great danger. Stop now."""
utter1.2,utter,THE SCENE: Castiglione,"Where are we?"""
desc1.3,desc,,"""Og, stop."" ""We got away."" ""Get in here. Hold him, Strutter."" ""Shut up."" ""All clear. Wally?"" ""Here."" ""Strutter."" ""Here."" ""Fidgit?"" ""Yeah."" ""Where are we? What happened to my bedroom? Who was that man?"" ""That was no man. That was the Supreme Being."" ""You mean God?"" ""Well, we don't know him that well. We only work for him."" ""Shut up. Now, are we all here? Og, are you here? He's here. Vermin? Vermin, will you stop eating? Now, it's too dangerous to stay here. He's probably still after us, so we better keep moving. Hey, where are you going?"" ""Hey! Grab him."" ""Get him. He'll give us away."" ""Help. Help. Bombs."" ""Look what you've done, boy."" ""Sorry. What town is that?"" ""Castiglione. Or what Napoleon's left of it."" ""Napoleon?"" ""Yes. It's his city now. Come on, boy. You come with us."" ""No, thanks."" ""Come with us, if you know what's good for you."" ""You're going the wrong way."" ""Napoleon?"" ""Get down."" ""You nearly got us caught."" ""You silly fool. You could have ruined everything."" ""Do you know where we are?"" ""Shut up. 'Course I do. 1796, battle of Castiglione. See?"" ""Are you sure we're not in somebody's bedroom?"" ""Look, do you want to be leader of this gang?"" ""No, we agreed: no leader."" ""Right. So shut up and do as I say. Now, we've gotta get into the city."" ""We can't. The roads are too dangerous."" ""I've got an idea. We can use the river. Come on."" ""What are we going to do here?"" ""A robbery."" ""A robbery?"" ""Of course. We're international criminals. We do robberies."" ""Shut up. Right now."" "". . .aim, fire. . .aim, fire."" SCENE: Napoleon at the Puppet Show ""That's him."" ""You're not gonna rob him."" ""Yeah, every single penny he's got."" ""But that's Napoleon."" ""And he's rich."" ""Monsieur commander, I think that the mayor of Castiglione and his council would like very much to surrender now, please."" ""Look at. . .look at that. Look at the little fellow."" ""With this city, we have the whole area of western Lombardy at our feet."" ""Oh, go away."""
desc1.4,desc,,"""Mon commander, they are very keen to surrender. They have been here eight hours."" ""Don't stand so close to me, Negy. I've told you about that before. With you on one side and him on the other, it's like being at the bottom of a bloody well. Is it because you think I'm small?"" ""No, commander, you are not small. You are not small at all."" ""No, not by any means. Five foot one is not small."" ""Five foot one, and conqueror of Italy. Not bad, eh?"" ""Very, very good."" ""Very good, indeed."" [Puppeteer is shot] ""What has happened?"" ""Bravo. More. Encore. Encore."" ""Thank you. Thank you very much. I wonder if you would like to see some of our other items. We have Zuzu and Benny. And. . .on a unicycle. No? How about the Great Rambozo? He sings, and lifts heavy things. No. How about, uh. . ."" ""Come on."" "". . .this I think you'll like. It is very funny. The Three Idiots. From Latvia. It's very funny, eh? They swallow brushes."" ""No, no, they are all freaks. Not one of them under five foot six. What kind of theater are you running, huh?"" ""I'm, I'm sorry, sir. I've got a. . ."" ""No, no, more of the funny show, the little puppets hitting each other. That's what I like, little things hitting each other."" Like the wallpaper sticks to the wall Like the seashore sticks to the sea Like you never get rid of your shadow, boy"
desc1.5,desc,,Me and my shadow Strolling down the avenue. Me and my shadow
desc1.6,desc,,"And when it's twelve o'clock, we climb the stairs. We never knock, cause nobody's there. Me and my shadow"
desc1.7,desc,,"""Well, what do you think?"" ""Marvelous show. Young man, you stick with these boys, and you have a great future. You know, you are the best thing to happen to me since this whole campaign. You know, I come to conquer Italy because I thought they were all small, you know. I hear they was really tiny guys."" ""Sir, I really think there are more important things. . ."" ""Shut up! Don't you dare to tell me my business. You are dismissed, do you hear? You, Lucien, the rest of you. Great streaks of misery."" Tell -- business. ""But, sir. . ."" ""Non! I'm going to have some new generals for a bit."""
scene2,slugline,,[In the Dining Room]
desc2.8,desc,,"""Alexander the Great, five feet exactly. Isn't that incredible? Alexander the Great, whose empire stretched from India to Hungary, one inch shorter than me. Oliver Cromwell,1 the only man with any guts in British history, not a big man at all. Louis Catorze, five foot two half. Charlemagne, dumpy little five-footer. He's quite a little chap. Atilla the Hun, five foot one half. Cyrano deBergerac, five foot three half. Tamerlane the Great, four foot nine and three quarters."" ""Was he interesting?"" ""Strutter, wake up. Wake up. According to this map, there's a time hole outside. See if you can find it."" ""Right."" ""The rest of you: the hole disappears at twelve o'clock, right, so let's get moving. Vermin, Fidgit, the tapestry."" ""Hey, that's sixteenth century. Nice, isn't it?"" ""Get it! We're rich. Rich."" ""Ten-hut."" ""Come on, you've got thirty seconds left."" ""You found the time hole."" ""Yes."" ""Let's go. Come on, Kevin."" ""Ten-hut. About face."" ""Stop."" ""Go."" ""After them."""
scene3,slugline,,[The Middle Ages]
desc3.9,desc,,"""Oh, Sir Vincent! You came for me."" ""Oh, good Mistress Pansy. I could not have ridden faster. Four horses have I exhausted this day from Nottingham."""
scene4,slugline,,[Sherwood Forest]
