segment-id,segment-type,segment-speaker,segment-text
desc0.0,desc,,"""BAS.KET CASli:"""
utter0.1,utter,Frank Henenlotter,by Frank Henenlotter
scene1,slugline,,INT. PILLSBURY'S OFFICE.
desc1.2,desc,,"The lights are off. The soUJld of a key eaters a lock. The door opens aad DR. PILLSBURY enters, turning on the light . The room is a small, old-fashioned doctor's office where everything looks at least 50 years old. So does DR. PILLSBURY. He is also extremely upset. Placing his little black bag o* his desk , but not removing his coat, he goes directly to a metal filing cabinet, unlocks it, aAd takes out a medical chart: a aaaila folder stuffed with papers. He sits at the desk scanniug the pages. , CLOSEUP of the medical report as he skims through it. The information oa the pages is meallillgless to us since he flips through them * too fast to study. However , there appear to be many xerox reproductions of articals fro# textbooks and medical jour*als, copious ha.d- written notes ud eve* so# e photographs we ca.Jlllot #ake out. He returns to the notes on the first page. Two words, ttPARASITIC TERATA"" , are underscored aad easily staad out. So does ""DECEASED"", eta.aped ia red ink, which obscuree a section of the notes. Clipped to the top of the page is a xerox of a birth certificate which the doetor reaoTes. CLOSEUP DR. PILLSBURY. He raises the birth certificate and we suddenly see that there is not one but two birth certificates -- the second under the first. He looks at both, wipes his forehead and returns to the report. CLOSEUP BO?TOM of the first page. There are two doctors' names written there . The first is ""DR. HAROLD NEEDLEMAlf"" with a Maahattaa address &lld phone aumber. The other, ""DR. KUTTER"", just has ""N.Y.C."" next to it. PILLSBURY gra9s ~the telephoae, hesitates for a momeat, then diala. A woman answers. Nee,dleman ' s office ."
utter1.3,utter,PILLSBURY,Is the doctor in? This is his answering service. The
desc1.4,desc,,"doctor isn ' t here,"
utter1.5,utter,PILLSBURY,"Well how can I reach him? You must have another number -- his home phone? I'm sorry sir, I don't , Are you a patient?"
utter1.6,utter,PILLSBURY,No! I'm a colleague of his. Surely there must be some way I can reach him - - ? I! you'll leave your name and phone number I ' ll have the doctor call you back . Is this an emergency?
utter1.7,utter,PILLSBURY,Yes! Not a medical one but it's imperative the doctor reach me as soon Fine. Now what's your name and number?
utter1.8,utter,PILLSBURY,"Dr. Julius Pillsbury * ** b-u- r - y. Area code 518 , 395- 7788 , That ' s my home phone. That ' s where I'll be, And again let me stress the urgency of the doctor reaching me as soon as possible , I don ' t care how late it is! I ' ll give him your message, doctor."
desc1.9,desc,,"He puts the phone down and again wipes hie forehead. Gathering the medical chart together, he clamps it under hie arm, grabs his bag and leaves."
scene2,slugline,,EXT. STREET . NIGHT Outside PILLSBURY' S o!!ice. A small country town whose
desc2.10,desc,,"stores close at 6 and whose streets are deserted by 7. A healthy wind is blowing, scattering dead leaves every where . The DOCTOR comes out of his office artd ~uickly crosses the empty street. He gets into his car (a late model economy-car that ' s seea better days) and drives off ."
scene3,slugline,,"EXT, PILLSBURY' S HOME ."
desc3.11,desc,,"A large, old-fashioned gothic; not ""haunted house"" gothic but the kind you ' d see in a Norman Rockwell l)aintiag, Open front porch, white picket fence , etc, PILLSBURY ' s car drives up and the doctor gets out , Rushing up the porch steps, he stands before the front door tumbling with his keys, A souad, like someone gurling in an echo chamber, suddenly erupts behind him . But only tor an i nstant. He drops the keys and spins around. Nothing. Not a sound . No movement. Just the crickets . PILLSBURY stands t here staring . Slowly he squats down to pick up the keys, his eyes still glued to the darkness in front ot him. Then , quickly, he unlocks the door and hurries inside."
scene4,slugline,,"iNT, PILLSBURY'S HOME, LIVING ROOM."
desc4.12,desc,,"He shuts aitd bolts the door, puts his bag and the medical chart on his desk, and scurries into the kitchea."
scene5,slugline,,KITCHEN .
desc5.13,desc,,PILLSBURY grabs the wall phone and dials. VOICE ON PHONE Glens Falls Poli ce. Officer Ryan .
utter5.14,utter,PILLSBURY,"This is Dr. Pillsbury , I waat someone to -A noise echoes through the kitchen : like something"
desc5.15,desc,,"climbing up the side ot the house , The doctor jerks his head up , staring at the ceiliag ."
scene6,slugline,,EXT. SIDE OF THE HOUSE .
desc6.16,desc,,"Clo~eup of the colUlectio* where the telephone wire enters the house. An indistinct shadow passes across it as the line grows taut , gets pulled and is severed from the house."
scene7,slugline,,KITCHEN.
desc7.17,desc,,PILLSBURY hears the phone go dead .
desc7.18,desc,,He races i n to the living room.
scene8,slugline,,LIVING ROOM .
desc8.19,desc,,"Going to the front door , he rechecks the lock, this time puttiag on the chain . Then he moves to the windows, making sure they ' re locked and pulling down the shades. That doae, he runs back into the kitchen ."
scene9,slugline,,KITCHEN.
desc9.20,desc,,"PILLSBURY locks and pulls the shades down oa two of the three kitchen wiadows, then checks the lock on the back door. He pauses to look around. Only one more window to check -- the one over the sink . He leans over the sink and grabs hold of the lock when the window shatters as a monstrously deformed hand crashes through it. There are only four t wisted fingers on it, each of them 2 to 3 times the size and width of a normal human ' s. One of the digits is perhaps two inches thick and stretche& to 7 inches in height, Large swollen veins aad small suction cup protrueioas cover its baggy skin. It lunges for PILLSBURY's throat but misses, grabbing the lapel of his coat. The doctor s'truggles, all the while screaming, until he pulls himself free and runs back into the living room."
scene10,slugline,,LIVING ROOM .
desc10.21,desc,,"PILLSBURY ruas to a bureau , tugging on a stubborn drawer from which he removes a revolver and a box of bullets . As he loads the bull.eta into the gun ' s chamber, the lights gG off."
utter10.22,utter,PILLSBURY,Oh no * * * no
desc10.23,desc,,"We hear the box of bullets fall and scatter on the floor. Then the sound of another drawer tugged open and a match-being struck . PILLSBURY lights a candle when we hear, from elsewhere in the house , another window being slilattered and a loud , wet thud. The gurgling noise the doctor heard so briefly oa the porch now fills the house . An irregular plodding sound, like someone both stumbling and crawling , grows louder."
utter10.24,utter,PILLSBURY,(shouting) I've got a gun!
desc10.25,desc,,"He bends down , frantically picking bullets off the floor and inserting them into t he gun.* Finished , he holds the gun with both hands and thrusts it in front of him ."
desc10.26,desc,,"He fires wildly i nto the darkness, scattering his shots in every direction. On the sixth and last shot there is abrupt silence . CLOSEUP PILLSBURY. He freezes. For about five seconds there is deathlike quiet. He doesn ' t move a muscle . Not even blink. Nothing. Then from pr,actically beneath him , that same deformed hand reaches up and covers the doctor ' s face. It pulls him downward , out of camera range and into the darkness. His screaming is blended with the unearthly roar of t lte thing that ' s got him . For an instant PILLSBURY lurches up , t r yi rtg to get to his feet . Hia face and handa are covered with blood , hia clothing torn and shre*dded . But he is quickly pulled downward again. The doctor ' s screams now mix with a tearing and crunchiag as if he were being torn apar t . The camera pans from the fight to the desk where the doctor's bag and the medical chart are illuminated by the ca.Rdleligat. Hold on the medical chart as the doctor screams one last time and his blood spurts across it."
scene11,slugline,,INT . GREYHOUND BUS.
desc11.27,desc,,"Closeup of an attractive young man about 20 years of age. This is DUANE , our hero. On the seat to the left of him is a knapsack, not particularly full. On his lap he holds a large wicker basket, its cover tightly closed and clasped with a padlock. DUANE stares out the wi:adow, eyes wide and alert, as the bus approaches New York City. NEW ~ORK SKY=LINE from the bus window. Dusk. The sun is just going down. The sky is a bright red. THE BUS pulling into the Port Authority Terminal."
scene12,slugline,,INT. BUS.
desc12.28,desc,,"DUANE remains in his seat, waiting for the passengers around him to d~sembark. Then he puts on the knapsack , holds the basket tightly in front of him , and gets off."
scene13,slugline,,INT. PORT AUTHORITY.
desc13.29,desc,,"*ANE carries the basket to a group of seats, empty except for a few people asleep. He puts the basket down in front of him , resting his foot on tlte lid as if afraid it may suddenly run away. From his knapsack he removes a *fold-out map of Manhattan which he clumsily sprawls open across his lap and the seat *ext to him. THE MAP, hi s finger crossing it until it reaches the box marked ""PORT AUTHORITY"" and the -intersection of 11 8TH AVENUE"" and ""42ND STREET"" ."
scene14,slugline,,EXT . ST~ET.
