segment-id,segment-type,segment-speaker,segment-text
utter0.0,utter,THE NUN,Story by
desc0.1,desc,,James Wan and Gary Dauberman
desc0.2,desc,,A NUN. Sits on the edge of a bed.
scene1,slugline,,MONASTIC CELL
desc1.3,desc,,"This is SISTER VICTORIA, 20s. PUSH IN on her face. Wracked with emotion and fear. But a resolve hardens. She stands up. Decisive. On her bed, she lays out her Bible. Her Cross. A Vial of Holy Water. Neatly. Cleanliness is next to Godliness. She reaches over to a side table and picks up a ROSARY. Something about it seems off. Not sure what. Yet. Clutches it in her hand. As she turns and looks down at something by her feet. Kneels and picks up a COIL OF ROPE. Sister Victoria looks over at the WINDOW. Stands and walks over. The rope slinking like a serpent behind her. Pushes open the window. It swings out into the dark of night. She feels the breeze blow. Then she steps up onto the THE LEDGE Sister Victoria ties one end of the rope to the OUTSIDE BUTTRESS above her as BEHIND HER -The STURDY WOODEN DOOR of the Cell BLOWS OPENS. Uh-oh... Sister Victoria looks back. Not that she wants to. But is compelled to. Stares down the"
scene2,slugline,,LONG CORRIDOR
desc2.4,desc,,"Right outside her room. It's lined by TORCHES along the wall. That EXTINGUISH. One. By one. Closer. And closer. As a DARKNESS comes for her. And that expression on Sister Victoria's face tells us it's a darkness she knows. A darkness she fears. And as she slips the NOOSE END of the rope around her neck, Sister Victoria prays:"
utter2.5,utter,SISTER VICTORIA,Forgive me Lord for this sin I am about to commit... Sign of the Cross.
desc2.6,desc,,And then she steps off the ledge. Drops down and disappears.
desc2.7,desc,,"Rope taut. The Window slowly swings back. And in the reflection of its glass, the BLACK SILHOUETTE of THE NUN. Standing next to the Last Torch outside the door. Doesn't move. Just stares outside. Or at us? Before That Last Torch goes out too. Plunges us into DARKNESS. Over which we HEAR an Old French Canadian Folk Song. Sung pretty poorly. VOICE (O.S.) A la claire fontaine m'en allant"
utter2.8,utter,The Terrible Troubador.,Wheeling a cart of supplies. He'd tell you to call him 'FRENCHIE' because everyone else does. 20s. With features as
desc2.9,desc,,rough as his voice and the surrounding
utter2.10,utter,ROMANIAN COUNTRYSIDE,VOICE/FRENCHIE
desc2.11,desc,,"J'ai trouve l'eau si belle que je m'y suis baigne... Stops his song when he hears -CAW. Of a Crow. Somewhere over by that CASTLE we only see glimpses of through the branches of the trees as Frenchie approaches. Breaking through the trees, he sees a MURDER OF CROWS picking over something hanging close to the castle wall. Like it's a giant bird feeder. The hell is that? He edges himself closer. Something drips drip drips from it to the ground. Collecting in puddle. It's blood. Drawing nearer, Frenchie looks up and sees Sister Victoria hanging above him. Crows pecking at her eyes and face. Oh God..."
desc2.12,desc,,"He steps back as -Snap! Of the rope. Sister Victoria falls to the ground. Crows SCATTER. Fluttering, flapping wings obscuring our view until it's completely -BLACK. ON SCREEN: The following occurred in 1952. Then it slides across our screen with the black, and a dusty dimmed light filters through a LATTICED OPENING inside a"
scene3,slugline,,CONFESSIONAL
desc3.13,desc,,"Revealing FATHER MICHAEL BURKE, 40something. Head bowed. As if he's deep in reflection. Doesn't look up as he hears 9 year old TIMOTHY'S thin, prepubescent voice begin:"
utter3.14,utter,TIMOTHY (O.S.),"Forgive me, Father, for I have sinned. It's been one week since my last confession... Burke grunts: Go on..."
utter3.15,utter,TIMOTHY (O.S.) (CONT'D),"I still hate my sister. She pulls my hair, tells me she hates me, breaks my toys... Crow."
utter3.16,utter,FATHER BURKE TIMOTHY (O.S.),"Excuse me, Father? ON FATHER BURKE"
desc3.17,desc,,Jotting CROW with his pen into the nowhere-near-complete PHILADELPHIA INQUIRER CROSSWORD PUZZLE on top of his Bible.
utter3.18,utter,FATHER BURKE,"I don't need to hear your sisters sins, I need to hear yours."
utter3.19,utter,TIMOTHY (O.S.),"But I feel like I've been pretty good this week, Father. My sister on the other hand -Timothy."
desc3.20,desc,,Burke looks up from his crossword.
utter3.21,utter,FATHER BURKE (CONT'D),God already knows your sins. Part of confession is His desire to know if you do too...
utter3.22,utter,TIMOTHY,"Yes, Father."
utter3.23,utter,FATHER BURKE,"We'll try again next week. Go in peace and pray for me, a sinner."
desc3.24,desc,,"As we hear Timothy slip out, we hold on Burke. A sinner. His eyes drop down to 'CROW'. Somewhere we hear it SQUAWK -CUT TO: -- in the Forever Blue Skies above"
scene4,slugline,,ST. DOROTHY'S CHURCH
desc4.25,desc,,"Father Burke stands in the shadows of its steeple and surrounding trees. He lights a cigarette. I know, I know. But times were different back then. He watches a YOUNG FAMILY exit the Church. Brother and Sister walking behind their parents. Sister pulls Brother's hair. Brother -- must be TIMOTHY -- whips around. He spots Father Burke. Points to his sister: Didja see that? I told you! Burke shrugs Whaddayagonnado? Watches them go. His smile fades as they do. His thoughts interrupted by FATHER RAFAEL OLVERA, 20s. Tugging at his vestments, nervous."
utter4.26,utter,OLVERA,Father Burke.
desc4.27,desc,,Burke turns: Yes?
utter4.28,utter,OLVERA (CONT'D),You have a call. It's Rome. HOLY SHIT:
scene5,slugline,,A WORLD WAR II CHAPLAIN KIT.
desc5.29,desc,,"Lined with red velvet. Containing candles. Communion trays. Bread plates. And a silver chalice. All look like they've been through, well... war. It sits on a shelf inside FATHER BURKE'S OFFICE It's as scattered as Father Burke seems to be as he signs last minute papers and packs away some belongings. Olvera watches him. Even more nervous."
utter5.30,utter,OLVERA,What did they say?
utter5.31,utter,FATHER BURKE,They said 'Come to Rome.'
utter5.32,utter,OLVERA,Do you know why? No.
utter5.33,utter,FATHER BURKE OLVERA,How long will you be gone?
utter5.34,utter,FATHER BURKE,I don't know.
utter5.35,utter,OLVERA,Do you think it's because of what happened in Eus?
desc5.36,desc,,Father Burke shoots him a look: Enough. That's clearly a subject Olvera should know better than to bring up.
utter5.37,utter,OLVERA (CONT'D),"Just one more thing. Jeezus, this guy."
utter5.38,utter,OLVERA (CONT'D),May I come? I've never been.
desc5.39,desc,,Father Burke looks at him. As if he's deciding. Then:
desc5.40,desc,,And somewhere we hear a PLANE TAKE OFF as we -CUT TO:
desc5.41,desc,,Maybe you find some public domain footage or maybe it's just a PHOTOGRAPH of St. Peter's Square that hangs on the wall of
utter5.42,utter,THIS STUDY,"Buried somewhere deep inside the Vatican. People like you and me aren't supposed to be in places like this so consider yourself lucky. Serious talk goes down here. Like right now,"
desc5.43,desc,,judging by the expression on the face of -CARDINAL CONROY. 60s. Although he doesn't smile so easily anyway. If ever. He sits across from Burke with Another Cardinal and Two Bishops.
utter5.44,utter,CARDINAL CONROY,The last time you were here was -what? Six or seven years ago?
utter5.45,utter,FATHER BURKE,"After my time as a Chaplain ended in the war, yes."
desc5.46,desc,,Cardinal remembers. Glances over at the Others. Shifting in their seats. Like the less said about that the better.
utter5.47,utter,CARDINAL CONROY,"Well, we appreciate you coming again on such short notice."
utter5.48,utter,FATHER BURKE,"Cardinal, with all due respect, I told you on the phone I wouldn't -CARDINAL CONROY And I told you on the phone that this one is different. Like it or not Father Burke you are a member of this group -FATHER BURKE Member? It isn't official -CARDINAL CONROY -- and for good reason too. But I must say I'm surprised at your hesitation. I thought you'd jump at the chance to get away from confessionals and crosswords for a time... On Father Burke. How'd you know about the crosswords?"
utter5.49,utter,CARDINAL CONROY (CONT'D),I like to think it's called the Holy See for more reasons than just the Bishop of Rome...
desc5.50,desc,,"Ahem. BISHOP PASQUALE leans forward, in an effort to steer"
utter5.51,utter,BISHOP PASQUALE,"We received a report that a Nun took her own life at a cloistered convent near Brasov, Romania..."
utter5.52,utter,FATHER BURKE,Catholicism is under siege by communism in that part of the world. Towns being invaded. Priests and Nuns killed or imprisoned. A suicide is a terrible sin but it doesn't strike me as a strong enough reason for our reunion given the pressures of the political
desc5.53,desc,,climate in the region.
utter5.54,utter,CARDINAL CONROY,But the news of it would not bolster our argument to keep with faith and the Church...
desc5.55,desc,,Father Burke leans back. Like this is a game of cards and he's trying to get a read on their hands. Pasquale slides a FILE across the table. Like he's throwing more money into the pot.
utter5.56,utter,BISHOP PASQUALE,These are your travel documents along with contact information on the man who found the nun. You'll no doubt want to speak with him first...
utter5.57,utter,CARDINAL CONROY,Also in the file is the name of a postulant who can help assist you in your inquiry since of course you actually won't be allowed to enter the convent. She is also familiar with the territory...
desc5.58,desc,,They sit. They wait. As Father Burke makes no moves toward the file. Because he knows:
utter5.59,utter,FATHER BURKE,You're not telling me something.
utter5.60,utter,CARDINAL CONROY,What makes you say that.
utter5.61,utter,FATHER BURKE,Because we're in the Vatican.
desc5.62,desc,,That gets the Cardinal to smile.
