segment-id,segment-type,segment-speaker,segment-text
scene1,slugline,,THE CASTLE
utter1.0,utter,David Scarpa,Rewrite
desc1.1,desc,,"THIS MATERIALIS THE PROPERTYOF DREAMWORKS PICTURES AND IS INTENDEDAND RESTRICTED SOLELY FOR DREAMWORKS PICTURES PERSONNEL. DISTRIBUTION OR DISCLOSURE OF THIS MATERIALTO UNAUTHORIZED PERSONS IS PROHIBITED. THE SALE, DISPLAY, COPYING OR REPRODUCTIONOF THIS MATERIALFOR ANY REASONIN ANY FORM, INCLUDING BUT NOT LIMITED TO DIGITAL OR NEWMEDIA, IS ALSO PROHIBITED"
scene2,slugline,,EXT. USDB - DAWN
desc2.2,desc,,"the approach road to a massive military A lone JEEP drives set back behind a series a hulking dark presence, Lights are still on: glowing haloes of carbonof fences. arc yellow."
utter2.3,utter,Castles,haven't changed much down the centuries. There have always been walls ...
desc2.4,desc,,The camera glides over the face of the OUTER WALLof the
utter2.5,utter,facility,"a hundred years ago, it looks like it could last ten thousand more. ... and gates ... The jeep slows at a fence gate,"
utter2.6,utter,Personnel,Only. (cont'd) by a sign MAN (V.O.) (cont'd) ... and men to guard them.
desc2.7,desc,,"A SOLDIER steps out of the gate hut, sees jeep and salutes. The jeep rolls"
utter2.8,utter,Castle,arms.
utter2.9,utter,driver,"MAN (V.O.) (cont'd) walls have always held high positions to fire from ... in a GUNTOWER,high-powered ... and places"
utter2.10,utter,in his,"MAN (V.O.) (cont'd) to run a flag. orange light of the day reaches SOLDIERS in crisp, practiced moves, Building. unfold a FLAG, hook it to a line and pull it up a flagpole. MAN (V.O.) (cont'd) The only difference between this"
utter2.11,utter,castle,"and the countless others built over the last 8,000 years is that they were built to keep people out."
utter2.12,utter,Karen Goldberg,was built to keep people
scene3,slugline,,castle
desc3.13,desc,,"A horn sounds, the cell doors all slide open and the men step out, clutching towels and toothbrushes. They all stop, in unison. A VOICE barks out a command, the men turn on their heels and walk."
scene4,slugline,,EXT. OFFICERS' PARKINGLOT - DAWN
desc4.14,desc,,"The jeep drives up. The door opens and out gets COLONEL WINTER, 48, the Commandant of the USDB. You could cut wood He looks up at the flag and with the crease on his pants. the soldiers on the roof. heads heels. in hand."
scene5,slugline,,INT. ADMINISTRATIONBUILDING - SALLY PORT - DAWN
desc5.15,desc,,"Winter is buzzed through a sally port,"
desc5.16,desc,,"as he goes. He's met on the other side by LT. PERETZ, 40. Peretz salutes. Good morning,"
utter5.17,utter,Lieutenant.,Winter returns
desc5.18,desc,,they walk.
desc5.19,desc,,hands him a cup of coffee
utter5.20,utter,COLONELWINTER (cont'd),"How are we this morning? (off his clipboard) population, and 2 in PC."
desc5.21,desc,,They turn and head up the
scene6,slugline,,INT. WINTER'S OFFICE - DAWN
desc6.22,desc,,blinds and Peretz enter. Prominent in the room is a glass across one wall filled with artifacts
desc6.23,desc,,are drawn and the office is dark.
desc6.24,desc,,Winter nods. He tosses his briefcase
desc6.25,desc,,"opens the curtains, a view of ... desk."
utter6.26,utter,Peretz,"exercise area of the Castle (dirt running track, hoops, weight pile). The Yard is flanked by the Administration Building, the Tiers and the outer walls. INMATES are spilling out of the Tiers. One other thing, sir."
utter6.27,utter,The Hispanic,inmates are complaining they're smaller portions than the black inmates in the mess. They feel it's due to the predominance black inmates on food service detail.
utter6.28,utter,Winter,Yard.
desc6.29,desc,,shakes head as he looks
utter6.30,utter,COLONELWINTER,Another matter of life and death. (beat) Get me their duty roster.
scene7,slugline,,INT. MESS HALL - DAY
utter7.31,utter,Lunch.,"All the inmates serving up the food are LATINOS and they are having a great time, giving their pals huge servings,"
desc7.32,desc,,while doling out the minimum allowable
desc7.33,desc,,and WHITES. One huge black inmate -- THUMPER-- is most by the small portions on his plate. He yells the man behind the counter
utter7.34,utter,-- MIGUEL.,You can't That's
utter7.35,utter,THUMPER,"feed a squirrel regulation, man. (MORE)"
utter7.36,utter,Karen Goldberg LATINO FOOD SERVER (cont'd),"You got a problem, you take it up with the Colonel. (to next guy) Hey, ese! You look hungry. Here you go."
desc7.37,desc,,"Miguel slops down an extra helping Thumper steams, keeps moving. on the guy's plate."
scene8,slugline,,EXT. THE YARD - DAY
desc8.38,desc,,INMATES spill
scene9,slugline,,the Yard after lunch.
desc9.39,desc,,Two guards -- SGT. MCLARENand PVT. NIEBOLT -- are standing near an ANCIENT STONE WALLin the middle of the Yard. They are handing out picks and sledgehammers to four white
desc9.40,desc,,"BEAUPRE, DARNELL, WITTBRODTand TUCKER, all exGreen Berets;"
desc9.41,desc,,Beaupre grabs a sledgehammer and climbs
utter9.42,utter,He starts,pounding on the trying to break them loose.
desc9.43,desc,,"a ladder to the top top layer of stones,"
utter9.44,utter,AGUILAR (O.S.),The m-m-mortar is weak. Beaupre
desc9.45,desc,,looks
desc9.46,desc,,M-m-maybe if The fuck a sweet-faced Latino.
utter9.47,utter,AGUILAR (cont'd),you--
utter9.48,utter,BEAUPRE,"you doing, taco?"
