segment-id,segment-type,segment-speaker,segment-text
desc0.0,desc,,"""THELMA & LOUISE"""
desc0.1,desc,,Final shooting script
scene1,slugline,,INT. RESTAURANT - MORNING (PRESENT DAY)
desc1.2,desc,,"LOUISE is a waitress in a coffee shop. She is in her early- thirties, but too old to be doing this. She is very pretty and meticulously groomed, even at the end of her shift. She is slamming dirty coffee cups from the counter into a bus tray underneath the counter. It is making a lot of RACKET, which she is oblivious to. There is COUNTRY MUZAK in the b.g., which she hums along with."
scene2,slugline,,INT. THELMA'S KITCHEN - MORNING
desc2.3,desc,,"THELMA is a housewife. It's morning and she is slamming coffee cups from the breakfast table into the kitchen sink, which is full of dirty breakfast dishes and some stuff left from last night's dinner which had to ""soak"". She is still in her nightgown. The TV is ON in the b.g. From the kitchen, we can see an incomplete wallpapering project going on in the dining room, an obvious ""do-it- yourself"" attempt by Thelma."
scene3,slugline,,INT. RESTAURANT - MORNING
desc3.4,desc,,Louise goes to the pay phone and dials a number.
scene4,slugline,,INT. THELMA'S KITCHEN - MORNING
desc4.5,desc,,Phone RINGS. Thelma goes over to answer it.
utter4.6,utter,THELMA,(hollering) I got it! Hello.
scene5,slugline,,INT. RESTAURANT - MORNING
utter5.7,utter,LOUISE,"(at pay phone) I hope you're packed, little housewife, 'cause we are outta her tonight."
scene6,slugline,,INT. THELMA'S KITCHEN - MORNING
utter6.8,utter,THELMA,"Well, wait now. I still have to ask Darryl if I can go."
utter6.9,utter,LOUISE (V.O.),"You mean you haven't asked him yet? For Christ sake, Thelma, is he your husband or your father? It's just two days. For God's sake, Thelma. Don't be a child. Just tell him you're goin' with me, for cryin' out loud. Tell him I'm havin' a nervous breakdown."
desc6.10,desc,,"Thelma has the phone tucked under her chin, as she cuts out coupons from the newspaper and pins them on a bulletin board already covered with them. We see various recipes torn out from women's magazines along the lines of ""101 Ways to Cook Pork."""
utter6.11,utter,THELMA,"He already thinks you're out of your mind, Louise, that don't carry much weight with Darryl. Are you at work?"
utter6.12,utter,LOUISE (V.O.),"No, I'm callin' from the Playboy Mansion."
utter6.13,utter,THELMA,I'll call you right back.
desc6.14,desc,,Thelma goes through the living room to the bottom of the stairs and leans on the banister.
utter6.15,utter,THELMA,"Darryl! Honey, you'd better hurry up."
desc6.16,desc,,"DARRYL comes trotting down the stairs. Polyester was made for this man, and he's dripping in ""men's"" jewelry. He manages a Carpeteria."
utter6.17,utter,DARRYL,"Damnit, Thelma, don't holler like that! Haven't I told you I can't stand it when you holler in the morning."
utter6.18,utter,THELMA,"I'm sorry, Doll, I just didn't want you to be late."
desc6.19,desc,,"Darryl is checking himself out in the hall mirror, and it's obvious he likes what he sees. He exudes over-confidence for reasons that never become apparent. He likes to think of himself as a real lady killer. He is making imperceptible adjustments to his over-moussed hair. Thelma watches approvingly."
utter6.20,utter,THELMA,Hon.
utter6.21,utter,DARRYL,What.
utter6.22,utter,THELMA,(she decides not to tell him) Have a good day at work today.
utter6.23,utter,DARRYL,Uh-huh.
utter6.24,utter,THELMA,Hon?
utter6.25,utter,DARRYL,What?!
utter6.26,utter,THELMA,You want anything special for dinner?
utter6.27,utter,DARRYL,"No, Thelma, I don't give a shit what we have for dinner. I may not even make it home for dinner. You know how Fridays are."
utter6.28,utter,THELMA,Funny how so many people wanna buy carpet on a Friday night. You'd almost think they's want to forget about it for the weekend.
utter6.29,utter,DARRYL,"Well then, it's a good thing you're not regional manager and I am."
desc6.30,desc,,He's finally ready. He walks to the door and gives Thelma the most perfunctory kiss on the cheek.
utter6.31,utter,THELMA,"'Bye, honey. I won't wait up."
utter6.32,utter,DARRYL,See ya.
desc6.33,desc,,"Darryl leaves. We see his Corvette parked out front. As he closes the front door, Thelma leans against it."
utter6.34,utter,THELMA,He's gonna shit.
desc6.35,desc,,Thelma laughs to herself. She goes back into the kitchen and picks up the phone and dials it.
scene7,slugline,,INT. RESTAURANT - MORNING
desc7.36,desc,,"The pay phone on the wall RINGS. ALBERT, a busboy in his 50's, answers."
utter7.37,utter,ALBERT,"Good morning. Why, yes, she is. Is this Thelma? Oh, Thelma, when you gonna run away with me?"
desc7.38,desc,,Louise comes over and takes the phone out of his hand.
utter7.39,utter,LOUISE,"(to Albert) Not this weekend, sweetie, she's runnin' away with me. (into phone) Hi. What'd he say?"
utter7.40,utter,THELMA (V.O.),What time are you gonna pick me up?
utter7.41,utter,LOUISE,You're kiddin'! Alright! I'll be there around two or three.
utter7.42,utter,THELMA (V.O.),What kind of stuff do I bring?
utter7.43,utter,LOUISE,"I don't know. Warm stuff, I guess. It's the mountains. I guess it gets cold at night. I'm just gonna bring everything."
utter7.44,utter,THELMA (V.O.),"Okay. I will, too."
utter7.45,utter,LOUISE,And steal Darryl's fishin' stuff.
utter7.46,utter,THELMA (V.O.),"I don't know how to fish, Louise."
utter7.47,utter,LOUISE,"Neither do I, Thelma, but Darryl does it, how hard can it be? I'll see you later. Be ready."
desc7.48,desc,,They both hang up.
scene8,slugline,,EXT. RESTAURANT - DAY
desc8.49,desc,,Louise pulls out in a green '66 T-Bird in mint condition.
scene9,slugline,,INT. THELMA'S BEDROOM - CLOSEUP - SUITCASE ON BED - DAY
desc9.50,desc,,"Going into the suitcase is bathing suits, wool socks, flannel pajamas, jeans, sweaters, T-shirts, a couple of dresses, way too much stuff for a two-day trip. REVEAL Thelma, standing in front of a closet, trying to decide what else to bring, as if she's forgotten something. The room looks like it was decorated entirely from a Sears catalog. It's really frilly."
scene10,slugline,,INT. LOUISE'S BEDROOM - CLOSEUP - SUITCASE ON BED - DAY
desc10.51,desc,,"A perfectly ordered suitcase, everything neatly folded and orderly. Three pairs of underwear, one pair of long underwear, two pairs of pants, two sweaters, one furry robe, one nightgown. She could be packing for camp. REVEAL Louise. Her room is as orderly as the suitcase. Everything matches. It's not quite as frilly as Thelma's, but it is of the same ilk. She is debating whether to take an extra pair of socks. She decides not to and closes the suitcase. She goes to the phone, picks it up and dials. We hear:"
utter10.52,utter,ANSWERING MACHINE (V.O.),"Hi. This is Jimmy. I'm not here right now, but I'll probably be back 'cause... all my stuff's here. Leave a message."
desc10.53,desc,,"Louise slams down the phone. A framed picture of Louise and Jimmy sits on the table next to the phone. She matter-of- factly slams that face down, too."
scene11,slugline,,INT. THELMA'S BEDROOM - DAY
desc11.54,desc,,"Thelma is still throwing stuff in, randomly now. She talks to herself quietly the whole time. She is taking stuff off of her nightstand, a small clock, fingernail scissors, etc. She opens the drawer of her nightstand. Her attitude is purposeful; she looks as if she knows exactly what she's doing; although, frankly, she has no idea, and each decision is completely arbitrary. As she rifles through it, plucking various items from among the jumbled contents, we see there is a gun in there, one Darryl bought her for protection. It is unloaded, but there is a box of bullets. She picks up the gun like it's a rat by the tail and puts it in her purse."
utter11.55,utter,THELMA,(muttering to herself) Psycho killers...
desc11.56,desc,,"She grabs the box of bullets and throws them in, too. She tries to close her suitcase, but there is stuff hanging out all over the place. She stuffs things back in the sides and heaves all her weight against the top."
scene12,slugline,,EXT. THELMA'S HOUSE - DAY
desc12.57,desc,,"Louise's green '66 T-Bird convertible pulls into the driveway of Thelma's house. The garage door goes up and Thelma is standing in the garage with all her gear. A suitcase that looks like it might explode, fishing gear, a cooler, a lantern. Thelma's car, a beat-up gray Honda, is parked in there, too. Louise gets out of the driver's seat."
utter12.58,utter,LOUISE,We don't need the lantern. The place has electricity.
utter12.59,utter,THELMA,I wanna take it anyway. Just in case.
utter12.60,utter,LOUISE,In case of what?
utter12.61,utter,THELMA,"In case there's some escaped psycho killer on the loose, who cuts the electricity off and tries to come in and kill us."
utter12.62,utter,LOUISE,"(going along with her) Oh yeah, sure, Thelma, that lantern will come in real handy. Maybe we could tow your car behind, in case he steals the spark plugs."
utter12.63,utter,THELMA,We'd have to. That thing barely makes it down the driveway.
desc12.64,desc,,"They load everything into the car. The trunk barely closes. Thelma heaves all her weight against it. They get into the car and pull out of the driveway. As they drive down the street, we hear Thelma let out a long howl. She is laughing and she sticks her arms straight up in the air."
scene13,slugline,,EXT. CAR - DAY
desc13.65,desc,,They are driving down the interstate. Thelma reaches for her purse and finds the gun.
utter13.66,utter,THELMA,"Louise, will you take care of the gun?"
desc13.67,desc,,Louise shrieks at the sight of it.
utter13.68,utter,LOUISE,Why in hell did you bring that?
desc13.69,desc,,Thelma wonders if Louise is really that naive.
utter13.70,utter,THELMA,"Oh, come on, Louise... psycho killers, bears... snakes! I just don't know how to use it. So will you take care of it?"
desc13.71,desc,,"Louise reaches over and takes the gun out of Thelma's purse and holds it in her hand. She tests the weight of it, and then puts it under the seat. Thelma puts the bullets under the seat. They are speeding off down the highway with the RADIO blaring. Louise puts in a TAPE of wild R&B MUSIC."
utter13.72,utter,THELMA,Whose place is this again?
utter13.73,utter,LOUISE,"It's Bob's, the day manager's. He's gettin' a divorce, so his wife's gettin' this place, so he's just lettin' all his friends use it till"
desc13.74,desc,,he has to turn over the keys.
utter13.75,utter,THELMA,I've never had the chance to go out of town without Darryl.
utter13.76,utter,LOUISE,How come he let you go?
utter13.77,utter,THELMA,'Cause I didn't ask him.
utter13.78,utter,LOUISE,"Aw, shit, Thelma, he's gonna kill you."
utter13.79,utter,THELMA,"Well, he has never let me go. He never lets me do one goddamn thing that's any fun. All he wants me to do is hang around the house the whole time while he's out doing God only knows what."
desc13.80,desc,,They are both silent for a minute.
utter13.81,utter,THELMA,(looking straight ahead) I left him a note. I left him stuff to microwave.
desc13.82,desc,,After a pause.
utter13.83,utter,THELMA,I guess you haven't heard anything from Jimmy... yet?
desc13.84,desc,,Louise's jaw tightens. The car speeds up.
utter13.85,utter,THELMA,...never mind.
desc13.86,desc,,"A huge semi-tanker carrying gas passes them on the highway and HONKS. The mud flaps are the shiny silhouettes of naked women. There is a bumper sticker on the back that says: ""Lick you all over -- ten cents."""
utter13.87,utter,LOUISE,One of your friends?
desc13.88,desc,,"Thelma is watching herself in the side mirror, pretending to smoke a cigarette. THELMA'S POV OF A SIGN alongside the road that reads ""See you in church on Sunday!"" Thelma pushes in the lighter and waits for it to pop out. Louise gives her a sidelong glance, but does not say anything."
scene14,slugline,,INT. CAR - COUNTRY ROAD - DAY
utter14.89,utter,THELMA,How much longer is it gonna be? I'm hungry.
utter14.90,utter,LOUISE,Another hour of so. We've got enough food for a month.
utter14.91,utter,THELMA,I'll never make it... Can't we stop just for a few minutes...
utter14.92,utter,LOUISE,"We've not gonna get to the cabin till after dark as it is, Thelma."
utter14.93,utter,THELMA,Then what difference does it make if we stop? Come on. I never get to do stuff like this.
desc14.94,desc,,Louise realizes that Thelma is going to revert to a teenager and continue whining unless she gives in.
utter14.95,utter,LOUISE,"Alright, but it's gonna be a quick stop."
scene15,slugline,,EXT. SILVER BULLET - NIGHT
desc15.96,desc,,"They pull off at a place down on the right all lit up with neon. It's called the SILVER BULLET. The sign flashes COCKTAILS -- BEER -- DANCING -- FOOD. There is a huge gravel parking lot with lots of pickup trucks and older cars. Even though it's early, you can tell this place is a real night spot. It's already pretty crowded."
scene16,slugline,,INT. SILVER BULLET - NIGHT
desc16.97,desc,,"This place is jumpin'. There are ten pool tables with crowds all around. The long bar is filled with customers. There are tables and booths. The room is dense with smoke. There is a dance floor, but no one is dancing yet because the band is still setting up. There are a lot of single men. Many heads turn and follow Thelma and Louise to an empty table."
utter16.98,utter,LOUISE,I haven't seen a place like this since I left Texas.
utter16.99,utter,THELMA,Isn't this fun?
desc16.100,desc,,A WAITRESS comes over and drops two menus on the table.
utter16.101,utter,WAITRESS,Y'all wanna drink?
utter16.102,utter,LOUISE,No thanks.
utter16.103,utter,THELMA,"I'll have Wild Turkey straight up and a Coke back, please."
desc16.104,desc,,As the Waitress leaves:
utter16.105,utter,LOUISE,Thelma!
utter16.106,utter,THELMA,"Tell me somethin'. Is this my vacation or isn't it? I mean, God, you're as bad as Darryl."
utter16.107,utter,LOUISE,I just haven't seen you like this in a while. I'm used to seeing you more sedate.
utter16.108,utter,THELMA,"Well, I've had it up to my ass with sedate! You said you and me was gonna get outta town and, for once, just really let our hair down. Well, darlin,' look out 'cause my hair is comin' down!"
desc16.109,desc,,As the Waitress returns:
utter16.110,utter,LOUISE,"(laughing) Alright... (to Waitress) I changed my mind. I'll have a margarita with and a shot of Cuervo on the side, please."
utter16.111,utter,THELMA,Yeah!
desc16.112,desc,,"As the Waitress leaves, a MAN comes over with a chair which he pulls up to the table and straddles backwards. He is in his late-40's, heavyset, his face is shiny in the neon light."
utter16.113,utter,MAN,Now what are a couple of Kewpie dolls like you doin' in a place like this?
utter16.114,utter,LOUISE,"Mindin' our own business, why don't you try it."
utter16.115,utter,THELMA,"Well, we left town for the weekend 'cause we wanted to try and have a good time. And because Louise here is mad because her boyfriend won't call her while he's out on the road..."
desc16.116,desc,,Louise kicks Thelma under the table.
utter16.117,utter,THELMA,(quieter) We just wanted to get somethin' to eat.
utter16.118,utter,MAN,"Well, you come to the right place. You like chili? They got good chili."
desc16.119,desc,,The Waitress returns with Louise's drink.
utter16.120,utter,WAITRESS,"Harlan, are you botherin' these poor girls?"
utter16.121,utter,HARLAN (MAN),"Hell, no. I was just bein' friendly."
utter16.122,utter,WAITRESS,(making eye contact with Louise) It's a good thing they're not all as friendly as you.
desc16.123,desc,,Louise understands.
utter16.124,utter,THELMA,Your name's Harlan? I got an uncle named Harlan!
utter16.125,utter,HARLAN,"You do? Is he a funny uncle? 'Cause if he is, then he and I got somethin' in common."
desc16.126,desc,,"Harlan laughs. Thelma laughs, too, but doesn't really get the joke. Louise does not laugh."
utter16.127,utter,LOUISE,"(to Harlan) I don't mean to be rude, but I've got something I need to talk to my friend about. In private."
utter16.128,utter,HARLAN,"Aw, I understand. I didn't mean to bother ya. It's just hard not to notice two such pretty ladies as yourselves. (standing, to Thelma) You better dance with me before you leave, or I'll never forgive you."
utter16.129,utter,THELMA,"Oh, sure. That'd be fun."
desc16.130,desc,,"Harlan leaves, then:"
utter16.131,utter,THELMA,"Jeez, Louise, that wasn't very nice."
utter16.132,utter,LOUISE,Can't you tell when somebody's hittin' on you?
utter16.133,utter,THELMA,"So what if he was? It's all your years of waitin' tables has made you jaded, that's all."
utter16.134,utter,LOUISE,Maybe.
utter16.135,utter,THELMA,"Well, just relax, will ya. You're makin' me nervous."
desc16.136,desc,,Thelma knocks back her shot of Wild Turkey and holds up her glass to the Waitress to bring her another one. The Waitress sees her and nods. She turns back to face her friend.
utter16.137,utter,THELMA,"So, Jimmy still hasn't called yet?"
utter16.138,utter,LOUISE,Givin' him a taste of his own medicine. Asshole.
utter16.139,utter,THELMA,"I'm sorry, Louise. I know you're all upset. It's just I'm so excited to be out of the house, I guess. (pause) I wonder if Darryl's home yet."
utter16.140,utter,LOUISE,I wonder if Jimmy's gotten back.
utter16.141,utter,THELMA,Why don't you tell him to just to get lost once and for all?
utter16.142,utter,LOUISE,Why don't you ditch that loser husband of yours?
desc16.143,desc,,"They both drift off momentarily, contemplating their domestic problems, until the Waitress comes over:"
utter16.144,utter,WAITRESS,(rolling her eyes) This one's on Harlan.
desc16.145,desc,,"Thelma looks over at the bar where Harlan is grinning at her, making dancing motions. She smiles and waves at him. Her face becomes serious again as she turns back to Louise."
utter16.146,utter,THELMA,"Jimmy'll come in off the road, you won't be there, he'll freak out and call you a hundred thousand times, and Sunday night you'll call him back and, by Monday. He'll be kissin' the ground you walk on."
desc16.147,desc,,"Thelma's mind goes too fast for her mouth, and the speed at which she speaks can be staggering. Louise is used to it. Louise smiles wistfully at Thelma's assessment of the situation."
utter16.148,utter,LOUISE,Exactly.
utter16.149,utter,THELMA,"In the meantime, you said we were gonna have some fun. So let's have some!"
desc16.150,desc,,"She again drinks her whole shot of Wild Turkey and holds up her glass, as the BAND strikes up a lively tune. Practically the whole place ""whoops"" and heads for the dance floor. Louise drinks her shot of tequila and holds up her glass, too."
scene17,slugline,,LATER
desc17.151,desc,,"Thelma is dancing with Harlan and has been for quite a while. Louise has been dancing with a quiet guy named DAN. Thelma is breathless, drunk and giggly. She holds a beer bottle in one hand. She is laughing a lot about nothing, and Harlan is studying her closely. Louise notices this."
utter17.152,utter,LOUISE,"(over the noise) Thelma, I'm gonna hit the little girls' room, and then we gotta hit the road."
utter17.153,utter,THELMA,"(eyes closed, swaying with the music) Ready when you are."
desc17.154,desc,,Louise heads off to the bathroom.
utter17.155,utter,THELMA,"(eyes still closed) Louise, I'm gonna come with you. (she gets a funny look on her face) I don't feel so good."
desc17.156,desc,,"She stumbles a step and drops her beer bottle. Louise is heading towards the bathroom, where there is a line of at least fifteen women in front of her."
utter17.157,utter,HARLAN,"(catching Thelma, copping feels) Oopsy-doopsy. We need to get you some fresh air, little lady."
desc17.158,desc,,"He steers her towards the door. Louise leans against the wall, waiting in line."
scene18,slugline,,EXT. SILVER BULLET PARKING LOT - NIGHT
desc18.159,desc,,Harlan is hauling Thelma out the door into the parking lot. She is pretty limp.
utter18.160,utter,THELMA,Oh shit.
utter18.161,utter,HARLAN,What's wrong?
utter18.162,utter,THELMA,Stop.
utter18.163,utter,HARLAN,What for?
utter18.164,utter,THELMA,I'm spinning.
