segment-id,segment-type,segment-speaker,segment-text
utter0.0,utter,Brad Mirman,First Draft
scene1,slugline,,_______________________________________________________________________ COUNTRYSIDE - DAY The end of Winter. SNOW blankets the landscape. A SMALL
desc1.1,desc,,"STREAM rushes through the VALLEY. A clear, blue sky hangs over the DISTANT MOUNTAINS adding to the beauty of the setting. SUPER IMPOSE: SCOTTISH LOWLANDS - 1665 The CAMERA begins to PAN. The color of the SNOW begins to change, darkening from PURE WHITE to ASH GRAY, eventually to COAL BLACK. We continue to pan until we arrive at.. EXT."
scene2,slugline,,VILLAGE - DAY
desc2.2,desc,,"Plague. Once a charming settlement it is now ravaged by disease. Everywhere BONFIRES burn, sending plumes of BLACK SMOKE rising into the sky -- the ash and soot drift back down, blackening the earth. VILLAGERS scurry about in tattered clothing, their faces soiled by soot as they throw objects of WOOD and CLOTH into the fires. THREE HORSEMEN ride into the village. Two of them we can see clearly as large, powerful men with savage faces. The THIRD MAN'S man's face is hidden from us in the shadows of a black HOODED CAPE. He dismounts, motioning for the other two to wait for him. The Hooded Man walks though the village. The SOUND of HAMMERING fills the air as several VILLAGERS finish building a make-shift GALLOWS."
scene3,slugline,,EXT. CHURCH - DAY
desc3.3,desc,,"Built of stone it is already centuries old. A VILLAGER stands guard at the entrance. The Hooded Man approaches and WHISPERS something in the Villagers ear, then holds up a GOLD PIECE."
scene4,slugline,,INT. CHURCH - DAY
desc4.4,desc,,"Dark and musty, lit only by shafts of LIGHT which flow in through the windows. The Hooded Man follows the Villager across the stone floor until he reaches a WOODEN DOOR at the back."
scene5,slugline,,STONE ROOM - DAY
desc5.5,desc,,"No windows. The Hooded Man enters. In the center of the room a CIRCLE has been drawn. Bordering the circle are hundreds of CANDLES, forming a ring of fire. A MAN stands in the center, his head bowed -- his weight supported by thick ROPES around his wrists that are fastened to a wooden beam which runs the length of the room. HOODED MAN'S VOICE Vieira... VIEIRA looks up. He is old, his hair thin and gray, but his eyes are alive, defiant. The Hooded Man moves closer. Vieira follows him with his eyes, trying to see the Hooded Man's face. Vieira strains against his ropes. The Hooded Man does not move."
utter5.6,utter,VIEIRA,How comes it your are not afraid?
utter5.7,utter,HOODED MAN,Would'st you harm one who comes to aid you?
desc5.8,desc,,Vieira's silence indicates he is listening.
utter5.9,utter,HOODED MAN,(continuing) I've come to strike a bargain with you. I wish to learn the power of
desc5.10,desc,,changing.
utter5.11,utter,VIEIRA,And what would'st I gain from this bargain?
utter5.12,utter,HOODED MAN,(nonchalantly) Your life.
utter5.13,utter,VIEIRA,How?
desc5.14,desc,,"The Hooded Man slowly pulls back his hood. We see his face for the first time. It is hard, brutal, his eyes cold and dark. He grins -- a wicked grin."
utter5.15,utter,HOODED MAN,I have a magic of my own.
desc5.16,desc,,"The Hooded Man removes a KNIFE from under his coat. He holds it before Vieira, then he quickly stabs it into his chest. His face fills with pain -- blood flows from the wound -- he falls to his knees. A beat. He slowly looks up at Vieira as he pulls the knife from his chest, then stands unharmed. Vieira cannot believe what he has seen."
utter5.17,utter,HOODED MAN,Teach me the chant and I will take your place on the gallows.
scene6,slugline,,CHURCH - LATER - DAY
desc6.18,desc,,A GROUP of RELIGIOUS-LOOKING MEN walk toward the church. INT.
scene7,slugline,,STONE ROOM - DAY
desc7.19,desc,,Vieira has finished teaching the chant.
utter7.20,utter,VIEIRA,After you recite the chant you must concentrate of the form you wish to take. The stonger you are the longer you can hold the illusion.
desc7.21,desc,,In the b.g. we HEAR the SOUND of FOOTSTEPS coming up the stairs. Vieira looks at the Hooded Man. They come. The Men enter.
utter7.22,utter,VIEIRA,"Quickly, take my place."
desc7.23,desc,,One of them looks at the Hooded Man.
utter7.24,utter,RELIGIOUS MAN,What are you doing here?
desc7.25,desc,,"The Hooded Man stares at him -- a hard, unnerving stare -- then slowly, his thin lips from a cruel grin."
utter7.26,utter,HOODED MAN,Just saying goodbye to an old friend.
desc7.27,desc,,Vieira stares at the Hooded Man angrily.
utter7.28,utter,VIEIRA,We had a bargain. You promised.
utter7.29,utter,HOODED MAN,I lied.
desc7.30,desc,,The Hooded Man walks from the room.
scene8,slugline,,CHURCH - DAY
desc8.31,desc,,The Hooded Man walks out. The TWO HORSEMEN ride up. The Hooded Man climbs on his horse. He takes a DEEP BREATH as he looks at a RANGE OF MOUNTAINS in the distance.
scene9,slugline,,EXT. VALLEY - DAY
desc9.32,desc,,"The SOUND of SWORDS CROSSING fill the air. Two MEN, one YOUNG, the other OLD fight across the SNOW-SWEPT GROUND. In. the b.g. a large, stone building is built at the base of a mountain range. The Young Man fights furiously, his only weapon strength, but he is clearly inexperienced. The OLD MAN is agile, and easily moves out of the way of each blow. The Young Man swings wildly, he loses his balance. The Old Man strikes his SWORD away, then pushes him to the ground. The Young Man looks up as the older man raises his SWORD above his head. Their eyes lock. The Old Man smiles and slowly lowers the sword to the Young Man's neck."
utter9.33,utter,OLD MAN,It's over.
desc9.34,desc,,"The Old Man reaches out his hand, helping the Young Man to his feet. The Young Man is clearly angry."
utter9.35,utter,OLD MAN,Your anger blinds you. You must learn to control it. When the time comes you'll only have but one chance. You best use it well.
scene10,slugline,,STONE BUILDING - DAY
desc10.36,desc,,"Large and barren. A fires roars in the fireplace. The Old Man sits across a wooden table from the Young man as they finish eating. The Young Man appears restless. He pushes his plate away -- stands up and walks toward the door. OLD MAN Where are you off to? YOUNG MAN To the village for some ale -- and if the truth be known, I need to see someones face other than yours, old man. They smile. The Young Man takes his SWORD then puts on his COAT. He picks up a SACK and leaves. The Old Man begins to clear away the dishes. Suddenly he stops -- his smile fades. He looks towards the door filled with a premonition. Outside we HEAR the SOUND of SWORDS CROSSING. It lasts only for a moment. SILENCE. A blinding GREEN LIGHT fills the frame of the door. The ground begins to TREMBLE -- the STONES of the building shake from the force -- debris falls from the ceiling. It stops. SILENCE. The Old Man takes his SWORD from the mantle. The DOOR OPENS. The SOUND of the WIND rushes in. Outside nothing can be seen - only the darkness of the night. A beat. The Young Man enters the room. The Old Man smiles at the sight of him. The Young Man places his sack on the table. The Old Man turns his back as he starts to replace his sword on the mantle. The Young Man's expression hardens. He stares at the Old Man's neck as he starts to raise his sword. OLD MAN'S POV In a SILVER WINE CHALICE he sees the reflection of the YOUNG MAN who is now slowly raising his SWORD and about to strike at the Old Man's neck. In one fluid movement the Old Man unsheathes his sword, then turns quickly. The Young Man's blade slices through the air missing it's target. The Old Man pivots and slices his blade across the Young Man's chest. The Young Man winces in pain, then takes a deep breath -- his body begins to shake violently. A TRANSFORMATION BEGINS. The image of Young Man begins to fade and is replaced by the HOODED MAN. He LAUGHS LOUDLY as he holds up his arms as if prompting The Old Man for his appreciation of the illusion."
utter10.37,utter,OLD MAN,(hatefully) Kilvara...
desc10.38,desc,,The Hooded Man smiles when he hears his name.
utter10.39,utter,KILVARA,"It flatters me you remember, old one. It's been what... two hundred years?"
utter10.40,utter,OLD MAN,It's not been long enough. witchcraft is this?
utter10.41,utter,KILVARA,Impressive -- is it not? The problem is I can only keep the illusion for a few minutes. I need more power to hold the form longer. I need the
desc10.42,desc,,Highlander. Where is he?
utter10.43,utter,OLD MAN,I do not know -- and even if I did...
utter10.44,utter,KILVARA,(cutting him off) I know. I know-- you would not tell me. Loyalty -- it really is a concept that eludes me. (shrugs his shoulders) Oh well -- I shall find him. Time is on my side.
desc10.45,desc,,The Old Man looks sadly at the open door. grins. Kilvara notices and
utter10.46,utter,KILVARA,Is this what you're looking for?
desc10.47,desc,,"Kilvara opens the SACK. Inside it is the head of the Young Man. Kilvara LAUGHS, a deep guttural laugh. He turns and starts towards the door. Suddenly he stops and turns back to face the Old Man."
utter10.48,utter,KILVARA,(mockingly) Oh -- I almost forgot.
desc10.49,desc,,Your head.
utter10.50,utter,OLD MAN,It does not come off as easily as the young ones.
utter10.51,utter,KILVARA,(amused) Perhaps -- but it comes off none the less.
desc10.52,desc,,"With a savage YELL Kilvara draws his sword and lunges at the Old Man. The Old Man steps aside and Kilvara's sword smashes down on the table, shattering it into splinters. The two Horsemen step into the room and watch. Kilvara lunges again -- and again -- each time the Old Man side-steps him. Kilvara swings -- the Old Man ducks -- the blade hits the stone wall -- SPARKS FLY -- ROCK EXPLODES. The Old Man slices his blade across Kilvara chest. A deep gash is cut -- blood flows. Kilvara examines the wound."
utter10.53,utter,KILVARA,You're dead.
desc10.54,desc,,"With brutal strength Kilvara begins his attack again, whipping his sword through the air furiously. Their swords cross -sparks fly. Kilvara is too powerful for the Old Man. All he can do is back up -- using his sword to block each ferocious blow. They pass through a large ARCH at the rear of the room. INT."
scene11,slugline,,CAVERN - NIGHT
desc11.55,desc,,"The building is built at the mouth of a vast CAVE. TORCHES set in the walls of the cavern are the only source of light. A WOODEN BRIDGE is built over a deep RAVINE. Kilvara and the Old Man continue their fight across the bridge. The Horsemen lag behind, enjoying the battle. The Old Man's strength is giving way under the merciless attack. The SPARKS from each contact is even more dazzling in the dim light of the cavern. Kilvara swings again. The Old Man tries to block it. In one fluid movement Kilvara scrapes his SWORD along the Old Man's -- then lunges forward -- thrusting his blade through the Old Man's chest. The Old Man SCREAMS in pain. Kilvara lifts him up with the blade. Kilvara flings him off the blade and onto the ground. The Old Man is on his knees. Kilvara raises his sword above his head."
utter11.56,utter,KILVARA,There can be only one.
desc11.57,desc,,"Kilvara brings the blade down. It slices through the Old Man's neck, severing his head from his body. Kilvara waits, preparing himself. A stream of bright GREEN LIGHT begins to flow from the BODY of the OLD MAN. It grows BRIGHTER and BRIGHTER. The Body of the old man begins to hover above the ground, then in a pulsing burst of energy the LIGHT flows into Kilvara. The force knocks him to his knees. The GROUND SHAKES -- The walls of the cavern move. Suddenly, chunks of rock are blown out of the walls -- the RUMBLING SOUND grows LOUDER and LOUDER -- blinding GREEN LIGHT FILLS the cave and then -- a deafening EXPLOSION. Whole sections of the cavern begin to collapse -- covering the exit -- trapping everyone inside."
scene12,slugline,,EXT. MOUNTAIN - WIDE SHOT - NIGHT
desc12.58,desc,,The RUMBLING SOUND subsides. In the distance we hear the savage SCREAM of Kilvara. The CAMERA MOVES UP the side of the mountain. As we come over the top we see...
scene13,slugline,,EXT. NEW YORK CITY - NIGHT
desc13.59,desc,,"The familiar towers of the city skyline stand along the bay, their LIGHTS reflecting off the water. EXT."
scene14,slugline,,STREET - NIGHT
desc14.60,desc,,"A thick FOG hangs in the air. A light wind blows, moving newspapers and other articles of trash along the deserted street. EXT."
scene15,slugline,,ALLEY - NIGHT
desc15.61,desc,,"Crates and trash dumpsters line the alley. A single, naked light bulb shines down like a spotlight. Through the fog the SILHOUETTE of man appears as he steps under the light. MOVING WITH THE MAN - REVERSE SHOT We follow the man from behind. He is tall, dressed in a long, tan rain-coat, jeans and sneakers. A small TRAVEL BAG is slung over his shoulder. As he moves down the alley he hears a SCRAPING SOUND. HE stops -- but does not turn around. A street PUNK emerges from behind a trash crate, scraping the BLADE of his KNIFE along the wall of a building. He studies the man for a moment as he runs his thumb along the edge of the blade, almost caressing it."
utter15.62,utter,PUNK,What'cha got in the bag?
desc15.63,desc,,Not only does the man not answer -- he doesn't even turn around.
utter15.64,utter,PUNK,Hey -- you hear me?
desc15.65,desc,,"CONNER MACLEOD slowly turns around. He is mid thirties, handsome, his chin dotted with the stubble of a beard. He is calm, detached -- yet under the surface there is a great sadness from a lifetime of pain and loneliness. He stares at the Punk wearily -- knowing both what is going to happen and what the outcome will be."
utter15.66,utter,MACLEOD,(softly) Yes -- I hear you. Good.
utter15.67,utter,PUNK,"Now, give it up."
desc15.68,desc,,Macleod studies the Punk for a moment.
utter15.69,utter,MACLEOD,Go home -- while you still can.
desc15.70,desc,,Macleod turns his back to him and starts to walk away. The Punk moves after him quickly. Macleod reaches into a trash can and pulls out a piece of PIPE. The Punk stops and stares at
utter15.71,utter,Macleod. PUNK,(amused) What do you think you're gonna to do with that?
desc15.72,desc,,"Macleod raises the pipe, twirling it around expertly in his hand."
utter15.73,utter,MACLEOD,(deadly calm) Let's find out. A beat.
desc15.74,desc,,"The Punk is losing confidence. He looks at Macleod. CLOSE ON MACLEOD'S EYES Deep. Confidant. into the Punk. They radiate an intensity that seems to burn The Punk is unnerved by Macleod's calm. Macleod waits, letting him make the next move. A beat. The Punk backs away and disappears into the darkness. Macleod stares him for a moment, then drops the pipe to the ground and walks off in the other direction."
scene16,slugline,,EXT. STREET - NIGHT
desc16.75,desc,,Macleod stops at the mouth of the alley where it intersects with the street. He stares across the street. MACLEOD'S POV
scene17,slugline,,An old building.
desc17.76,desc,,"A sign reads: RUSSELL NASH, ANTIQUES. A sadness falls across his face -- his mind floods with memories as he looks at the building. Across the street the door of the antique store opens. RACHEL, an attractive woman in her fifties exits -- locks the door -walks down the street. Macleod watches her affectionately -- painfully. As she crosses the street, he steps back into the shadows of the alley, hiding in the darkness. Rachel reaches the alley, then stops -- thinks -- looks back at the Antique Store. She is only a few feet away from Macleod."
scene18,slugline,,CLOSE ON MACLEOD
desc18.77,desc,,Macleod struggles to make a decision. Slowly he raises his hand -- reaches out -- but cannot bring himself to touch her. Rachel starts to walk away.
utter18.78,utter,MACLEOD (OS),Rachel.
desc18.79,desc,,"No more needs to be said. She recognizes the voice instantly. She turns around slowly and looks behind her. In the b.g. Macleod steps out of the darkness. He smiles at her weakly. Confusion fills her face, but is quickly replaced by a wave of emotion. She moves towards Macleod slowly, as if trying to determine if he is really there. She cups her hands to his face and stares deeply into his eyes. No words are spoken -none need to be. The power of their feelings are shown in their eyes."
scene19,slugline,,INT. ANTIQUE STORE - NIGHT
desc19.80,desc,,"Crowded with tables, chairs, cabinets and other rare old objects of furniture. Macleod is seated at a 17th century dinning table. Rachel stands in the center of the room."
utter19.81,utter,RACHEL,You know it's not safe here for you.
utter19.82,utter,MACLEOD,I know.
utter19.83,utter,RACHEL,The police still have a lot of questions for Russell Nash.
utter19.84,utter,MACLEOD,I can take care of myself.
desc19.85,desc,,Rachel's emotion builds.
utter19.86,utter,RACHEL,"Why are you here, Conner? After seven years without a word, why have you come back? You went off to make a new life with Brenda and that was"
desc19.87,desc,,the last I heard-A sadness falls over Macleod's face.
utter19.88,utter,MACLEOD,Brenda's dead.
desc19.89,desc,,Rachel is stunned.
utter19.90,utter,MACLEOD,"(continuing) Four years ago. I've nowhere else to go. You're all I have, Rachel -- and I'm just so tired of being alone."
desc19.91,desc,,His words touch her. She opens a cabinet and pulls out a bottle of GLENMORGANGIE scotch. Macleod forces a weak smile. In the light he looks tired. She pours him a drink.
utter19.92,utter,RACHEL,"It isn't over, is it, Conner?"
utter19.93,utter,MACLEOD,(wearily) No.
utter19.94,utter,RACHEL,How can that be?
utter19.95,utter,MACLEOD,I don't know.
desc19.96,desc,,Rachel's face fills with compassion. She reaches out and holds Macleod. He lays his head on her shoulder like a baby. INT.
scene20,slugline,,LIBRARY - NIGHT
desc20.97,desc,,Every inch of wall-space is filled with shelves and BOOKS. Macleod walks along a row studying the titles. A faint grin falls across his face as he sees a selected works of poetry. Rachel enters the room with a tea service and places it on the table.
utter20.98,utter,RACHEL,Is there anything else you need?
utter20.99,utter,MACLEOD,No -- I'm fine. Thank you.
utter20.100,utter,RACHEL,"I'm glad you've come home, Conner."
utter20.101,utter,MACLEOD,Me too.
desc20.102,desc,,Rachel leaves. Macleod takes a small book off the shelf and looks through it. Outside a STREAK of LIGHTNING cuts across the night sky. Macleod looks out the window concerned.
scene21,slugline,,EXT. FARM - DAY Seventeenth century Scotland. The CAMERA rise over an old
desc21.103,desc,,"stone wall. A charming farm house with stone walls and a thatched roof sits in the distance. Smoke drifts lazily from the chimney. +IN THE FIELD A man toils behind an ox, his arms straining as he guides a plow through the soft earth. He stops, runs his hand across his brow, then turns around. It is Macleod. His hair is longer, but he looks exactly the same. The FARMER and owner of the land, a kindly-looking man in his fifties walks over to him. He picks up and handful of soil and tastes it."
utter21.104,utter,FARMER,It will be a good harvest this year.
utter21.105,utter,MCCLEOD,Can you really tell from doing that?
utter21.106,utter,FARMER,What do you think?
desc21.107,desc,,"I think you just like to eat dirt. They both LAUGH. SARAH, fifteen years old, with flaxen hair and bright blue eyes approaches Macleod with a water pale."
utter21.108,utter,SARAH,"(shyly) Would you care for some water,"
utter21.109,utter,Conner? MCCLEOD,"Aye -- that I would, lass."
desc21.110,desc,,"Conner takes the ladle and pours it over his head. He scoops out some more water and drinks, then WINKS at Sarah. She blushes and runs off."
utter21.111,utter,FARMER,"I think my Sarah fancies you, Conner."
utter21.112,utter,MCCLEOD,She's a treasure she is.
utter21.113,utter,FARMER,She'll soon be of age.
desc21.114,desc,,Macleod understands him only too well.
