segment-id,segment-type,segment-speaker,segment-text
desc0.0,desc,,Neil Gaiman & Roger Avary
desc0.1,desc,,Hwaet! We Gar-Dena
utter0.2,utter,"peod-cyniga,",hu oa aepelingas
desc0.3,desc,,"in gear-dagum,"
utter0.4,utter,"prym gefrunon,","ellen fremedon! Listen! We have heard In the old days, How noble princes"
desc0.5,desc,,of the Spear-Danes' glory
scene1,slugline,,A CAVE
desc1.6,desc,,"A SHADOWY FIGURE, its hands tightly clutching the sides of its head, WHIMPERS with tortured pain. This creature, while humanoid, does not seem entirely human. Its hands quiver and shake as it grasps at its own skullcap, covering its ears...perhaps trying to hold out noise. But there is no noise, save for the creatures own WHIMPERING. SLOWLY ZOOM IN onto the back of the silhouetted creatures bald head. Then, ever so distant and increasing in pitch, do we hear what the creature hears..."
scene2,slugline,,INT. HEROT - MEAD HALL - NIGHT
desc2.7,desc,,"A ROARING fire of dancing golden-orange flames blazes away in a massive fire pit. Above it, the head of a pig roasts happily away, suspended over the flames by a long sword which runs through its head like an enormous spit. PULL BACK TO REVEAL: Herot. The greatest mead hall in the land. Everything is golden and burnished. The CROWD is NOISY AND CHEERING and happy. We see golden mead being filled from a large mead tub into jugs and then poured into goblets. One warrior sticks out his helmet, mead is poured into it and soon he is drinking from it. A brace of golden roasted pig is brought out on wooden serving platters. PULL BACK FURTHER TO REVEAL: A CROWD OF ROWDY THANES dances wildly around a large portable throne, which is being carried by FOUR THANES. It wobbles and bobs its way through the CHANTING crowd as if it were a boat toppling its way through the high seas. Inside of the throne sits Hrothgar, as fat a king as you're ever likely to see. His rotund body is draped in nothing more than a haphazardly wrapped bed linen, as if he just came from fucking. It can barely ward the mead that spills from his large goblet. NOISE assaults our senses. The throne is dropped onto a dais with a LOUD THUD, nearly crushing his queen, Wealthow, a pale beauty with iridescent skin and a face like the moon. She is KNOCKED by the large and heavy throne, which has come to rest on her dress. She pulls at it, ripping the cloth. Hrothgar LAUGHS and grabs Wealthow, pulling her toward him and forcing a long, wet kiss on her lips as she beats at his chest with her fists, demanding to be put down. His WARRIOR THANES cheer him on. Finally she breaks free and spits on him, which doesn't seem to phase his ""highness"" since he opens his mouth and asks for more with a LAUGH. His thanes CHEER him on. drunken excitement. He turns to them, his face red with"
utter2.8,utter,HROTHGAR,"A year ago I, Hrothgar, your King, swore that we would celebrate our victories in a new hall, mighty and beautiful. Have I not kept my oath?!"
desc2.9,desc,,DRUNKEN CHEERS resonate from the mob of thanes.
utter2.10,utter,HROTHGAR,"In this hall we shall feast and tell of victories. In this hall shall the scops sing their sagas. And in this hall we shall divide the spoils of those conquests, the gold and treasure. This shall be a place of merrymaking and joy and fuck from now until the end of time. I name this hall...Herot!"
desc2.11,desc,,A ROAR OF CHEERS all around.
utter2.12,utter,HROTHGAR,"(turning to Wealthow) Let's hand out some treasure, shall we my beauty?!"
desc2.13,desc,,"Wealthow is ambivalent. Hrothgar lifts the lid of a chest and dunks his hand into it, pulling some treasure out. Hrothgar is having a great time doing this. He's drunk, but then, everyone's drunk. He lifts up a huge golden torque, THE CROWD CHEERS."
utter2.14,utter,HROTHGAR,"For Unferth, my wisest advisor, violator of virgins and boldest of brave brawlers-where the hell are you, Unferth, you weasel-faced bastard? Unferth--!"
scene3,slugline,,THE PISS PIT
desc3.15,desc,,"(which is a large hole in the ground at one corner of the hall filled with piss and shit) stand UNFERTH and AESHER. Unferth has intense black eyes and long black hair streaming out from under his winged helm. Aesher is older, perhaps the polar opposite to Unferth. The two of them are Hrothgar's advisers, the first reactionary, the latter more conservative. Unferth and Aesher are urinating, and holding a conversation."
utter3.16,utter,UNFERTH,So if Christ Jesus and Odin got into a
desc3.17,desc,,"fight, who do you think would win?"
utter3.18,utter,AESHER,A knife fight?
utter3.19,utter,UNFERTH,Any kind of fight-Unferth!
desc3.20,desc,,Unferth cuts his pee short and turns.
utter3.21,utter,UNFERTH,(to himself under his breath) What now?
desc3.22,desc,,"shifts to one side in his throne and lets loose a RIP ROARING FART, contorting his face as he does. Relieved, he brightens his expression and holds up the torque. CHEERS from the THANES."
utter3.23,utter,HROTHGAR,"(in a genuine loving way) Where are you, you ungrateful lout!?"
desc3.24,desc,,"wanders through the CROWD OF THANES, tieing up his cod and MUMBLING UNDER HIS VOICE. He then shifts his expression to a well practiced smile and holds his hand in the air."
utter3.25,utter,UNFERTH,"(in a not-so-genuine loving way) I'm here, my king!"
desc3.26,desc,,finds him in the CROWD and perks up. Unferth emerges from the group of thanes and steps up the dais.
desc3.27,desc,,Hrothgar puts a huge golden torque or a thick gold chain around Unferth's neck. He turns and faces the thanes. CHEERS.
scene4,slugline,,EXT. HEROT - THE MOORS - NIGHT
desc4.28,desc,,"We are a short distance from Herot...beyond the stockade which holds its small village...in the darkness of the moors. But even from this distance the REVELRY in the mead hall is deafening. Then, the shadowy figure from the cave, whose size we can't be sure, stumbles into view...silhouetted by the light of the moon. It's massive hands clutch and grasp at the sides of its head, vainly attempting to hold out the sounds of the party. It MOANS a GHASTLY WAIL that invokes in us both extreme sadness, and fear."
scene5,slugline,,INT. HEROT - MEAD HALL - NIGHT
desc5.29,desc,,"IN A SERIES OF SHOTS: The revelry in the hall is reaching a fever pitch. The party is in full Danish sixth century swing...INTERCUT with the inhuman creature approaching through the moors with increasing speed and force. are together in one corner of the hall, singing an obscene and lusty warrior song, more or less together."
desc5.30,desc,,"a tall, dark-haired thane in his mid thirties, is chasing GITTE through the hall. They are both GIGGLING, as they play something close to hide and seek. SEVERAL ELDERLY LADIES sit, almost unaware of the chaos around them, primly sitting and eating goose with their fingers. One of them BELCHES with relish, surprising us. is trying to pull a goose-leg away from a DOG. and begins gnawing on it himself. He succeeds, We are seeing humanity, rough-cut, having a real festival, feast, celebration. It's NOISY and rude, and everything is burnished with the glitter of gold. are locked in a passionate embrace under the table, possibly fucking. continue to SING THEIR SONG. Some are passed out, some are partying full bore, all are drunk. We are in a WASH OF NOISE..."
scene6,slugline,,EXT. HEROT - THE MOORS - MOVING - NIGHT
desc6.31,desc,,We are travelling towards the hall Herot from the creature's POINT OF VIEW. We are about 15 feet above the ground and moving inhumanly fast. The NOISE OF THE PARTY is ominously loud...
scene7,slugline,,INT. HEROT - MEAD HALL - NIGHT
desc7.32,desc,,"HROTHGAR'S JESTER dances about to Hrothgar's delight. He is a little man, a dwarf...naked and shamanistically painted white. He acts out some kind of story as a SCOP, the Bard of the time, is CHANTING and accompanying himself on the HARP. If we can hear the words of his chant, it's about King Hrothgar killing a dragon. The dwarf jester stabs at a pillow, slaying it, with a miniature toy spear. Hrothgar is flanked by Aesher and Unferth, with Wealthow and her ladies off to the far side of the throne. He turns to"
utter7.33,utter,Unferth. HROTHGAR,"(half drunk, to Aesher) Are we not the most powerful men in the world? Are we not the richest? Do we not merrymake with the best of them? Can we not do as we please? We can."
desc7.34,desc,,Unferth doesn't answer.
utter7.35,utter,HROTHGAR UNFERTH,(grudgingly) We can. We do.
desc7.36,desc,,"Hrothgar, as content as any man could be, slips into a drunken catnap. A DOG at the base of the dais begins GROWLING, its fur on end, backing away from the great door. Unferth notices this, his eyes narrow with suspicion. He looks across the mead hall and the excessive fete at the great door."
utter7.37,utter,UNFERTH,My king...?
utter7.38,utter,HROTHGAR,"(slipping in and out of a drunken sleep) Not now, Unferth...I'm dreaming of gold."
utter7.39,utter,UNFERTH,"But, my king! What?!"
utter7.40,utter,HROTHGAR,"Suddenly,"
scene8,slugline,,THE GREAT DOOR
