segment-id,segment-type,segment-speaker,segment-text
scene1,slugline,,"Sheppertcn Studios,"
desc1.0,desc,,"CilD - A WEDD, H'I!J:RA-Fl.lADED, FtTRRY"
desc1.1,desc,,"""!i.ABI)AC l3IiEFESCTJ PRESENTS"""
utter1.2,utter,or,"E:ow I Lear.c.ed to Stop Worey""ing"
scene2,slugline,,"MOVIlTGSEOT - TEB.OUGE:BLA.CX, ST-lP.RY,"
desc2.3,desc,,?rnE!.ro.A.L N'J:GETOF ~~ mrrrnsE The motion is straight
scene3,slugline,,"MUSIC- WEDiD,EXniA.-TEBB.ESTEI4L,"
desc3.4,desc,,pages which make up this ancient
utter3.5,utter,NABBATOR,OU: story begins
utter3.6,utter,someti!lle cluring,"the latter hal.f of the Ear-t;h' s socal1ed Twentieth Century. nuclear weapons had been i.l:i.vented, but used only t""..,ice to fil:l,j,sh the so-called Second *.-rorld \var. to reveal ap!,'ears ahead o.f us, con.tinua.lly g:-owi.::.g the shape of its continents and oceans. this, which was ch~efly marked by the .fa.ct that though ever:, ~a.tion feared surprise at~a.ck, the full consecuences of nuclear wea~o~s seemed to escape all gover::l~ents and their people. The Earth is q_Uite close now, its almost filling"
desc3.7,desc,,the screen. the screen.
desc3.8,desc,,Flat layers of grey ~loud are pierced
utter3.9,utter,jaggedt purgatorial,mountain tops.
desc3.10,desc,,by these
utter3.11,utter,"mountain,","in an A.retie waste of North1:!r:::. Siberia. T3r:rible rumours :,ega.n to c:lrculate world but were considered far too fantastic to be ta.ken seriously. One story :!:I.adit that upon (::ompletion., L::. order to mai::ltain secrecy, eveeyone co:nn3ct'ed with the. pro j <:ict was killed."
desc3.12,desc,,In order to guard against
desc3.13,desc,,or this air-borne
utter3.14,utter,The aircraft,"were now dis""Cers,ed from the ?ersian Gu.1.f to tb.e A.rcti1: Ocean. They had onl7 one geographical *1.n common. They were al1 approxilna~ely two hours from their assigned targets inside enemy territory."
desc3.15,desc,,"One ot the 843d I s aircrait,"
utter3.16,utter,"tlie ""Leper","Oolony 11 , was a proao.b.i.n.g it l?ail.;. point,. :Bear Island, , dot in the Earen ~ turn around and head .for b.cme.. !i.fty megatons, or fi.ft7* millj~on"
desc3.17,desc,,"tons of TNT, equal to fifteen the total er:::,losi ve force of *,'1orld"
utter3.18,utter,thoussi.nd,"ti:lles the e:tplosi ve force of 1,b.e atomic bomb dropped on E'.i=osru..?:l&."
scene4,slugline,,"The long tense hours which ,always"
desc4.19,desc,,air-borne
desc4.20,desc,,"to move taster,"
utter4.21,utter,NAimATdR,"* The crew of the ""Leper Colony"" knew they guarded the peace*of the world jus~ as surely as they lalew the price they mu.st pa.y within. themselves to do Re is a Texan - a tough,"
desc4.22,desc,,"steady,"
desc4.23,desc,,"absently- munching a sandWich. ACE, the CO-PILO!I!,is gazing sky. side ot the compartment we see an"
utter4.24,utter,"looking father,",ot wars past. Sa.
desc4.25,desc,,"sits si2ent and e:r;,ressionless,"
utter4.26,utter,MI;raLLI executes an in-=ricate,"""accordian"" the cards a.r.d proffers them ('tue a ca.rd' gestu:::-e) w1.th a flourish - b.e does this with :c.o break of deadpa..""l expression, as tb.ougl:"". it is as takes a card, scarcely bothez'i=l.g to look at it; to read and sip co.f.f'ee."
scene5,slugline,,LOWER C:RE'd SECTION - EOMB.A...~DRAll!) !'l:..VIGAiCR
desc5.27,desc,,J..st Lt.) peruses the
utter5.28,utter,"Jou_'""'""'%.1.al","munches Sw'EETS (TE::: ~!).ifIG~OR,"
utter5.29,utter,".""Confectioner's","1st Lt.) a :rather smug and. intelligent staring at the navigational side of the compartmen~. young Neg-ro, is o.b.a...~.son SW'EET 'S"
desc5.30,desc,,JIMMI nudges S'WEETSwith his leg *. looks up from journal to his idly snaps bis 1.nt.ercom switch.
utter5.31,utter,minutes,"to tur.o.ing poin:t. Reading Will be three-tive-th:~ee. (goes bac!t to ""Confectioner's Journal*') the easy grace o! the veteran"
desc5.32,desc,,"leans f~rwe.rd and changes his gy-ro heading. *ACE takes t'he CO'S)Y' o! ""Playboy""."
utter5.33,utter,ACE oontempla.ting,"of the Month""."
desc5.34,desc,,fold-out
desc5.35,desc,,Prime out and double grade-A
utter5.36,utter,'Preciate,"it? Hell, me and ole B~ll paddy got1 one oil well down El San Xni:on going f:u.l tap just to show our rpreciation."
utter5.37,utter,ACE,Is Bull Daddy still
desc5.38,desc,,at it?
utter5.39,utter,T.J.,"Hell, yes."
utter5.40,utter,.A.ndI reckon ole,"Bull. Daddy be top gun in our ,out.fit for qi:ute a while to come. ACl:"
desc5.41,desc,,But he must be about
utter5.42,utter,"Eell,","ole Bull. Dadd7 just wrote me ~!. telling me about this little ole gal he l'::.ad come down from ?ecos. Well, it see=s that ole Bull ~add7 tu.n:.ed tl'.:.at gal everf way but loose. ( re-b'el yell! ) Gee-haw!.! ! But, ole Eull Jac.d.7 he's a da:rc:fool about some ttd.:lgs - not th.at I'd be right arud.c us to in.for::t of a.bout that, you *u.::.derstand -- but th.a fact is, number one: he's a romantic fool when it comes to fooling around with '1lomen, and number two: he ain't got no taste. Ee used to say: ,n~y hell boy, you just throw a gu.r.m.ysack over their heads and you can't tell one from the other. (rebel yell!) Gee-haw! And, he's tied L~to some real dogs too, I'll tell you"
utter5.43,utter,~hat.,"But not me ole buddy, I've got to have it prime cut and double grade-A :premium. you' ::-e lucky Yeah, I guess I do,, a.nd I guess"
desc5.44,desc,,a.bout a. lot ot thin~s.
desc5.45,desc,,"Prime-cut ,. right oft the"
utter5.46,utter,ACE,"that, !t 's one tb.1.ng I never had a.nci.* I don't g-~ess I ever will. Com-bat! There are a. number o! them. This one is the seaTcb. radar. The oute::- rim ot the"
desc5.47,desc,,scope revea~s a small point o! light.
desc5.48,desc,,FoT a moment b.e continues absently
desc5.49,desc,,moves a strobe
scene6,slugline,,mar.ker to tb.1:t blip.
utter6.50,utter,Rolds deck o! cards,pad with rieht.
desc6.51,desc,,in left
scene7,slugline,,"his copy of 11Con.f'ectioner 1 s Jc,u:r:nal."""
desc7.52,desc,,"over so as not to l.ose his pl.ace, ploi;s a We see that the radar contact posiTion."
desc7.53,desc,,Turning
desc7.54,desc,,in clean*; :cg finger-nails.
utter7.55,utter,survei!la.nce,job.
desc7.56,desc,,suddenly white. vanishes
utter7.57,utter,Mi.llelli.,"You just tend back there. own business ....) So. (shrugs, goes back to his cards) Okay, sld.pper."
desc7.58,desc,,~his is the most highly guarded ilr Command secret device. It is an automatic code. which displays
desc7.59,desc,,It suddenly w.bi::-:rs and clocks into
