segment-id,segment-type,segment-speaker,segment-text
desc0.0,desc,,Douglas Day Stewart Converted to PDF by ScreenTalk(tm)
scene1,slugline,,EXT. MANILA AIRPORT - FULL SHOT - DAY
desc1.1,desc,,"A Philippine Airlines passenger plane is arriving and touching down. ANGLE - THE PLANE A 13-year old boy starts down the ramp, a suitcase in one hand, an old photo-strip in the other. He studies the strip closely as he searches the faces of the people greeting the passengers. CLOSE - THE PHOTO STRIP A handsome sailor is necking with his girl in each of the three shots."
scene2,slugline,,CLOSE - THE BOY
desc2.2,desc,,"looking around. HIS EYES FALL ON A SAILOR It's the same sailor from the photo strip, only about fifteen years older. If he was in his early twenties then, now he's in his mid-thirties. He's in the uniform of a 1st class Petty Officer. He searches the faces of the descending passengers, very uncertain and uncomfortable. THE BOY AND THE SAILOR come together very, very tentatively. extends a hand to young ZACK. The sailor, BYRON MAYO,"
utter2.3,utter,BYRON,"You, Zack?"
utter2.4,utter,ZACK,"Yes, Sir."
utter2.5,utter,BYRON,I'm Byron. Nice to meet you. (awkwardly) C'mon. Let's go get your luggage.
desc2.6,desc,,They head off together.
scene3,slugline,,EXT. THE AIRPORT PARKING LOT - DAY
desc3.7,desc,,Byron and Zack step aboard one of the colorful jeepneys that Manila is famous for. We MOVE WITH the jeepney as it leaves the airport and starts down the highway toward Olongapo. Converted to PDF by www.screentalk.org
scene4,slugline,,"Final Draft April 13, 1981"
desc4.8,desc,,"The boy is frightened but he's also excited by the strange, super-chrome and ornately-decorated vehicle he's riding in. They're not alone in the small bus. Ten or more Filipinos ride with them, some in suits and ties, others in the rougher attire of farmers. One old woman carries a big cage on her lap with a squawking fluttering chicken in it."
utter4.9,utter,BYRON,Take that coat off. Philippines.
scene5,slugline,,This is the
desc5.10,desc,,He helps Zack out of his coat.
utter5.11,utter,BYRON,"(making conversation) How was the flight? They take care of you okay? Long way from Norfolk, isn't it?"
utter5.12,utter,JACK,"Yes, sir."
utter5.13,utter,BYRON,"Listen, kid, I was sorry to hear about your mom. That's pretty rough. I would've returned your call a lot sooner but I was out at sea..."
utter5.14,utter,JACK,I been calling for four months.
utter5.15,utter,BYRON,"Well, that's how long I've been out at sea."
scene6,slugline,,EXT. THE ROAD TO OLONGAPO - DAY
desc6.16,desc,,"The jeepney has only two passengers now, Byron and Zack. A roadside sign reads: ""U.S. NAVAL FACILITY, SUBIC BAY ... 12 miles."""
scene7,slugline,,EXT. THE HONKY-TONK SAILOR TOWN OF OLONGAPO - DAY
desc7.17,desc,,"Known throughout the Seventh Fleet as the armpit of the Orient, Olongapo is one, long rain-rutted street of gaudy bars and rattan-walled whorehouses. Countless jeepneys careen past with their silly fringe awnings and chrome accoutrements, many filled with U.S. sailor boys and officers on liberty. Converted to PDF by www.screentalk.org"
scene8,slugline,,"Final Draft April 13, 1981"
desc8.18,desc,,Zack and Byron's jeepney ENTERS SHOT and stops in front of the noisiest and raunchiest bar on the strip.
utter8.19,utter,BYRON,This is it. This is where I live.
desc8.20,desc,,"MOVING WITH ZACK AND BYRON CAMERA FAVORS the boy as they head for the entrance of the bar, Zack taking in the kinky street activity: ""Beenie boys,"" small boned Filipino boys dressed up as exquisite young girls, hustling tricks on the sidewalk while their sisters lounge in the doorway of places like ""California Dreamin'"" and ""The Manhattan Club,"" in nipple-showing tank-tops, licking their lips."
scene9,slugline,,INT. THE RAUCOUS BAR - DAY
desc9.21,desc,,"CAMERA CONTINUES MOVING with Zack and Byron as they cross through the NOISY bar toward a stairwell at the back. Navy enlisted men are making out openly with bar girls and Zack even sees one little girl stick her hand right down the front 40 of a sailor boy's pants. Byron glances at the boy, a little embarrassed by his digs. Zack is staring at every girl he passes, nervous but a little excited by it all, too."
utter9.22,utter,BYRON,"If I were in port more, I'd rent a better place, but this works out okay."
desc9.23,desc,,They start up the stairs.
scene10,slugline,,INT. BYRON'S ROOM - DAY
desc10.24,desc,,They walk in and find two semi-naked prostitutes lying on the bed. Zack's eyes are as big as silver dollars.
utter10.25,utter,BYRON,"I thought you girls were gonna do some shopping. (gives them money) Tiki, Maria ... I want you to meet my son."
desc10.26,desc,,The girls giggle as they hurry into their clothes and leave. Byron closes the door. Converted to PDF by www.screentalk.org AN OFFICER AND A GENTLEMAN
utter10.27,utter,BYRON,This is it. This is where I live. I suppose you could bunk over there and you could go to school at the base.
utter10.28,utter,ZACK,Great.
utter10.29,utter,BYRON,"I'm not finished. I'll only be in port one week a month and when I'm here you'd never catch me playing daddy with you 'cause it's not who I am. Like I told you on the phone, you I'd be better off in that state school back in Virginia."
utter10.30,utter,ZACK,"I ain't never going back to that school, sir."
utter10.31,utter,BYRON,You got to kid. Let me spell it out for you. This is a whorehouse. And I happen to like my life the way it is and nobody's gonna make me change.
utter10.32,utter,ZACK,I don't care about that. I just ain't going back. You don't want me? Okay. I'll find me another place.
desc10.33,desc,,He opens the door and walks out. MOVING WITH ZACK DOWN THE STAIRWELL Byron appears on the landing above.
utter10.34,utter,BYRON,"Hey, come back."
desc10.35,desc,,Zack keeps moving.
utter10.36,utter,BYRON,"Come back here, kid!"
utter10.37,utter,ZACK,(turns) What for?
desc10.38,desc,,AN OFFICER AND A GENTLEMAN
utter10.39,utter,BYRON,"(grudgingly) Okay, okay. You win."
utter10.40,utter,ZACK,"(brightens) Thank you, sir!"
utter10.41,utter,BYRON,Stop calling me 'sir! I ain't no officer. My name is Byron.
desc10.42,desc,,On the boy's happy expression we:
scene11,slugline,,INT. THE BAR - SEVERAL WEEKS LATER
desc11.43,desc,,"Zack sits on the stairs watching a crazy scene taking place on the long bar. A bunch of jet pilots off one of the carriers are in town and they're playing a game of ""chicken"". Each pilot must take a turn being pushed down the bar in a chair on rollers. The winner is the guy who flies the farthest without bailing out of his chair. The whores are rooting them on and gambling money is being waved in the air. As Tiki, one of Byron's girls, climbs the stairs, he catches her hand and gestures questioningly in the direction of the hotshot fliers."
utter11.44,utter,TIKI,Hot shot jet jockeys. Maybe you grow
desc11.45,desc,,"up like that, fly mach five, no jive. The boy laughs. Then Byron comes out of his room, his sea bag over his shoulder. He passes the kids some folding money."
utter11.46,utter,BYRON,"Here, kid. Put this in your shoe in case you need it."
