segment-id,segment-type,segment-speaker,segment-text
desc0.0,desc,,B E S T O R I G I N A L S C R E E N P L AY GUILLERMO DEL TORO THE SHAPE OF WATER
utter0.1,utter,Guillermo del Toro,Written by
utter0.2,utter,Vanessa Taylor Guillermo del Toro,&
utter0.3,utter,Vanessa Taylor,Story by
utter0.4,utter,Guillermo del Toro,Story by
desc0.5,desc,,"FOX SEARCHLIGHT PICTURES, INC. 10201 W. Pico Blvd."
scene1,slugline,,"Los Angeles, CA 90035"
desc1.6,desc,,"FOX SEARCHLIGHT PICTURES, INC."
desc1.7,desc,,"Blvd. COPYRIGHT (c)2016 WILLOW AND OAK, INC. NO PORTION OF THIS SCRIPT MAY BE"
utter1.8,utter,RIGHTS,RESERVED.
scene2,slugline,,"Los Angeles,"
desc2.9,desc,,"CA 90035REPRODUCED, SOLD OR DISTRIBUTED BY ANY MEANS, OR QUOTED OR PUBLISHED IN ANY MEDIUM, INCLUDING ANY WEB SITE, WITHOUT THE PRIOR WRITTEN CONSENT OF WILLOW AND OAK, INC. DISPOSAL OF THIS SCRIPT COPY DOES NOT ALTER ANY OF THE RESTRICTIONS SET FORTH ABOVE. ALL RIGHTS RESERVED. COPYRIGHT (c)2016 WILLOW AND OAK, INC. NO PORTION OF THIS SCRIPT MAY BE PERFORMED, PUBLISHED, REPRODUCED, SOLD OR DISTRIBUTED BY ANY MEANS, OR QUOTED OR PUBLISHED IN ANY MEDIUM, INCLUDING ANY WEB SITE, WITHOUT THE PRIOR WRITTEN CONSENT OF WILLOW AND OAK, INC. DISPOSAL OF THIS SCRIPT COPY DOES NOT ALTER ANY OF THE RESTRICTIONS SET FORTH ABOVE."
scene3,slugline,,INT. ELISA'S APARTMENT / RIVER FOOTAGE - NIGHT
desc3.10,desc,,"We float at the bottom of a river. Surrounded by water. Fish swim away. Debris floating in the waterAnd, then, a lamp floats byA coffee potA shoe."
utter3.11,utter,GILES / NARRATOR,"If I spoke about it- If I did- what would I tell you, I wonder? Would I tell you about the time...? It happened a long time ago- in the last days of a fair Prince's reign... Or would I tell you about the place? A small city near the coast but far from everything else... Or would I tell you about her? The princess without voice... (beat) Or perhaps I would just warn you of the about the truth of these facts"
scene4,slugline,,and the tale of love and loss and
desc4.12,desc,,"Camera pushes and we see: An entire apartment underwater. Objects and furniture float, gently suspended, defying gravity. Asleep on/above her bed -- half floating, half weighed down: ELISA. Roughly 30, but ageless, with child-like eyes, dark, lush hair and a thin, beautiful mouth slightly curved into a satisfied smile. She slowly settles/drifts down on the mattress below as an early digital alarm clock lazily floats over a night table nearby... SUDDENLY: The alarm goes off!"
scene5,slugline,,10:45 PM
desc5.13,desc,,"-Elisa opens her eyes. Lifts the mask, looks around: No water at all. Slowly, she gets up. An ambulance red light briefly illuminates the apartment, its siren fading rapidly. Barefoot, she heads to the bathroom: We see that light is emanating from her FLOORBOARDS. Music and dialogue leaks up through the floorboards too. She readies the bathtub"
desc5.14,desc,,"""... No God could be pleased with the death of a child at the altar..."" Camera goes through floor into1B"
scene6,slugline,,INT. CINEMA - SAME
desc6.15,desc,,-the ornate ceiling- and intoThe cinema: The STORY OF RUTH plays to an-almost empty theater- One patron or two are asleep. TITLE: THE SHAPE OF WATER.
scene7,slugline,,INT. ELISA'S APARTMENT - SAME
desc7.16,desc,,Elisa drops three eggs into a pot of boiling water and heads for the bathroom. On the way there- she picks up an egg timer and casually winds it.
scene8,slugline,,INT. ELISA'S BATHROOM
desc8.17,desc,,"She disrobes- Revealing: On both sides of her neck: two keloid scars, diagonal and about three inches long."
desc8.18,desc,,"""...Who's the man?"""
desc8.19,desc,,"The voices from below continue as she steps into the bathtub: Water overflows and hits the tiled floor. She sinks in. A deep sigh. She sets the egg timer to TWO MINUTES. She sighs. Then rubs her hand with soap, plants her two feet on the base of the tub, sighs again and goes to work on herself, gently, slowly-but with the timer ticking awayShe's almost there when the timer DINGS. 3"
scene9,slugline,,"INT. KITCHEN, ELISA'S APARTMENT - SAME"
desc9.20,desc,,A WALL CLOCK- its minute hand slides into position- TACK!:
scene10,slugline,,10:55 PM.
desc10.21,desc,,"Elisa rips off a leaf from a wall calendar and opens a window, letting the fresh air in. Her hair is wet and she nervously looks at the clock on the wall. The Calendar leaf back reads: ""Time is but a river flowing from our past."""
scene11,slugline,,CLACK! 11:00 PM
desc11.22,desc,,"Elisa stares at a WALL OF SHOES. Chooses a GREEN PAIR. Shines them, quietly- alone- at the table. Puts them on. Another siren goes by."
scene12,slugline,,CLACK! 11:01 PM
desc12.23,desc,,"She takes out 3 hardboiled eggs- still steaming- out of a pot. Uses the calendar sheet to pack one, plus saltines and a small mustard and a half pickle sandwich on a paper bag. Two eggs and a half sandwich go onto a small plate. She undoes the three locks on her door (light & music intensifies still emanating from the floorboards) and4"
scene13,slugline,,INT. APARTMENT CORRIDOR - NIGHT
desc13.24,desc,,"-exits her apartment. We see the ""shadowing"" of old brass letters -some are still there- they read ""DELIVERIES"" She goes to the door directly across from hers (similar sign: ""PROCESSING""). A TV can be heard inside. She uses a key to let herself in."
scene14,slugline,,INT. GILES APARTMENT - NIGHT
desc14.25,desc,,Full of books. ENTIRELY full of them. Here and there are halffinished illustrations. Large original art from ADVERTISEMENTS. Two cats- SNOWFLAKE and LILLIE stroll lazily.
utter14.26,utter,GILES,(over sirens) Did the sirens wake you up?
desc14.27,desc,,"Hard at work at a drawing table- is GILES: late 60's, refined and prim: wool vest, bow tie and tortoiseshell glasses. When he speaks he has a ever-so-slight stutter (which gets worse when he gets nervous)."
