segment-id,segment-type,segment-speaker,segment-text
scene1,slugline,,Screenplay by Mark Protosevich
desc1.0,desc,,"based on the novel by Richard Matheson In 1995, researchers at the University of Kansas used viruses linked to healthy respiratory cells to destroy and replace diseased cells in patients afflicted with lung"
utter1.1,utter,"Albert Camus, Notebooks.","""'Let there be light!' said God, and there was light. 'Let there be blood!' says man, and there's a sea!"" Lord Byron, Don Juan."
desc1.2,desc,,"A VIDEO IMAGE FLICKERS TO LIFE. A ruggedly handsome man with dark, haunted eyes. Eyes that have seen hell."
utter1.3,utter,NEVILLE,"My name is Robert Neville. Today is October 17th, the year 2002. I was born in 1960, on this very day, so that makes today my birthday. (remembering) Every year for my birthday, my wife Ellen would throw me a party. A kid's party. Cake, ice cream, funny hats, ""Pin the Tail on the Donkey"". One year she rented a pony. It didn't matter that we were grown-ups and this was all kind of silly to the neighbors. She just did things like that. She brought such joy into everything she did, everything she touched... (too nostalgic) I am forty-two today. I feel fine. I feel fit. My mental state is... pretty good. (withdraws) Let's start over. (focuses) My name is Robert Neville. I was born forty-two years ago in Des Moines, Iowa. I had a wife Ellen and a daughter Grace. My father's name was Bill and my mother's Charlotte. They were farm people. I hope... Someday... When someone finds these tapes... You will know who I was. What I was about. What I tried to do. What I try to do. (withdraws) I think I killed six last night."
scene2,slugline,,NEVILLE'S HOUSE - DAY
desc2.4,desc,,"ROBERT NEVILLE switches off the VIDEO CAMERA pointed at him. He collapses the tripod and rests the apparatus in a corner. He wears shorts, a t-shirt, tennis shoes. He slices a CD into an impressive MUSIC SYSTEM and Mahler's ""Resurrection"" Symphony BLASTS from speakers throughout the house. INT."
scene3,slugline,,NEVILLE'S HOUSE - EXERCISE ROOM - DAY
desc3.5,desc,,"A serious workout facility. Weights, boxer's heavy bag, rowing machine, etc. Neville pushes himself through a series of strenuous exercises. His body is in fantastic shape. Taught muscle. Lean, not bulky. His movements are lithe, almost graceful. More track athlete than body builder. INT."
scene4,slugline,,NEVILLE'S HOUSE - SHOWER - DAY
desc4.6,desc,,"Neville washes his body and we notice the SCARS. On his ankles, wrists, neck, stomach, back. A few are the results of crude stitches, the others... Bite marks ? Scratches ? INT."
scene5,slugline,,NEVILLE'S HOUSE - LIBRARY - DAY
desc5.7,desc,,"Neville passes shelves filled with COMPACT DISCS, AUDIO CASSETTES, and VIDEOTAPES. Another section filled with BOOKS and PAINTINGS. Only a carefully selected few hang on the walls--Degas, Klee, Rothko, Van Gogh. rest are stacked like pallets. They must be copies. Mustn't they?"
scene6,slugline,,The
desc6.8,desc,,"A TELEVISION gives us the ""Today Show"", A RADIO, NPR's ""Morning Edition"", ""Resurrection"" in the background. A wall of sound. The sound of everyday life. Normal life. Neville descends a SPIRAL STAIRCASE leading to the GROUND FLOOR. INT."
scene7,slugline,,NEVILLE'S HOUSE - GREENHOUSE - DAY
desc7.9,desc,,"Neville strolls the aisles of a hothouse. Vegetables, fruit, herbs, potatoes. All in carefully compartmentalized lots. Panes of glass on the roof allow in SUNLIGHT. Neville notices a loose screw on a shutter and pulls a SQUARE of METAL from his pocket. It's an ALL-IN-ONE-TOOL--something Neville is never without. Only two inches-by-two inches, it has a screwdriver tip, a serrated 'saw' edge, a knife edge, magnifying glass, etc. Neville tightens the screw, holds the tool in his teeth--a habit--and makes sure the window is shut tight. Neville picks a few strawberries, checks the Condition of a tomato plant, and trims a vine with the knife side of the tool."
scene8,slugline,,NEVILLE'S HOUSE - KITCHEN - DAY
desc8.10,desc,,"Neville sits at a table eating a bowl of oatmeal with fresh s-strawberries, sipping a cup of coffee. On a wall mounted TELEVISION, Katie Couric and Bryant Gumbel. Neville watches with an almost disturbing gaze. He mouths along with them, somehow anticipating the ""live"" dialogue..."
utter8.11,utter,NEVILLE / KATIE,And for those of us who'd like to lose a
desc8.12,desc,,"few pounds, Dr. Art Ulene will be here to"
desc8.13,desc,,(If we paid attention we'd notice the information contained in the TV show
