segment-id,segment-type,segment-speaker,segment-text
scene1,slugline,,Screenplay by
desc1.0,desc,,Michael Mahern and Nicholas Kazan Based on a story by
scene2,slugline,,INT: BELOW DECK ON A OCEAN GOING SHIP - NIGHT
desc2.1,desc,,"Fifty immigrants are packed onto benches along the walls of the small dark room. Some eat or talk, but most stare vacantly into space. Others sleep curled up among their baggage on the floor. A lamp swinging from the ceiling provides the only light."
scene3,slugline,,"Eleven years old, and bored as hell after thirty days in"
desc3.2,desc,,"this pit, leans against his sleeping mother, ROSALIE, who clutches her seven year old son, BARTOLO, in her arms."
scene4,slugline,,ANOTHER FAMILY
desc4.3,desc,,"Huddles together, eating bread and sausage. The Father looks up and sees Salvatore staring. He cuts a piece of sausage and tosses it to the boy."
utter4.4,utter,SAUSAGE MAN,(IN ITALIAN) Your last taste of Sicily.
desc4.5,desc,,A MIDDLE-AGED MAN OF SEVERE BEARING looms in the doorway. He shouts.
utter4.6,utter,ANTONIO LUCIANO,NO!
desc4.7,desc,,"Rosalie Luciano stirs out of her stupor, as Antonio grabs the piece of sausage from his son's hand."
utter4.8,utter,ANTONIO LUCIANO,(IN ITALIAN) We are not beggars.
desc4.9,desc,,"With a half-bow, Antonio returns the small chunk of meat. The Sausage Man shrugs and takes it. Salvatore glares at his father. Craving revenge, but helpless to get it. Rosalie squeezes her son's hand to calm him. A MAN STICKS HIS HEAD THROUGH THE DOOR AND SHOUTS EXCITED MAN (IN ITALIAN)"
desc4.10,desc,,"Antonio's face lights up, as the passengers roar their approval and rush for the door."
scene5,slugline,,CLOSE - ON THE KEROSINE LAMP
desc5.11,desc,,"as it lists from side to side with the movement of the boat. WE PAN DOWN to the nearly empty compartment. Watching the door, Salvatore paws some baggage, finds the sausage, and cuts himself a healthy piece. He gobbles it down greedily, wiping his hands on his shirt as he runs for the door."
scene6,slugline,,INT: CLASSROOM AT P.S. #34 - DAY
desc6.12,desc,,"A raucous band of second-graders settle in as the bell rings. Salvatore appears at the door, bewildered. He towers over kids five years his junior. The male teacher calls him over."
utter6.13,utter,TEACHER,Come on. Come on.
desc6.14,desc,,"As the classroom buzzes, Sal moves uncertainly toward the front. Something must be wrong. They can't be putting him in with these babies. The Teacher takes his papers."
utter6.15,utter,TEACHER,Sit in the back.
desc6.16,desc,,"Salvatore looks around, not understanding."
utter6.17,utter,SALVATORE,(IN ITALIAN) There is some mistake.
utter6.18,utter,TEACHER,"(mocking) Back. You know ""back""?"
desc6.19,desc,,"Sal's face reddens as the Teacher slaps him too heartily on the back. A little girl giggles. The Teacher thumps Sal's chest, then his back again."
utter6.20,utter,TEACHER,Front. Back.
desc6.21,desc,,"The students squeal their approval of the comic performance. Sal doesn't know what the hell is going on here, except that he wants to slug this jerk. The Teacher shoves Sal down the aisle."
utter6.22,utter,TEACHER,Sit in the back.
desc6.23,desc,,"Sal spins around and smacks the Teacher full across the face, then bolts for the door."
scene7,slugline,,EXT: MULBERRY STREET - DAY
desc7.24,desc,,"Looking over his shoulder as he runs down the street, Sal slows as he realizes he's not been pursued. The vendors on the sidewalk bargain vigorously in Yiddish, Italian, and English. Sal stops as an ITALIAN LABORER, standing in front of a roulette wheel, shouts in triumph. The slick-haired OPERATOR bows to the winner, handing him a dime. With a flourish, the Laborer pulls a crumpled dollar from his pocket and unfolds it. The crowd gathered around buzzes. Sal notices the Operator suppress a smile as the man places his dollar on the black."
utter7.25,utter,ITALIAN LABORER,Nero.
desc7.26,desc,,"Before the Operator can spin the wheel, Sal waves a nickel."
utter7.27,utter,SALVATORE,Rosso!
desc7.28,desc,,"As Sal slaps his nickel onto the red marker, the Operator shoots him a dirty look and spins the wheel. As it comes to rest on red, the Operator scoops up the crest-fallen Laborer's dollar, and grudgingly flips a dime to Salvatore."
utter7.29,utter,OPERATOR,(IN ITALIAN) A lucky boy. You're playing again?
utter7.30,utter,SALVATORE,(IN ITALIAN) Only when there's another fool with a dollar to bet against.
scene8,slugline,,INT: BEDROOM OF LUCIANO FAMILY APARTMENT - EVENING
desc8.31,desc,,"Sal lays across a pallet on the floor of the dark, tiny room. Bartolo lays next to him, asleep. In the next room, Rosalie Luciano cooks in a primitive kitchen. Sal pulls a set of post cards from his pocket, and flips through the photos of beauties posed provocatively in their scanties. At the sound of his father's voice raised in anger, he hides the cards. JUST INSIDE THE FRONT DOOR STANDS A MAN IN UNIFORM As Antonio drags Sal out from the bedroom."
utter8.32,utter,SALVATORE,(IN ITALIAN) The Teacher hit me first!
desc8.33,desc,,"Antonio hits Sal hard, upside the head."
utter8.34,utter,ANTONIO LUCIANO,(IN ITALIAN) You have a smart teacher.
desc8.35,desc,,"Rosalie runs over from the kitchen, waving a ladle."
utter8.36,utter,ROSALIE LUCIANO,(IN ITALIAN) He's only a baby!
utter8.37,utter,SALVATORE,"(IN ITALIAN) Mama, I'm not a baby!"
desc8.38,desc,,"Antonio smacks Sal again, as his mother tries to pull him away."
utter8.39,utter,ANTONIO LUCIANO,(IN ITALIAN) Don't talk back to your mother.
