segment-id,segment-type,segment-speaker,segment-text
utter0.0,utter,Eddie Murphy Arsenic Hall David Sheffield Barry W. Blaustein First Draft,"September 2, 1987"
scene1,slugline,,THE ROYAL PALACE - DAWN
desc1.1,desc,,"A reddish African sun peers over the roof tops of the majes~ic royal pa.lace. It is an amazing place, a vision so perfect it might have come from a fairy tale. This vast dwelling is surrounded by lavish grounds which seem to stretch forever. ATOP THE POSH ROYAL BARN The King's ROOSTER looks down on the kingdom, a regal haughty bird. He CROWS."
scene2,slugline,,INSIDE THE ROYAL HENHOUSE
desc2.2,desc,,"A plump HEN sits on a mink-lined nest in an ornately gilded cage. She lays an egg. :rt rolls down a gleaming brass chute onto a velvet pillow. A SERVANT wearing white gloves picks up the egg. ANGLE TO REVEAL Row upon row of identically splendid cages, each hen living in a fabulous condo of her own. If Liberace had kept chickens, this is how they would have lived."
scene3,slugline,,INSIDE THE ROYAL KITCHEN
desc3.3,desc,,CLOSE ON AN EGG as a CHEF cracks it into a large mixing bowl. He whips the eggs with a platinum whisk studded with rubies. As we PULL BACK we see a dozen MORE CHEFS preparing a breakfast fit for a king.
scene4,slugline,,IN THE ROYAL GARDENS
desc4.4,desc,,"Dozens of crisply-uniformed SERVANTS pick big beautiful oranges from the royal trees. A SERVANT GIRL picks luscious strawberries, snipping their stems with a pair of sterling scissors. Another SERVANT examines blueberries under a magnifying glass tossing out the ones that aren't absolutely perfect."
scene5,slugline,,IN THE ROYAL BAKERY
desc5.5,desc,,The BAKER removes a golden loaf of bread from the oven. Even the oven door is encrusted with jewe.ls.
scene6,slugline,,INSIDE THE ROYAL BARN
desc6.6,desc,,"A SERVANT milks the royal DAIRY COW in an incredibly fancy stall decorated in a Laura Ashley country motif with dainty flowered wallpaper. In this kingdom, the barnyard animals live better than candy Spelling. BACK IN THE KITCHEN CHEFS are chopping, dicing, slicing, conjuring up dozens of omelettes, pancakes and scuffles."
scene7,slugline,,IN THE ROYAL PIG PEN
desc7.7,desc,,A fat pink PIG wearing a ruffled bib sucks contentedly on a bottle of milk. He hasn't a care in the world. The door opens and a BUTCHER appears with a long shiny knife. The pig SQUEALS.
scene8,slugline,,THE KITCHEN
desc8.8,desc,,Fresh pork sausage SIZZLING on the royal grill.
scene9,slugline,,ROYAL PALACE - SAME TIME
desc9.9,desc,,"A dozen tuxedoed MUSICIANS tiptoe silently down the hallway carrying oboes, violins and flutes. They wear special cushioned slippers so as not to make the slightest sound. The CONDUCTOR opens a massive door and the musicians follow him into *** THE PRINCE'S SLEEPING CHAMBER It's about the size of the lobby of the Plaza Hotel, only more ornate. In the center of the room is a bed so enormous you could land a 747 on it. The glittering bed posts seem to have been carved out of a mountain of gold."
scene10,slugline,,CLOSE ON PRINCE AKEEM (EDDIE)
desc10.10,desc,,"He is sleeping peacefully in the middle of the immense bed, every hair in place, wearing luxurious silk pajamas. THE CONDUCTOR glances at a HUGE CLOCK as it ticks silently toward eight. Right on cue, he raises his baton and the musicians begin to PLAY a soothing, lilting MELODY."
desc10.11,desc,,"His eyelids flutter as he awakens for another day in paradise. He gets out of bed, but before he touches the floor, a SERVANT places silken slippers on his feet. Akeem stands up. he stretches, ANOTHER SERVANT slips a brocaded silk robe over his royal shoulders. MORE SERVANTS enter the room, including the head servant OJA."
utter10.12,utter,SERVANTS,"( in unison) Good morning, Your Highness."
scene11,slugline,,"Happy birthday, Your Highness."
desc11.13,desc,,"A.keem nods half-heartedly. He strolls across the room. As he goes, ROSE BEARERS move ahead of him, tossing petals in his path."
scene12,slugline,,THE ROYAL VANITY
desc12.14,desc,,"Akeem stares into the mirror. He opens his mouth. A servant brushes his teeth with a jeweled toothbrush. Akeem bends down, out of FRAME, to spit. He reappears. Another servant pats his lips dry with a little towel. Still another servant places a crystal cup to Akeem's lips. He sips some mouthwash and tilts his head back, opening his mouth. A servant gently jiggles Akeem's adam's apple. This is a man who doesn't even have to gargle for himself. THE"
scene13,slugline,,PRINCE'S BATHROOM
