segment-id,segment-type,segment-speaker,segment-text
scene1,slugline,,Central Point Films EXT. SMALL FARMHOUSE - NIGHT
desc1.0,desc,,Crickets.
scene2,slugline,,A spring night in rural Virginia.
desc2.1,desc,,"MILDRED(18) seems nervous. Her eyes cast down. She's beautiful. A slender, light skinned black woman. High cheekbones hint at a mix of Native American ancestry. She picks her head up and takes a deep breath. eyes are soft in the light of the front porch. Her big brown"
utter2.2,utter,MILDRED,I'm pregnant.
desc2.3,desc,,"RICHARD(24) listens. He's a white man with close cropped blonde hair and a dark neck burned from working outside. He takes in the information. A smile breaks across his face, revealing a mouth full of crooked teeth. He quickly draws his lips over them, swallowing the smile. He's shy, self-conscious of the teeth. He begins to nod, a more reserved smile coming through. Good."
utter2.4,utter,RICHARD,That's real good.
desc2.5,desc,,"At this, Mildred's shoulders drop with relief. They sit close to one another on the front steps of a onestory wood planked house. It's 1958. They are young, but a rural working life makes them seem older than their years. Richard takes her hand. She leans into him. An ominous SOUND grows in the distance. thunder. It builds. A rumbling like"
scene3,slugline,,EXT. DRAG RACING STRIP - DAY
desc3.6,desc,,"The chassis on an early 50's Chevy rocks back and forth as gas charges through the idling motor. VIRGIL(25) continues to rev the car as he steals a glance at his competition, another bulked up American machine primed to explode off the starting line. Virgil is a mustached black man with thick eyebrows. He wears a bowler hat and clinches a toothpick in his teeth. He catches the OTHER DRIVER's eye, a white man. Virgil smiles. A Man snaps a rag into the air. Tires smoke. Rubber streaks the asphalt as the cars light out down the strip. Richard pops off the hood of a parked car and tracks the race. He's part of a GROUP gathered on the dirt swath that borders the track. Mildred is with her sister GARNET(20), a woman of similar features and beauty. The Group of seven is made up of blacks and whites. Most hold cans of beer. All follow the race. The two cars race neck and neck, their chrome bumpers straining for the lead. Virgil's car manages to pull ahead. Standing by Richard are RAYMOND(20), a thick-necked black man who is easy to smile when not sweating a race, and PERCY(25), a tall man who watches more than he talks. At Virgil's car taking the lead, Raymond's hand comes up."
utter3.7,utter,RAYMOND,There goes.
desc3.8,desc,,"The other Driver leans into the wheel as if to aid his chances, but it doesn't help. Virgil manages a car length lead as he tears across the finish line. He yells and punches at the roof. Richard's arm flies up, but he's silent. Raymond lets out a whooping sound before swinging out his massive palm which Richard meets with a slap. The Group cheers behind them. Richard walks back to Mildred, but on his way..."
utter3.9,utter,RICHARD,Timing's still off 'bout two degrees.
utter3.10,utter,RAYMOND,Looked fine to me. (to Percy) What you think?
utter3.11,utter,PERCY,I think we won.
desc3.12,desc,,Mildred runs up and gives Richard a big hug.
scene4,slugline,,EXT. DRAG RACING STRIP - DAY - LATER
desc4.13,desc,,"Virgil and Percy stand in front of the other Driver and his CREW, all white, as the Driver counts a stack of cash out and places it in Virgil's outstretched bowler hat."
utter4.14,utter,VIRGIL,"Now that's just fine right there, I told them 'bout ya'll that you boys have ya'll's, yes keep on now, you boys have a fast car right there but ya'll is fine to let us race wit you."
