segment-id,segment-type,segment-speaker,segment-text
utter0.0,utter,Debra Granik,Anne Rosellini
desc0.1,desc,,Based on the novel
scene1,slugline,,My Abandonment by Peter Rock EXT. SALVAGE LOT - AFTERNOON
desc1.2,desc,,"WILL, 40s, sorts through piles of industrial hardware and cable. When he finds several pieces of metal grate, he sets them aside. His daughter, TOM, young teens, works with him. We only need one more. She hands him one she's found. They leave a small payment for the man who lives in the lot."
scene2,slugline,,"EXT. FOREST PARK, ENTRANCE - AFTERNOON"
desc2.3,desc,,"Tom and Will enter a dense park by scrambling up a gully, avoiding the public entrance. They're in Forest Park, a temperate rain forest abutting the city of Portland, Oregon."
scene3,slugline,,EXT. FOREST PARK - LATE AFTERNOON
desc3.4,desc,,"Not using an established path, they walk over fallen trees and bushes. Tom stops. She holds back some brambles. On the ground is a dead animal. She picks up a stick and examines the body."
desc3.5,desc,,How many organs can you identify? Tom peers through under growth to an animal's body.
utter3.6,utter,TOM,That's his liver. Lungs. Heart. Good.
utter3.7,utter,TOM,(pointing with the stick) I'm not sure what that is. Spleen.
utter3.8,utter,TOM,What happened?
desc3.9,desc,,Someone probably hit him with their car. He came too close to town. They walk away into the woods.
scene4,slugline,,"EXT. FOREST PARK, ENCAMPMENT - AFTERNOON"
desc4.10,desc,,"They arrive at a spot where they toss down their packs. They're home. Will lights a lantern which emits a low light. He pulls back some large branches which they've used to obscure their dwelling, constructed with a tent and tarps. In front of it, they've set up a small cooking area. A camping stove is perched on a flat rock and two tree stump stools are arranged around a small table fashioned from a board. Will stashes their groceries in a buried food cooling cache. Tom lights a lamp. He processes wood - splitting it with his knife."
scene5,slugline,,"INT. FOREST PARK, ENCAMPMENT - NIGHT"
desc5.11,desc,,Will is reading. Tom arranges her sleeping bag.
desc5.12,desc,,Need a second layer?
desc5.13,desc,,She gets in and comfortable. He turns out the light.
utter5.14,utter,TOM (CONT'D),See you in the a.m.
desc5.15,desc,,"They make their private clicking communication sound. After a moment, they hear the sound of snapping branches as some dogs run through the brush and through their camp. One dog stops to sniff around their tent. Will switches on a flashlight and they can see the outline of its snout protruding through the shelter wall. Will reaches for a pan and bangs it with a spoon, which sends the dog away."
utter5.16,utter,TOM (CONT'D),I named the head dog Layla.
utter5.17,utter,WILL,"If she's such a good friend of yours, you could tell her that we're trying to get some sleep around here."
utter5.18,utter,TOM,I don't speak dog.
utter5.19,utter,WILL,Let's try to get back to sleep.
desc5.20,desc,,"He settles in attempting to fall asleep again, but is wide awake."
scene6,slugline,,"EXT. FOREST PARK, ENCAMPMENT - DAY"
desc6.21,desc,,"Tom walks along a fallen tree to a small garden covered by a transparent plastic tarp. She pulls back the tarp and weeds. As she works, she gets distracted by pill bugs and centipedes under a log. She uses a magnifier to look closely at the centipede. With the knife on her belt, she cuts deeper into the log and reveals more bugs."
scene7,slugline,,EXT. FOREST PARK - DAY
desc7.22,desc,,Tom forages in the forest for edible plants. She uses a small pair of field glasses to identify a bird she hears. She pokes around a fallen tree and discovers the yellow tip of a chanterelle mushroom hidden underneath. Yes!
desc7.23,desc,,"She investigates further and finds a small patch of the mushrooms and begins snapping them off at the base. In the distance, she can hear her father make a a bird sound. Tom answers him with an owl sound. She gathers the mushrooms, puts them in the pocket of her hoodie and heads back to camp."
scene8,slugline,,"EXT. FOREST PARK, ENCAMPMENT - DAY"
desc8.24,desc,,"She cuts through some low brush to get to Will. He's immersed in building a solar cooker, using the scrap metal they collected as a base."
utter8.25,utter,TOM,Look what I found.
desc8.26,desc,,"He glances up to look at the mushrooms, but he's absorbed in what he's constructing."
utter8.27,utter,WILL,Excellent. Good haul. hand here?
desc8.28,desc,,She holds pieces of foil while Will tacks them in place over the frame of an umbrella. She looks at the book he's using to learn about solar cooking.
utter8.29,utter,TOM,Do you think we'll ever be able to cook on this? It seems better for a sunny state. There's radiant energy even when
desc8.30,desc,,you can't see the sun.
utter8.31,utter,TOM,"Maybe so, but I couldn't wait 2 weeks for an egg. He's in thought about improvements."
utter8.32,utter,TOM (CONT'D),This'll be good in summer.
utter8.33,utter,TOM (CONT'D),I'm hungry. Can we finish this later? Yes.
desc8.34,desc,,He smiles at her.
scene9,slugline,,"EXT. FOREST PARK, ENCAMPMENT - DAY"
desc9.35,desc,,"Will, in his city clothes, conservative neutral colored garments, combs his beard. He clicks to get her attention. TOM Code Brown. After a moment, Tom comes from behind the privacy tarp, dressed in her clothes for town. She washes her hands. . Clean your nails. He passes her a sharpened stick. She notices a long pine needle in his clothing and picks it off. He tidies up their dwell space and she coves the lids of cache buckets. They check each others' clothing and do one last preening."
scene10,slugline,,EXT. FOREST PARK - DAY
desc10.36,desc,,"Tom and Will walk parallel to each other through the trees. At one point, Will stops, crouches down, and looks back from where they've come to see if their path can be detected."
utter10.37,utter,WILL,We've been this way one time too many. New route needed.
desc10.38,desc,,They continue on.
utter10.39,utter,TOM,"It's only Tuesday. Why are we going to town today? Schedules and routines are fine, but you don't want to be predictable. That's when you get hit, by being overconfident. (pause) Anyway, we're low on food -- milk powder, oatmeal. Your appetite is growing."
utter10.40,utter,TOM,I'm growing! I know.
desc10.41,desc,,She smiles at him.
scene11,slugline,,"EXT. FOREST PARK, PUBLIC PATH - DAY"
desc11.42,desc,,"As they approach the boundary of where the park meets paved streets, Tom and Will exit using one of the public paths and stairs, looking like any other folk leaving the park. Tom spots a necklace on the ground. She picks it up, looks at it, and puts it back on the ground."
utter11.43,utter,TOM,"If it's still here when we get back, can I take it?"
utter11.44,utter,WILL,Yep. That's fair.
scene12,slugline,,"EXT. FOREST PARK, ENTRANCE - DAY"
desc12.45,desc,,"Will and Tom quickly scramble down a steep gully in Forest Park. They check each others' appearance, brushing off bits of forest debris, from clothing, hair, and beard. They walk in the direction of the St. John's Bridge."
scene13,slugline,,EXT. ST. JOHN'S BRIDGE - DAY
desc13.46,desc,,They walk across the bridge to get into town.
scene14,slugline,,EXT. ST JOHN'S SQ. - DAY
desc14.47,desc,,They deposit two small bags of garbage into the dumpster.
scene15,slugline,,INT. AIR TRAM - DAY
desc15.48,desc,,"Tom looks at the city; Will looks at the enormous medical complex looming in front of them. There are a few other passengers. TWO MEDICAL WORKERS in white coats are in the mix. As they approach, The VA hospital takes up the whole view."
scene16,slugline,,INT. VA MEDICAL CENTER - DAY
desc16.49,desc,,Tom is in the waiting room reading. Her book obscures her face. She glances up at the glass passageways of this labyrinth.
scene17,slugline,,INT. VA MEDICAL CENTER - DAY
desc17.50,desc,,Will meets back up with Tom. He stows the meds package that he's been given at the clinic into his back pack.
scene18,slugline,,EXT. ATM - DAY
desc18.51,desc,,Will withdraws money from an ATM.
scene19,slugline,,INT. GROCERY STORE - DAY
desc19.52,desc,,"They shop efficiently for the essentials. Will puts a chocolate bar in the cart, and Tom is surprised."
utter19.53,utter,TOM,Is that a want or a need? Both.
desc19.54,desc,,She seems pleased.
scene20,slugline,,EXT. ST. JOHN'S BRIDGE - DAY
desc20.55,desc,,"Tom and Will cross the bridge, carrying a tote with their groceries"
scene21,slugline,,"EXT. FOREST PARK, MEN'S CAMP - DAY"
desc21.56,desc,,"Tom and Will approach an encampment in a different section of the park, comprised of several tents. One has an American flag hanging off the front and a wheelchair beside it. One of the men living in the camp, LARRY, a vet who knows Will from the VA, greets them. Larry opens the package of pill bottles, tearing off the warning labels that are affixed to the bottles and the suicide literature that the VA packs in every bundle. Two of the bottles are smaller than the others."
utter21.57,utter,LARRY,They've changed the cocktail again.
desc21.58,desc,,Larry checks the label on the small bottles.
utter21.59,utter,LARRY (CONT'D),"Less Roxi's, less bars. Figures, they're cuttin' back on the ones that have any value to us."
desc21.60,desc,,He checks the big bottles.
utter21.61,utter,LARRY (CONT'D),"Looks like someone's tryin' to unload the sleep meds -- Seroquel, it really has no value to me. I'd have to find someone who wants to sleep all day and gain 70 pounds. (rifling through the bag) Prazosin - when's the last time that stopped a nightmare? They must be gettin' a deal on these."
desc21.62,desc,,Will nods. Larry takes all the bottles and pays Will.
utter21.63,utter,LARRY,"First, they give 'em out like candy, and now they're yankin' the leash back."
desc21.64,desc,,Will makes a small parting gesture.
utter21.65,utter,LARRY (CONT'D),"Whatever they're givin' you, I'll take 'em off your hands."
desc21.66,desc,,He looks over at Tom.
scene22,slugline,,EXT. FOREST PARK - DAY
desc22.67,desc,,Tom and Will walk away from the men's camp up a curving path into the trees.
utter22.68,utter,TOM,"It's weird, going there. If you're going to say something, be specific."
utter22.69,utter,TOM,It makes me feel sad to be there. That makes sense.
utter22.70,utter,TOM,Then why do we go?
utter22.71,utter,WILL,"We don't need the meds, but we can use the money."
scene23,slugline,,"EXT. FOREST PARK, ENCAMPMENT - DAY"
desc23.72,desc,,Will clears the air shaft for the dakota pit. He maintains the water catchment system.
scene24,slugline,,EXT. FOREST PARK - DAY
desc24.73,desc,,"Tom ventures into a part of the forest that is far from their camp and closer to the public hiking paths. In the trees she can see the orange vests of an inmate WORK CREW. AN OFFICER walks back and forth supervising. Tom spies from behind the trees. She moves closer, staying in the shadows. The worker closest to sees Tom through the branches and stares. They lock eyes for a minute. Tom steps back and hurries away."
scene25,slugline,,"EXT. FOREST PARK, ENCAMPMENT - DAY"
desc25.74,desc,,"Will's working on a fire, but the dampness makes it hard to start. Tom chops the mushrooms. She's hungry and the fire is taking a long time."
desc25.75,desc,,This is all so wet.
utter25.76,utter,TOM,Can we use the propane? WILL Heard your stomach growl.
