segment-id,segment-type,segment-speaker,segment-text
desc0.0,desc,,"CLOSE ON a spectacular example of PEUCETIA VIRIDANS. Descending through mid-air on a silken thread. Neon green with black leopard spots on its legs. A Green Lynx Spider. As we follow it down, the threaded opening of a GLASS JAR appears from the bottom of frame. Just before the spider continues inside the jar, it stops, suspended. Something's not right. It waves a leg tentatively through the air..."
utter0.1,utter,DARREN'S VOICE,Come on... Just a little lower...
desc0.2,desc,,"WIDEN TO REVEAL a Middle School TOILET STALL. Standing on the lid of the closed toilet, holding the glass jar up over his head, is DARREN SHAN. Darren is 14 and a well-liked kid. Tenacious. Diligent. The spider just hangs there."
utter0.3,utter,DARREN,Come on... I'll take good care of you. All the bugs you can eat.
scene1,slugline,,MIDDLE SCHOOL BOYS ROOM
desc1.4,desc,,"The door bangs open and STEVE LEONARD enters. Unlike Darren, Steve's not so well-liked. In fact, he can be trouble. Maybe that's why they're friends."
utter1.5,utter,STEVE,"Hey, Darren!"
desc1.6,desc,,"No answer. Steve walks along the stall, scoots low so he can see any feet in front of the bowls."
utter1.7,utter,STEVE,Did you fall in? Darren!
utter1.8,utter,DARREN'S VOICE,Shhh...
desc1.9,desc,,"Steve looks to the last stall, sees the jar being held up. INTERCUT from in and outside of the stall."
utter1.10,utter,DARREN,You're gonna scare him away.
utter1.11,utter,STEVE,"Man, we're getting killed out there. It's three to nothing."
desc1.12,desc,,Darren is all concentration as the spider drops a little.
utter1.13,utter,DARREN,"Your problem, Steve, not mine..."
desc1.14,desc,,"Steve gets a waggish idea. Stepping to the sink, pressing his forefinger over the spigot, he turns the faucet. WATER SHOOTS out in a stream, which Steve directs into and then over the stall door. Reacting, the spider zips up its thread, is lost in the darkened ceiling. The stall door opens. Dripping water, Darren stares at Steve who flashes a wicked grin..."
scene2,slugline,,EXT. SCHOOL YARD - DAY
desc2.15,desc,,"Kids eat lunch, off in their groups. On the field: Darren has a SOCCER BALL practically glued to his foot. He dribbles through defenders, shoots, SCORES! Steve pumps a fist:"
utter2.16,utter,STEVE,GOAL! Three to one!
desc2.17,desc,,"The other team regroups, starts back upfield with the ball. Darren steals it. A few strides and WHUMP! Darren catches the goalie too far out. The ball lofts just over the backpedaling goalie's head, bounces into the goal."
utter2.18,utter,STEVE,(EXULTANT) Three to two!
desc2.19,desc,,"Angry at himself, the goalie KICKS the ball away. It veers off toward the street. Steve takes it as a personal insult."
utter2.20,utter,STEVE,What does that prove? Huh?
desc2.21,desc,,The goalie blanches as Steve moves at him. Kids are nervous about Steve. He likes to fight. Darren gets between them.
utter2.22,utter,DARREN,Go get the ball. It's 3 to 2. Lunch's almost over.
utter2.23,utter,STEVE,"That's why he kicked it. To kill time. Well, I still got time to kick your face."
utter2.24,utter,DARREN,(BLOCKING HIM) Forget it. The ball.
desc2.25,desc,,"Steve decides, heads after it. The goalie gulps in relief."
utter2.26,utter,GOALIE,"Thanks, Darren. He's crazy."
desc2.27,desc,,Darren watches after Steve. He does have a vicious streak.
scene3,slugline,,THE STREET
desc3.28,desc,,Steve tracks down the ball which has rolled into the street. From seemingly out of nowhere... A gleaming black 1966 LINCOLN Continental. Its tires sucking at the asphalt as it rolls. The windows blacked out. It speeds up reaching the ball. Ba-Dump! The ball BURSTS.
utter3.29,utter,STEVE,You idiot!
desc3.30,desc,,"The car SCREECHES to a stop, idles ominously. Suddenly Steve doesn't seem so tough. He looks nervously back to Darren. But as a WIND picks up, the Lincoln suddenly tears off. A sheet of PAPER is kicked up by one of the car tires. The wind sends it sailing. It drifts down, until... Steve notices, snatches it out of the air. Darren steps up beside him, watches the Lincoln disappear down the street. Creepy..."
utter3.31,utter,STEVE,Look at this.
desc3.32,desc,,"The paper is a FLYER. A startling, violent layout. Beneath a snarling WOLF'S HEAD: CIROUE DU FREAK - Human oddities and other living curiosities. Midnight. Zeiterion Theater. $20 - Admission is at the discretion of the proprietor."
utter3.33,utter,STEVE,.Human oddities and other living curiosities... (TO DARREN) Other. Does that mean not human?
desc3.34,desc,,"Darren shrugs, takes the flyer."
utter3.35,utter,DARREN,A freak show. Ever been to one?
utter3.36,utter,STEVE,(GRINS) Just this school.
desc3.37,desc,,"Darren turns the flyer over. There are tire tracks on the back. They hear the sound of distant tire squeals, but the Lincoln is long out of view. Just an empty street now..."
