segment-id,segment-type,segment-speaker,segment-text
scene1,slugline,,1 INT. HARVEY'S KITCHEN - RECORDED WILL - NIGHT - 1978
desc1.0,desc,,"Close on a finger pressing the ""record"" button of a circa 1970's tape recorder."
utter1.1,utter,HARVEY MILK (V.O.),This is Harvey Milk speaking on Friday November 18th. This is to be played only in the event of my death by assassination...
desc1.2,desc,,"REVEAL: HARVEY MILK, 48, sitting at his kitchen table in a cluttered San Francisco apartment."
utter1.3,utter,HARVEY MILK (CONT'D),"During one of the early campaigns, I started opening my speeches with the same line and it sort of became my signature..."
scene2,slugline,,2 EXT. CITY HALL - NIGHT
desc2.4,desc,,"In street clothes, trying to corral an angry mob on City Hall's steps, Harvey lifts a bullhorn."
utter2.5,utter,HARVEY MILK,"Hello, I'm Harvey Milk, and I'm here to recruit you."
scene3,slugline,,3 INT. HARVEY'S KITCHEN - RECORDED WILL - NIGHT
desc3.6,desc,,Harvey at his kitchen table making his recording...
utter3.7,utter,HARVEY MILK,"If I was speaking to a slightly hostile or mostly straight audience, I'd try to break the tension with a joke..."
scene4,slugline,,4 INT. UNION HALL - NIGHT
desc4.8,desc,,"Harvey is in a plain, ill fitting brown suit making a CAMPAIGN SPEECH to a crowd of stone faced UNION BOYS."
utter4.9,utter,HARVEY MILK,"I know, I know, I'm not what you were expecting, but I left my high heels at home."
desc4.10,desc,,Harvey gets a LAUGH from the AUDIENCE.
scene5,slugline,,5 INT. HARVEY'S KITCHEN - RECORDED WILL - NIGHT
desc5.11,desc,,RETURN TO: Harvey speaking into his tape recorder.
utter5.12,utter,HARVEY MILK,"I fully realize that a person who stands for what I stand for - an activist, a gay activist - becomes the target or potential target for a person who is insecure, terrified, afraid or very disturbed themselves..."
scene6,slugline,,6 INT. CITY HALL OFFICES - MONTAGE - DAY
desc6.13,desc,,"POLICE OFFICERS AND PRESS RACE THROUGH THE HALLS of City Hall, their walkie-talkies squawking. Something terrible has happened. It's chaos. A STRETCHER IS WHEELED OUT OF AN OFFICE. On it, a FILLED BODY BAG with a WHITE SHEET draped over it. The press rush to get a shot. The police officers quickly load the body onto the elevator and disappear from sight."
