segment-id,segment-type,segment-speaker,segment-text
scene1,slugline,,. Revised Script 7 /2/87
utter1.0,utter,Screenplay By Gary Ross,and Anne Spielberg (Blue)
desc1.1,desc,,"It glows an incandescent blue. Long rows of electronic type print rapidly across the screen. ""YOU ARE IN THE CAVERN OF THE EVIL WIZARD. ALL AROUND YOU ARE THE CARCASSES OF SLAIN ICE DWARFS. THE WIZARD STANDS I.BOVE YOU AT THE TOP OF HIS PILLAR POINTING THE FROZEN SCEPTER."""
desc1.2,desc,,"ONTO THE SCREEN*:) The computer ressonds in an instant line of type: ""WHAT DO YOU WANT TO MELT THE WIZARD WITH?"""
scene2,slugline,,FULL SHOT - JOSHUA BASKIN - DAY
desc2.3,desc,,"He is an average twelve-year-old boy, slightly short for his age. The cheeks are rosy and have never been shaved. His eyes are clear and bright with an intelligent twinkle. Josh stares earnestly at the screen of his home computer trying to figure out a way to terminate the Evil Wizard."
utter2.4,utter,JOSH,(calling down to her) In a minute. (back to the computer while he types) MOTHER. (OS) I'm not going to tell you again.
utter2.5,utter,JOSH,(frantic) Just a second! Joshua Baskin ***
desc2.6,desc,,"""YOUR HESITANCY HAS COST YOU DEARLY. THE WIZARD, SENSING YOUR APPREHENSION, UNLEASHES A FATAL BOLT FROM THE ICE SCEPTER, FREEZING YOU INTO OBLIVION. WITH LUCK, YOU WILL THAW IN SEVERAL MILLION YEARS."" FULL SHOT - JOSH"
scene3,slugline,,KITCHEN
desc3.7,desc,,"Joshua's mother, MRS. BASKIN, is busily cleaning the kitchen. Three Hefty garbage bags sit on the tile floor. One-year-old RACHEL gurgles happily in her Johnny Jumper by the door. Josh walks into the kitchen wearing his ""DUKES"" little league jacket."
utter3.8,utter,MRS. BASKIN,(pointing at garbage) Those three.
desc3.9,desc,,"Josh looks from the bags to his little sister, then leans over and takes her toy. Rachel reaches out with a whimper."
desc3.10,desc,,Josh hesitates. Rachel lets out a cry. MRS . BASKIN (contd)
desc3.11,desc,,"He flashes her a smile and gives Rachel a deliberate kiss on the cheek. Josh hands her the toy, then grabs the garbage bags."
scene4,slugline,,BASKIN HOUSE - MORNING
desc4.12,desc,,"He heaves the bags into the metal cans with exaggerated effort. Josh glances back at the house, then grabs his bicycle from against the fence."
scene5,slugline,,FRONT OF HOUSE - DAY
desc5.13,desc,,He heads .down the path that leads to the street. Josh jumps on his bike and is just about to shove off when his father appears at the edge of the yard.
utter5.14,utter,MR. BASKIN,Finish your homework?
desc5.15,desc,,Josh looks back in amazement.
utter5.16,utter,JOSH,It's Saturday. MR. BASKIN
desc5.17,desc,,And tomorrow's the carnival.
utter5.18,utter,JOSH,But .**
utter5.19,utter,MR. BASKIN,You want to go tomorrow night?
utter5.20,utter,JOSH,(beat) Can I go alone? MR. BASKIN No.
utter5.21,utter,JOSH,Can't I do anything alone? Sure.
utter5.22,utter,MR. BASKIN,You can go do your homework.
desc5.23,desc,,"Josh rolls his eyes, then turns and heads back toward the house."
scene6,slugline,,EXT. SCHOOLYARD - GEORGE WASHINGTON JUNIOR HIGH
desc6.24,desc,,"Josh's best friend BILLY KOPECHE dribbles a basketball at one end of the schoolyard. Jiving to himself, he moves with elaborate motion toward a garbage can by the fence. Billy is three months older than Josh and acts every one of them. He lets go a slam dunk that ricochets back in his face."
desc6.25,desc,,Josh comes riding up on his bike and circles around Billy. The boys exchange a high-five.
utter6.26,utter,BILLY,What took you? Guess.
desc6.27,desc,,Billy turns toward the fence and steps on his skateboard as he glances back at Josh.
utter6.28,utter,BILLY,You do my math?
utter6.29,utter,JOSH,Not yet.
utter6.30,utter,BILLY,Josh ***
utter6.31,utter,JOSH,"(exasperated) I'll have it for you tonight, okay?"
desc6.32,desc,,Billy grabs the back of Josh's bike as they start out of the schoolyard.
utter6.33,utter,BILLY,"It's just that I bet Bobby Feinberg I'd get an ""A""."
desc6.34,desc,,"Jesus, Billy."
scene7,slugline,,EXT. ?.OCAL HANGOUT - STREET - DAY
desc7.35,desc,,Billy di:ags his skateboard as Josh walks his bike down the business district of the small suburb.
utter7.36,utter,BILLY,You ever walk by Simpkins desk when she's bent over grading papers or
desc7.37,desc,,something and you can see right down her shirt?
utter7.38,utter,BILLY,Swear to God. (CONTINUED)
utter7.39,utter,JOSH,(beat)
utter7.40,utter,BILLY,"Like one of those undershirt things, .and if you get right"
desc7.41,desc,,up to the board you can see
desc7.42,desc,,J.osh leans his bike against a railing and looks down the street. HIS POV - LOCAL HANGOUT *
scene8,slugline,,A group of teenagers hangs out around the entrance.
desc8.43,desc,,CYNTHIA BENSON leans against the wall in all her eighth. grade glory. WIDER SHOT - JOSH AND BILLY They approach the hangout.
utter8.44,utter,BILLY,(staring at Cynthia) How'd a geek like Freddy Benson get a big sister like that2 Beats me.
scene9,slugline,,FULL SHOT - ENTRANCE
desc9.45,desc,,"They approach the door, as Billy makes his way quickly through the cro'Wd. Josh stays right behind him and* is almos*t .throug'h when. a sweet voice calls after him. Hi, Josh."
desc9.46,desc,,"He turns around to see the source of the words and can't believe it when the smile comes back. Cynthia stands only a couple of feet away. Josh looks back at her, completely dazzled."
utter9.47,utter,BILLY,( cutting in) Hi.
desc9.48,desc,,"Unable to move, Josh continues to smile as Cynthia and her friends start down the block."
utter9.49,utter,BILLY,(yelling) He says hello!
desc9.50,desc,,Billy grabs Josh by the back of the jacket and twirls him around.
utter9.51,utter,BILLY (contd),(leaning in close) Un-be-lievable!
scene10,slugline,,JOSH'S BEDROOM - NIGHT
desc10.52,desc,,Josh clutches his baseball glove and several computer books protectively as he watches his father wheel a pink baby crib through the door to his room. It is a 12-year-old's paradise. A slot car track runs under
scene11,slugline,,"the bunk beds, and a scale model of the Empire State"
desc11.53,desc,,"Building stands in one corner. There is a life-size poster of Don Mattingly on the door and a green bedspread marked off like a football field. He winces as the crib is wheeled over the tracks. JOSH This isn't fair. MR. BASKIN Sport, we've been talking about"
desc11.54,desc,,"was going to happen when Rachel got older. His mother comes in carrying Rachel and a pink elephant mobile. She places her in the center of the bottom bunk, then turns to the door and pulls in a small stepladder."
utter11.55,utter,JOSH,Why can't.she stay in your room?
desc11.56,desc,,His parents exchange a look. MRS. BASKIN
desc11.57,desc,,Mrs. Baskin steps up the ladder and hangs the mobile next to.one of Josh's model spaceships. Mr. Baskin moves aside the Empire State Building model as he wheels the crib toward the corner. Josh quickly tries to move it back. Mr. Baskin turns to his son and puts a hand on his shoulder.
utter11.58,utter,MR. BASKIN,"Josh, being part of a family means sharing responsibilities."
utter11.59,utter,JOSH,Do I *have to share my room?
scene12,slugline,,BILLY'S KITCHEN
desc12.60,desc,,"Four siblings, of which Billy is the youngest, are gathered in the kitchen for dinner. Unwashed dishes are piled up on the sink. MRS. KOPECHE, a tiredlooking woman with streaks of gray in her hair, shrieks from the head of the table."
utter12.61,utter,MRS . KOPECHE,"I'm a person, I'm not your maid. Can any of you appreciate that?"
desc12.62,desc,,"The CAMERA FOLLOWS Billy as he takes a platter of meatloaf from the oven, setting it on the table."
utter12.63,utter,MRS. KOPECHE (contd),"You waltz through here like it's some kind of resort ..* lounging around waiting for your dinner to be cooked, your clothes to be ironed."
desc12.64,desc,,Billy gets a plate of potatoes and returns them to the
utter12.65,utter,table. MRS. KOPECHE (contd),What about me! Have you ever just once thought about how I feel? (MORE)
utter12.66,utter,MRS. KOPECHE (contd),Do you know what it's like to work eight hours and come home to this *.* (she hits the table with her fist on each word) Every. Single. Day.
desc12.67,desc,,She looks from face to face around the table. her eye. Nobody meets
utter12.68,utter,MRS. KOPECHE (contd),None of you ever offer to help me.
desc12.69,desc,,"Billy puts the vegetables on the table, turns back to the counter and gets an empty plate."
desc12.70,desc,,The CAMERA STAYS on Billy as he forks some meatloaf on his plate and crosses to the kitchen door.
utter12.71,utter,MRS. KOPECHE (contd),just can't.
desc12.72,desc,,He disappears into the hall as the swinging do6rs shut behind him.
scene13,slugline,,JOSH'S ROOM - NIGHT
desc13.73,desc,,Josh lies on the top bunk with a flashlight in one hand * and a walkie-talkie in the other. Rachel sleeps safely * in her crib~ The boys talk in whispers as Josh aims the* beam of light out the window.
utter13.74,utter,JOSH,(into walkie-talkie) Tell me.
utter13.75,utter,BILLY {VO},(over walkie-talkie) First the math.
scene14,slugline,,INT: BILLY'S ROOM
desc14.76,desc,,"It is a disaster area. Billy lies on his bed in an explosion of dirty laundry with the other walkie-talkie wedged to his ear. He shines his flashlight at the ceiling, chasing the beam of light Josh is throwing into his room."
utter14.77,utter,JOSH (VO),"I'll give you the math, Billy. Now what's going on?"
desc14.78,desc,,"Billy grins slightly, sitting up in bed."
utter14.79,utter,BILLY,You're in.
scene15,slugline,,JOSH'S ROOM - NIGHT
utter15.80,utter,JOSH,What do you mean -- I'm in?
utter15.81,utter,BILLY,Cynthia Benson. (VO)
utter15.82,utter,JOSH,(sitting up) What about her?
scene16,slugline,,* BILLY I S ROOM
desc16.83,desc,,He leans forward on the bed clutching the walkie-talkie.
utter16.84,utter,BILLY,(with a grin)
desc16.85,desc,,You ready for this?
desc16.86,desc,,She doesn't like Barry anymore. There is a long silence from the other walkie-talkie. Billy angles the flashlight at the window.
scene17,slugline,,JOSH ' S ROOM
desc17.87,desc,,Beams of light play across his ceiling. Josh sits motionless in bed as the light from Billy's flashlight dances over the wall.
utter17.88,utter,JOSH BILLY (VO),"Whaddaya mean ""so""? That's it! She's available."
desc17.89,desc,,"Billy, just 'cause she doesn't"
desc17.90,desc,,He plunges the walkie-talkie under the covers as his mother opens the bedroom door. MRS. BASKIN
desc17.91,desc,,I am asleep. MRS. BASKIN
desc17.92,desc,,to Billy. Now say goodbye Josh reluctantly pulls the walkie-talkie from under the covers and puts it back up to his ear.
utter17.93,utter,JOSH,I gotta go.
desc17.94,desc,,A wet kissing around comes from the other end of the walkie-talki.e.
utter17.95,utter,BILLY,Sweet dreams. (VO)
scene18,slugline,,NIGHT
desc18.96,desc,,"It is the Go!iath of carnival rides. A series of metal cages are attached to long mechanical arms that lift and swirl them into the night. Desperate SCREAMS ECHO out of the darkened cars as they swing hundreds of feet up into the air, twisting and plUillr.leting toward the carnival below. CLOSE UP - JOSH He stares up at the towering machine. Josh's eyes are wide WIDER SHOT - JOSH AND PARENTS Mr. and-Mrs. Baskin walk'beside their son in the midst' of the carnival midway. Mr. Baskin holds Rachel. Mrs. Baskin carries a camera. Tinny calliope MUSIC plays as they move toward the massive ride."
desc18.97,desc,,"I don't know, Bob. MR. BASKIN He's a big boy, Carol. Mr. Baskin tears off an orange midway ticket and hands it to his son. They are almost at the line for the Avenger when Josh stops dead in his tracks."
desc18.98,desc,,"Cynthia Benson stands alone at the end of the line, lookin~ up at the ride. WIDER ANGLE - JOSH AND PARENTS He stands frozen beside his -mother arid father. MRS. BASKIN"
utter18.99,utter,MR. BASKIN,"(resting a hand on his shoulder) Sport, you don't have to go on it if you don't feel like it._ . (CONTD)"
utter18.100,utter,JOSH,"Hunh *.. Oh, no, I just ... (turns to them and stares for a moment) I want to go on it myself."
utter18.101,utter,MRS. BASKIN,You do?
utter18.102,utter,JOSH,Yes.
desc18.103,desc,,"Mr. Baskin smiles proudly at his son, then shoots his wife a look. She shrugs helplessly."
utter18.104,utter,MR. BASKIN,(glancing around) why don't we meet you at the Ferris Wheel?
utter18.105,utter,JOSH,Okay.
desc18.106,desc,,"Josh waits until they are several steps away before he turns and starts toward the Avenger. SHOT - JOSH He moves quickly toward the ride. Josh cranes his neck to see around the adults who are a foot taller than he is. He is just inside the archway when he spots Cynthia. Josh takes a deep breath, stuffs his hands in his pockets, and walks s+owly up to the line. WIDER SHOT INCLUDING CYNTHIA She is looking up at the huge ride. Josh slides nonchalantly up beside her, staring in the other direction. He clears hi,s throat. Cynthia turns and looks beside"
utter18.107,utter,*,her. (CONTD)
utter18.108,utter,CYNTHIA,Josh?
desc18.109,desc,,He turns back to her with a frozen smile on his face. It takes a second or two before the words come out.
utter18.110,utter,JOSH,Oh*** Hi.
utter18.111,utter,CYNTHIA,Hi.
desc18.112,desc,,Now he's .really frozen. Josh stares in wide-eyed panic looking for something to say.
utter18.113,utter,CYNTHIA (contd),Are you here alone?
utter18.114,utter,JOSH,Yes. (beat) Definitely.
utter18.115,utter,CYNTHIA,Oh *** (as they move up a little in line) Have you been on this before?
utter18.116,utter,JOSH,This? (beat)
utter18.117,utter,CYNTHIA,Is it scary?
utter18.118,utter,JOSH,Yes.
desc18.119,desc,,Cynthia nods and then glances out at the crowd.
utter18.120,utter,CYNTHIA,"Look, aren't those your parents?"
utter18.121,utter,JOSH,(panicked) Where?
utter18.122,utter,CYNTHIA,(pointing) Right over there.
desc18.123,desc,,"The Baskins are standing over by the cotton candy stand. Mrs. Baskin gives a little wave, then raises her camera as a flash bulb goes off. SHOT - JOSH AND CYNTHIA"
utter18.124,utter,JOSH,"(acting surprised) Why, yes ***"
desc18.125,desc,,All at once there is a deep male voice from behind her. MALE VOICE (VO)
desc18.126,desc,,"Josh looks up to see a strapping sixteen-year-old carrying two ice cream cones. Cynthia takes one of them, then puts her arm around his waist."
utter18.127,utter,CYNTHIA,This is Josh Baskin.
utter18.128,utter,DEREK,How ya doin'?
desc18.129,desc,,Josh tries to nod.
utter18.130,utter,CYNTHIA,This is Derek. (confidenti~lly) He drives.
desc18.131,desc,,Josh stares back with most of the color drained from his face. He is too stunned to move.
utter18.132,utter,DEREK,Go ahead.
desc18.133,desc,,Josh turns around to see no one between him and the ticket taker. He holds out his midway ticket and moves slowly toward the turnstile.
utter18.134,utter,TICKET TAKER,"Sorry, kid."
utter18.135,utter,JOSH,( looking up) What?
desc18.136,desc,,"The man points next to him at a large s*ign. ""YOU MUST BE AT LEAST THIS TALL TO RIDE THI.S RIDE"" He stares in shock at the red line that is just over his* head."
utter18.137,utter,TICKET TAKER,"Corne on, kid, you're holding up the line."
desc18.138,desc,,Josh turns around to Cynthia a.nd* Derek who are standing a foot or two behind him. She smiles awkwardly.
desc18.139,desc,,He watche.s silently as they move past him through the turnstile.
utter18.140,utter,CYNTHIA (contd),"(looking back) See ya, Josh."
desc18.141,desc,,Josh nods quickly and tries to smile. Cynthia and Derek* disappear up the ramp as he turns .to walk back down the * line.
scene19,slugline,,FUN HOUSE
desc19.142,desc,,"He walks alone on the far side of the carnival kicking at the dirt. Josh continues past the modern videb games* that line the side of the fun house. A group of teen* agers are at the controls. He looks at them with a scowl and continues past them, when something catches his eye. JOSH'S POV Alone, facing the river is a small old carnival game standing by itself. Th~re is a little glass booth with a wooden head inside. The hair is painted black. The beard comes to a point. Written across the top in old swirling script are the words: ""ZOLTAR SPEAKS""."
scene20,slugline,,REVISED '7/27/87 SHOT - JOSH
desc20.143,desc,,He walks .up to the booth. There are two worn brass levers and a long metal ramp that leads to Zoltar's mouth. At the top of the ramp is a slot to put a quarter. Josh reads the faded lettering on the inside of the booth.
utter20.144,utter,JOSH,(reading)
desc20.145,desc,,"Insert coin to top of ramp. He hesitates a moment, then fishes through his pockets and pulls out a quarter. Josh shoves the coin into the slot. It drops to the top of the metal ramp and comes to rest there. Nothing happens. WIDER SHOT - JOSH AND ZOLTAR He looks at it then bangs the side of the machine. Still nothing happens. Josh bashes the booth again but the quarter just stays* there. All at once, in a flurry of frustration, Josh wails against the side of the machine with both fists. Zoltar's eyes glow bright red. The small wooden head begins to nod. A red sign lights up reading: ""AIM RAMP TOWARD ZOLTAR'S MOUTH"" Josh manipulates the lever until the ramp is pointed toward Zoltar's open mouth. ""ZOLTAR SAYS: MAKE YOUR WISH"""
utter20.146,utter,JOSH,"Make my wish *** right. (he pauses a moment) I wish I was a grownup. \,__,)"
desc20.147,desc,,"Another sign lights up under the first one reading: ""PRESS BUTTON TO RELEASE COIN"" He is taken aback by the unsolicited response but does as he is told. Josh aims the ramp carefully and pushes the button, releasing the coin. It rolls down the long railing and flies off the end, barely making it into Zoltar's mouth. The jaws close on the coin. The head stops nodding and stares straight at Josh. All at once a group.of teenagers runs past him, laughing down the midway. The SOUND of their laughter TRAILS OFF as a small card pops out of the bottom of the machine. Josh reaches down and pulls it from the slot. JOSH'S POV - CARD ""YOUR WISH IS GRANTED"""
scene21,slugline,,SHOT - JOSH
desc21.148,desc,,"He stares at the card for a moment, when something catches his eye. JOSH'S POV At the base of the machine is a coiled wire attached to an old frayed plug. The plug is attached to .** nothing. SHOT - JOSH He bends down slowly to pick up the plug. Josh examines the worn electrical wire for a moment, then rises slowly to meet Zoltar's eyes. The bobbing head continues to smile. A sudden breeze ruffles his hair."
scene22,slugline,,BASKIN YARD - NIGHT
desc22.149,desc,,"What was a light breeze has turned into a dry gale, whistling through the yard and bending the trees in half. A sudden gust blows Josh's bike over. The front gate flies open, smashing** against the fence. His little league uniform rips from the clothesline and sails aero ss the yard *.."
scene23,slugline,,JOSH'S ROOM
desc23.150,desc,,Rachel howls along with the wind outside. The door opens and Mrs. Baskin comes into the room. She takes Rachel from her crib and rocks her from side to side as her crying dies down._ Mrs. Baskin looks at the face of her son a few feet from hers. He sleeps soundly underneath the covers. She turns and carries Rachel out of the room.
scene24,slugline,,BASKIN HOUSE - THE FOLLOWING MORNING
desc24.151,desc,,It is silent in the aftermath of the gale. Leaves and branches are scattered across the neighborhood front lawns.
scene25,slugline,,JOSH'S ROOM
desc25.152,desc,,It is bathed in a warm orange light. The CAMERA PANS SLOWLY from the window across the sun-drenched floor. __./.
scene26,slugline,,SHOT - JOSH
desc26.153,desc,,"He stares at the card for a moment, when something catches his eye. JOSH'S POV At the base of the machine is a coiled wire attached to an old frayed plug. The plug is attached to *** nothing. SHOT - JOSH He bends down slowly to pick up the plug. Josh examines the worn electrical wire for a moment, then rises slowly to meet Z.ol tar' s eyes. The bobbing head continues to smile. A sudden breeze ruffles his hair."
scene27,slugline,,BASKIN YARD - NIGHT
desc27.154,desc,,"What was a light breeze has turned into a dry gale, whistling through the yard and bending the trees in half. A sudden gust blows Josh's bike over. The front gate flies open, smashing against the fence. His little league uniform rips from the clothesline and sails across the yard ***"
scene28,slugline,,INT: JOSH'S ROOM
desc28.155,desc,,"Zach howls along with the wind outside. The door opens and Mrs. Baskin comes into the room. She takes Zach from his bed and rocks him from side to side as his crying dies down. Mrs. Baskin looks at the face of her other son a few feet from hers. He sleeps soundly underneath the covers. She smiles and smooths back . Josh's .hair from his forehead, then turns and carries Zach out of the room."
scene29,slugline,,- THE FOLLOWING MORNING
desc29.156,desc,,It is silent in the aftermath of the gale. Leaves and branches are scattered across the neighborhood front .lawns.
scene30,slugline,,JOSH'S ROOM
desc30.157,desc,,"It is bathed in a warm orange light. The CAMERA PANS SLOWLY from the window across the sun-drenched floor. There are the usual array of toys: his slot car tracks *** a skateboard *** a gleaming silver robot *** MRS. BASKIN (OS) It's seven-thirty, Josh. You up? The CAMERA CONTINUES TO PAN coming to rest on the empty bottom bunk. MRS. BASKIN (OS contd)"
desc30.158,desc,,"There is a HEAVY CREAK of bedsprings as two huge feet swing out from the top bunk and dangle in mid-air. They are size twelve feet attached to big hairy ankles. DIFFERENT ANGLE - HOLDING ON FEET '!'hey drop to the floor, hitting it sharpll' -- a little too soon. The feet stand motionless for a moment *** The CAMERA FOLLOWS them as they pad slowly across the floor and into the hallway."
scene31,slugline,,BATHROOM
desc31.159,desc,,"A man's hand hits the wall looking for the light switch. Joshua slides his hand up the wall, then pauses for a moment and slides it down *. His hand makes contact with the switch, a foot lower than usual. He hesitates, then flicks on the light switch to reveal: FULL SHOT - BATHROOM MIRROR A hairy well-muscled torso fills the entire mirror. The chest is large -- the waist is slim. Slowly -- very slowly -- Jos*h lowers himself into the mirror. First there are the broad shoulders *** then.the neck .*** then finally *** the full face of a handsome thirt -five- earold man stares ack rom e ba room mirror. Jos ua whirls around to see who is behind him, but the1.*e is no one there. He freezes for a moment, then turns back to face it. Their eyes lock. Joshua winks once and the reflection does the same. He wrinkles his nose and so does the man in the mirror. A look of horror crosses Joshua's face."
utter31.160,utter,JOSH,(whispering)
desc31.161,desc,,He slowly reaches up and rubs the side of his face as he stares in mounting horror. MRS. BASKIN (OS)
desc31.162,desc,,"Josh leaps back and slams into the shower curtain. MRS. BASKIN (05 contd) *** I put some clean clothes out. Bring down your cords for the laundry, okay?"
utter31.163,utter,JOSH,(in a deep bass) Okay.
desc31.164,desc,,He clamps his hand over his mouth.
scene32,slugline,,HALLWAY
desc32.165,desc,,"Mrs. Baskin hears her son and cocks her head to the side, frowning slightly."
desc32.166,desc,,Are you getting a cold?
utter32.167,utter,JOSH (05),"(in a high falsetto) Oh, no *** I'm fine."
desc32.168,desc,,"She looks toward the bathroom for a moment, then shrugs."
scene33,slugline,,BATHROOM
desc33.169,desc,,Josh is backed up against the medicine chest with a look of panic on his face. He hears the sound of his mother's footsteps moving down the hall.
scene34,slugline,,HALLWAY
desc34.170,desc,,"The door to the bathroom flies open, and Josh rushes out. He darts across the hallway and into his bedroom, shutting the door behind him."
scene35,slugline,,BEDROOM
desc35.171,desc,,"Josh grabs his jeans from the night before and fishes through the pockets. He pulls out the small card that was printed from the Zoltar machine. JOSH'S POV - CARD ""YOUR WISH IS GRANTED."" SHOT - JOSH"
desc35.172,desc,,"He looks frantically around clle room and grabs the clean pants that.his mother left for him. Josh thrusts one foot into the leg forgetting it is a child's medium. His leg gets stuck as he falls backwards onto the bottom bunk. Struggling on his back, Josh manages to get both feet in the jeans. He grabs the pants by the belt loops, rocks forward onto his feet, and then, leaning forward ***"
scene36,slugline,,KITCHEN
desc36.173,desc,,Mrs. Baskin is standing at the kitchen stove making scrambled eggs when there is a loud thump from upstairs. She stops cooking and looks toward the ceiling.
scene37,slugline,,JOSH'S ROOM
desc37.174,desc,,"He struggles.desperately on the floor, trying to remove the child's jeans. MRS. BASKIN (OS) *sreakf ast is ready!"
utter37.175,utter,JOSH,(falsetto) Be right there.
desc37.176,desc,,The figure of a six-foot man wrapped in a bedsheet tiptoes quickly across the landing toward his parents' bedroom.
scene38,slugline,,PARENTS' CLOSET
desc38.177,desc,,"Josh ritles through his father's clothing, while his sister stands in her baby walker. MRS. BASKIN (OS) Bring Rachel downstairs with you, okay?"
scene39,slugline,,KITCHEN
desc39.178,desc,,"Mrs. Baskin spoons out the scrambled eggs. There is a thundering sound of someone running down the stairs. MRS. BASKIN Honey, you want orange juice or *** The .front door shuts with a slam. see: Mrs. Baskin turns to Rachel in her baby walker, waddling into the room."
utter39.179,utter,MRS. BASKIN (contd),What about your breakfast?
scene40,slugline,,RIVERFRONT - DAY
desc40.180,desc,,"Josh pedals his child's Stingray as fast as he can down the path that leads to the riverfront. Wearing his father's khakis and a New York Giants sweatshirt, he flies down the slope, knees.hitting elbows. All at once* he hits the handbrakes. JOSH'S POV The carnival .is gone. There is now just a muddy lot with some tattered flags blowing in the wind. SHOT - JOSH He stares in horror at the vacant lot. No fun house. No arcade. No Zoltar. His eyes grow wide in panic."
scene41,slugline,,BASKIN LIVING ROOM
desc41.181,desc,,"Josh's mother is vacuuming the living room singing quietly to herself. The front door shuts with a slam. Mrs. Baskin whirls around to see: A strange man standing in her living room. His eyes are wild. He is breathing hard. There is mud all over his shoes. Mrs. Baskin lets out a blood-curdling scream as Joshua starts toward her, tracking mud across the carpet. MRS. BASKIN Don't *** please ***"
utter41.182,utter,JOSH,"(looking at the mud) Oh, I'm sorry."
desc41.183,desc,,MRS. BASKIN Take my purse.
utter41.184,utter,JOSH,"Mom, it's me."
desc41.185,desc,,Mrs. Baskin looks at the psychopath claiming to be her child. She backs slowly past the piano into the kitchen* as he advances.
utter41.186,utter,JOSH (contd},It's me .*. Josh.
desc41.187,desc,,She moves all the way against the kitchen_ counter with a look of terror on her face.
utter41.188,utter,JOSH (contd),(exasperated) I've turned into a grownup!
desc41.189,desc,,She inches down the counter.
utter41.190,utter,JOSH (contd},"See, I made this wish on a*machine ..."
desc41.191,desc,,Mrs. Baskin moves farther away. frustrated. Josh grows more
utter41.192,utter,JOSH (contd},"Look, my birthday's November third. I broke my arm when I was nine ... (spots vase on the counter) Here! I'm allergic to flowers."
desc41.193,desc,,Josh grabs the vase and inhales deeply. sneeze but nothing happens. He waits for the
utter41.194,utter,JOSH (contd),"Okay, so I outgrew it--but I'm telling you, it's me. My little league team is called The Dukes. I just got a ""B"" on my history test. There's a birthmark on the back of my left knee .*. MRS. BASKIN (breathless) You bastard. (her voice rising) What have you done to my son?"
utter41.195,utter,JOSH,I ~ your son.
desc41.196,desc,,Mrs. Baskin reaches behind her and pulls out a butcher
utter41.197,utter,knife. JOSH,"(backing away in panic) Let me talk to Dad, okay?"
