segment-id,segment-type,segment-speaker,segment-text
desc0.0,desc,,Based on the novel by Joe Klein
utter0.1,utter,Screenplay by,Elaine May
desc0.2,desc,,"PRf MARY COLORS CLOSE SHOT - A LARGE WHITE HAND moving in from frame left~ .grasping a black hand that is waiting, shaking it, moving on, grasping another blacJc hand *** as the ANGLE WIDENS and A VOICE speaks over the shot."
desc0.3,desc,,"'I've seen him do it a million times .. now, *but* *I** couldn** t * *tell you how he does it, the right-handed part of . *"
utter0.4,utter,*,* about what ha does with bis other hand though. He 1 s a geni-us with . it...
desc0.5,desc,,"'l'he ANGLE has now WIJ)tuED sufficiently for*us to see the owner aPS the whi. te . hand, GOVED'O.R. JACK S1'A!r.t'ON, a big, attractive man in a checked jacket, handshaking his way down a line cf predominantly -black men... * _:~~~h;/: _~;';o~PS~i=: o~J:ur he's aoag now. Very bas.1.c move. Re's interested in you, he's"
desc0.6,desc,,"higher up your &boulder-like that, it's .not aa intillate. * *. 'l'he ANGLE J.s full J1011: and we*-- tbat we are .on the CAMERA traveling down~ .line with.the aov-.J:12or, who is now clasping the shoulder of a .large black-man-with bis left hand.: Thay are :bath .laughing. *** He'll share-a laugh or a aecrat"
desc0.7,desc,,"!rhe Governor moves on, graapin9' t:ha hand-of a ~ l , older,"
utter0.8,utter,VOICE,If he doesn't Jcnaw. you al.1 that well *** but he wants to share aomatbiog emoticmal- wLtll you he'll lock in and honor you with*a two-hander *** he'll flash that misty look. And he'll mean it *.* Governor! *
desc0.9,desc,,"The CAMERA and Governor Stanton have now arrived at the source of the Voice: HOWARD FERGUSON, a middle-aged, white man in a pink flowered tie standing next to a young, light-skinned black man in a grey suit (HENRY)."
desc0.10,desc,,"Governor Stanton, this is Henry"
utter0.11,utter,Burton,"(giving Bemy a firm two-hander) I met your grandfather once when I was a boy. I hitchhiked to Washington to hear him speak. (mistily) He was a great man. Thank you, sir."
desc0.12,desc,,Stanton moves on.
utter0.13,utter,HOWARD,"He's really glad you're coming on ~oard, I can tell. No!"
utter0.14,utter,BENRY,"I didn't say I was coming on I said I'd meet with him *** clid you tell him I was ... No, no, no."
utter0.15,utter,HOWARD,'l'~e i t ~ -
desc0.16,desc,,"A young woman, also white, (DAISY) hurries up to them."
utter0.17,utter,DAISY,"Come on, he's two handshakes away from the l..ibrarian."
desc0.18,desc,,"Stanton is moving toward the steps of a city library building where MISS WALSH, a middle-aged woman with dyed auburn hair, a shin-length dress and high heeled pumps, stands waiting."
utter0.19,utter,HENRY,(as they walk toward him)
desc0.20,desc,,What the hell is he doing up in
desc0.21,desc,,bagging money from the big spenders.
utter0.22,utter,HOWARD,See? Already you sound like a campaign manager.
utter0.23,utter,HENRY,"Howard, I said I'm not .*."
utter0.24,utter,HOWARD,I'm kidding. KIDDING. I suppose if I told you that ~ack Stanton is in Harlem because he's really interested in Adult Literacy-you'd tell me I was full of shit.
utter0.25,utter,HENRY BOWARD,You're pretty cynical for a guy half my age.
utter0.26,utter,HENRY,I was a congressional aide for three years. If you think l!.m cynical talk to a senate page.
desc0.27,desc,,They have arrived at the library steps where Governor Stanton stands waiting for them.
utter0.28,utter,GOV. STANTON,"Howard Ferguson, Henry Burton-Miss Marianne Walsh, the very special librarian who is teaching these classes. Well, thank you, Governor Walsh *** Governor Stanton. I 'm sorry. I'm a little nervous. GOV. S'l'ANTCH (gently steering her up the stairs as he speaks) How long ago did you start the"
desc0.29,desc,,reading program here?
utter0.30,utter,MISS WALSH,"About three years ago *** we have no money, vary little money and **."
desc0.31,desc,,"Be listens, intently, jumping her words with ""ha"" *** ""yes"" *** ""I see"" ... as though he is hearing faster than she can speak. Her voice speeds up trying to satisfy him."
utter0.32,utter,MISS WALSH,"*** it's the only reading program like it in Harlem *** that I &n.Ql! of, of course ** there may be others but I don't *** don't *** *** know of them."
desc0.33,desc,,"She suddenly misses a step and lunges forward, her dress flying up to reveal shockingly good legs."
utter0.34,utter,STANTON MISS WALSH,I'm .*. alright.
desc0.35,desc,,"Just behind them, Howard grips Henry's arm."
utter0.36,utter,HOWARD,If it wasn't for the top part she'd be Sharon Stone. I'm kidding. KIDDING. But just barely ***
scene1,slugline,,INT - LIBRARY READING ROOM
desc1.37,desc,,"dark, solemn, a WPA library with oak bookcases almost to the ceiling, a 30's mural of biplanes, locomotives, wheatfields, muscular laborers going to work. The class is seated at a large round table. Men and women in their 30's and 40's, a few 20's and SO's *** neatly dressed, with an impossibly dated attitude of respect."
utter1.38,utter,ROBY,name is Ruby. r'm a domestic. I been in this class for two months.
utter1.39,utter,A MAN Jack Mandela Washington.,handyman. I'm a
desc1.40,desc,,"Governor Stanton sits away from the table, against the wall, watching the class. Henry sits next to Daisy, across the room from Stanton, watching him. Howard stands leaning against a bookcase, watching Heney watch Stanton watch the class. Tawana Carter."
utter1.41,utter,A WOMAN,I'm a waitress.
utter1.42,utter,2ND MAN,"Anthony Ramirez, carpenter."
desc1.43,desc,,Daisy leans over and whispers to Henry.
utter1.44,utter,DAISY,I just wanted to say Welcome Aboard.
utter1.45,utter,HENRY,WHAT!
desc1.46,desc,,I'm not on board.
utter1.47,utter,DAISY,Yes. We're a madcap little group. Like the guys on Mash. we see so much despair that we have to drive someone crazy to keep our spirits
desc1.48,desc,,up. * A grossly fat black man is speaking.
utter1.49,utter,DEWAYNE,"name is Dewayne Smith. I'm a short order chef and until I come here I coulc:ln't read a lick. They just kept passin' me up, y'kncw? I had a *.* learning disbility. (he glances at Miss"
utter1.50,utter,Walsh),My
utter1.51,utter,MISS WALSH,Dewayne's dyslexic.
utter1.52,utter,DEWAYNE,"They just kept a passin' me upthird grade, fourth grade. r sit in the back and stick to my own $&lf, and it was like no one noticed. I go en all. the ways through. I graduate elementary school. They send me to Ben Franklin, general studies. They coulda sent me to the Bronz Zoo. No one ever tall me nothin'. No one ever say, ""Dewayne, you can't read--what you gonna do with your sorry ass?* Scuse me. (to the governor; Scranton Slllilas at him) . Anyway, graduation come. My momma come. Sha take the day off from the laundry where she work. She don't have a clue nothin's wrong; me neither. I been akatin' through. So we're there-and Dr. Dalmabretti is callin' out the nmaes on the dipcmas and what each kid did, like * Sharonna Harris, honors, "" or ""Tyrone Kirby, Regents diploma,"" and then he come to my name and he says, so everyone hear it, ""Dewayne Smith receive a certificate of (MORE)"
utter1.53,utter,DEWAYNE (cont'd},"attendance."" You can hear people buzzin', coupla folks laughin', and I 9otta go walk up there, and get this *** it look just like a diploma, y'know? Same kind of.paper--but everyone know the truth now. And I'm thinkin-""sucker, these folks got rid of everyone else can't read, they drop out."" And my reward for stickin' around is--I gotta stand there, just *** dyin', tryin' not to look at anyone, tryin' not to look too stupid. And I see Momma out front with her hat on and her purse in her lap. She"
scene2,slugline,,wearin' her good dress and her
desc2.54,desc,,"Tears suddenly fill Henry's eyes-and he glances around quickly to make sure no one sees him *** then stops as he sees Stanton. Stanton's face is red and tears are rolling down his cheeks. Henry stares at him in amazement and then, suddenly,* Stanton rises, and goes to the table."
utter2.55,utter,GOV. STANTON,"I want to thank you for sharing this with us, Dewayne. I want to thank all of you for having faith-the faith that you can overcome the odds and learn and succeed. (circling the table) It takes real courage to do what you're doin'. How many y'all tell your friends and fami.1y where you're going today?"
desc2.56,desc,,There are smiles. No one raises their hand. GOV. STANTON
utter2.57,utter,GOV. STANTON (cont'd),took 'em cut. They found him with a knife in his 9Ut and two bullets in
desc2.58,desc,,his leg and bis hands around an enemy soldier's throat.
utter2.59,utter,DEWAYNE,Shit.
utter2.60,utter,GOV. STANTON,"Yeah, that's right. (he sits down with them at the table) They gave him the Medal of Honor. President Truman did. And when he came home to Grace Junction they had a parade for him, and the town fathers came to my parents' house and said to him, ""Charlie, what you got in mind for yourself now?"" Charlie said he didn't know. ""Well,"" the mayor said, ""maybe you'd like a full scholarship to the state university."" The banker said he could understand if Charlie didn't want to go back to school after all he'd been through, so maybe he'd like a management job,"
scene3,slugline,,"big future, at tbe bank. Tbe"
desc3.61,desc,,"sawmill owner-we're from piney- woods country-says, ""Charlie, you"
desc3.62,desc,,And *** what'd he do?
utter3.63,utter,GOV. STANTON,"Nothin' * He just lay down on- the couch, smoked his Luckies. No one could get him off that couch."
utter3.64,utter,HISPANIC MAN,Was he mess up from the war?
desc3.65,desc,,his head?
desc3.66,desc,,"They stare at him. shit."""
utter3.67,utter,GOV. STANTON,It was just that he couldn't
desc3.68,desc,,"Someone whistles. Someone says, ""No"
utter3.69,utter,GOV. STANTON,"He couldn't read, and he was embarrassed, and he didn't want to tell anyone."
desc3.70,desc,,so **. what.happened to him?
utter3.71,utter,GOV. STANTON,* He finally got e. job in my high
desc3.72,desc,,school years later *** as a janitor.
