segment-id,segment-type,segment-speaker,segment-text
desc0.0,desc,,"Note: Opening viewed in QUICK FLASHES OF IMAGERY. Between flashes, we return to BLACK SCREEN. AUDIO throughout. OPEN ON BLACK Silent blackness. We HEAR stifled breathing."
scene1,slugline,,INT. BED - NIGHT
desc1.1,desc,,"A NAKED WOMAN, fifties, bound by STRAPS to the posts. ANGLE ON WOMAN'S BREASTS A KNITTING NEEDLE inserted through both. BLOOD rolls."
utter1.2,utter,WOMAN (O.S.),"Please, I'll do anything you ask."
desc1.3,desc,,"Blood rolls from a NEEDLE MARK. GLOVED HANDS place a RED BALL in the mouth. Mascara streams. She hyperventilates. Her eyes WIDEN as she watches us. BLACK SCREEN ANGLE ON NEARBY TABLE A SYRINGE of blood, PAINT and PAINTBRUSHES, a SURGICAL SAW, and an elaborately painted plaster MASK. A GLOVED HAND is placed between her legs. GLOVED FINGERS are shoved inside as she GAGS."
desc1.4,desc,,"DUCT TAPE placed across. ANGLE ON WOMAN'S FACE GLOVED HANDS place the MASK. Her eyes dart around the eyeholes. POV OF KILLER: Who STRADDLES the woman, gloved hands PALMS DOWN on each side of her rib-cage."
utter1.5,utter,KILLER,"(muffled, over black) Thus men may grow wiser every day. It is the first time that ever I heard breaking of ribs was sport for ladies."
desc1.6,desc,,"Violently SHOVES DOWN as the BREAKING of bones is heard. The woman LUNGES forward, her scream muted by the tape;"
scene2,slugline,,"INT. WORK PLACE BATHROOM - DAY DETECTIVE RUSSELL SPIVEY, forties, three-day-beard and"
desc2.7,desc,,"rustled clothes splashes water in his face. He catches his reflection. As he stares, NAUSEA overtakes him. He runs to the stall and we HEAR him hurl."
scene3,slugline,,INT. NORTH HOLLYWOOD POLICE DETECTIVE HEADQUARTERS - DAY
desc3.8,desc,,Several cops crowd around a TELEVISION.
scene4,slugline,,ANGLE ON TV - EXT. HOUSE - DAY
utter4.9,utter,REPORTER,"The victim's identity is being withheld until notification of family, but we have received confirmation that an elaborate mask"
desc4.10,desc,,was found on the victim's face.
scene5,slugline,,INT. POLICE DETECTIVE HEADQUARTERS WINDOWS - DAY
desc5.11,desc,,Detective Spivey walks by wiping his mouth.
scene6,slugline,,EXT. POLICE DETECTIVE HEADQUARTERS WINDOWS - DAY
desc6.12,desc,,Detective Spivey walks by wiping his mouth.
scene7,slugline,,EXT. CAPTAINS OFFICE - DAY
desc7.13,desc,,"DETECTIVE JEFFREY NOBELS, forties, exits carrying a FILE."
scene8,slugline,,INT. RUSSELL'S DESK
desc8.14,desc,,Russell arrives and eases himself into his chair. Jeffrey walks up and tosses the file onto the desk.
utter8.15,utter,JEFFREY,What do you say we take a ride? See what this freak has left us.
utter8.16,utter,RUSSELL,Is he the Easter bunny?
utter8.17,utter,JEFFREY,"From what the Captain told me, this rabbit left more than eggs."
utter8.18,utter,RUSSELL,Be sure and tell me what you find.
