segment-id,segment-type,segment-speaker,segment-text
scene1,slugline,,Crimson Peak
utter1.0,utter,Matthew Robbins Guillermo del Toro,v3.0.fdx
scene2,slugline,,"Universal Studios 100 Universal City Plaza Universal City, CA 91608 EXT. CEMETERY - DAY"
desc2.1,desc,,"Silence, except for the whisper of the wind. A WHITE SCREEN resolves into a wide view of a 19th century cemetery, its dark contours softened by several inches of fresh snow. Big, wet flakes float down from a leaden sky. Wealthy MOURNERS stand under black umbrellas at an open grave as pallbearers slide a gleaming ebony coffin from a horse-drawn hearse. A legend FADES ON:"
scene3,slugline,,"BOSTON, 1886"
desc3.2,desc,,"CAMERA DESCENDS to find a solemn, bespectacled child, EDITH CUSHING, age 10, in a black coat and hat. Her delicate features are half-hidden behind a mourning veil. Frightened, the child clings to the gloved hand of her tall, bearded father (CARTER CUSHING, 48)."
utter3.3,utter,EDITH (V.O.),"The first time I saw a ghost, I was ten. It was my Mother's-"
desc3.4,desc,,The coffin passes before the child's pale face.
utter3.5,utter,EDITH (V.O.),"At that age, I barely understood what had happened. She had died of Cholera(beat) And on account of her disease, Father ordered that the casket remain closed... As the coffin is lowered unto the earth-"
scene4,slugline,,INT. YOUNG EDITH'S BEDROOM - NIGHT
desc4.6,desc,,"A coffin-like grandfather clock is TICKING in an enormous, gas-lit bedroom. Shadows seem to swallow up the girl's collection of dolls and books. Snowflakes drift past the tall windows, little Edith lies in bed, staring at the wall. Her EYEGLASSES are on the bedside table."
utter4.7,utter,EDITH (V.O.),"...so there was really no last glimpse. No goodbye. (pause) That is, until she came back."
desc4.8,desc,,"The clock stops ticking, the gas lamps go dark and the floorboards CREAK. There's a rustle of silk as- - a translucent tracery of cobweb ectoplasm crosses the room, its desiccated feet not touching the ground. The bed curtains move and the bedsprings sink down. Edith freezes, her eyes wide, her head turned away. She hears a low, asthmatic sigh. A shimmering hand caresses the child's hair. Finger bones are visible. In the dark, a glimpse of a tormented face... EDITH (V.O.) ...and I heard her voice. A throatless whisper, low and grave and full of earth. Her words seared my memory as if with fire... MOTHER'S GHOST"
desc4.9,desc,,"Crying out, the child sits up and looks around. Without her glasses, the world is a blur. A HAZY FIGURE is floating away. Edith puts on her glasses. No one is there. The gas lamps come back on; the clock resumes its ticking."
utter4.10,utter,EDITH (V.O.),Then she was gone. (pause) It would be years before I again heard a voice like that - or saw a dead thing come to life. But see it I did... and the
desc4.11,desc,,horror hidden in her whispered warning
scene5,slugline,,EXT. BOSTON STREETS - DAY
desc5.12,desc,,"A perfect spring day in Boston. The gorgeous blue sky is dotted with puffy white clouds... ...and below it, a city is growing. A new century has arrived and the teeming streets are alive with motorcars, bicycles and horse-drawn carriages. CAMERA FOLLOWS a veiled YOUNG WOMAN as she passes workmen paving streets and erecting power poles. Steam erupts from a pile driver... smoke roils from vats of hot tar. The young woman reaches the front door of a tea room. It's EDITH, now a pale but striking 22 year-old. She still wears glasses."
scene6,slugline,,INT. SOCIETY TEA ROOM - DAY
desc6.13,desc,,"Sitting alone among the elegant PATRONS, Edith leafs through a thick, handwritten MANUSCRIPT, making last-minute At the next table, the dowager MRS. WALKER and her chubby daughter EUNICE are gossiping with a group of vivacious women."
utter6.14,utter,MRS. WALKER,We met him at the British Museum. Last
desc6.15,desc,,fall. He took one look at Eunice and said
utter6.16,utter,MRS. WALKER,"He never took his eyes off you, did he?"
utter6.17,utter,EUNICE,(barely able to get a word in) WellMRS. WALKER (overlapping) -Then we all went to tea. It seems he's a
utter6.18,utter,BaronetSOCIETY GIRL 1,What's a Baronet??
desc6.19,desc,,Edith closes her book and looks at Society Girl 1.
utter6.20,utter,EDITH,A Baronet is a minor aristocrat. An opportunist. A man who lives off land that others work for him.
utter6.21,utter,SOCIETY GIRL 1,"Is that so, Edith? That is so."
utter6.22,utter,EDITH SOCIETY GIRL 2,"Well, from what I hear, this minor aristocrat is perfectly charming and is a great dancer..."
utter6.23,utter,MRS. WALKER,...who's crossed the ocean with his sister. I'm sure it's because of Eunice. He's been writing us every week.
utter6.24,utter,EUNICE,"Mother, he's here on business! SOCIETY GIRL 1 I'm hearing wedding bells. But that wouldn't concern you, would it, Edith?"
utter6.25,utter,EDITH,"No, it wouldn't."
desc6.26,desc,,Edith takes off her glasses and gets up to leave. Her dress and scarf are a sombre black and navy blue silk.
utter6.27,utter,MRS. WALKER,"I think it's a shame, Edith, I really do!"
desc6.28,desc,,A man will never notice you if your nose is buried in books.
scene7,slugline,,SOCIETY GIRL 2
desc7.29,desc,,Wearing black and writing all day long our very own Jane Austen.
utter7.30,utter,EDITH,"(walking away) Thank you, Sally. But I would prefer Mary Shelley. And, Eunice? You don't look at all like a Burne-Jones. Not languid enough."
scene8,slugline,,INT. PUBLISHING HOUSE - DAY
desc8.31,desc,,"An enormous LOBBY, bustling with activity. Carrying her manuscript, Edith approaches a reception desk where a GUARD directs her to an elevator. CAMERA LINGERS on a STATUE of a man, pensive and reading, surrounded by a pile of books. This is a likeness of MR. OGILVIE."
scene9,slugline,,INT. MR. OGILVIE'S OFFICE - DAY
desc9.32,desc,,"In the same exact position as the statue, SAMUEL OGILVIE grunts with displeasure as he leafs through Edith's work. Edith discreetly uses her glasses to see what page he's on. Hrumpf-"
desc9.33,desc,,"Ogilvie pointedly turns his chair around and reads some Finally, he puts the manuscript down. He nods slowly, replacing it in the pouch."
utter9.34,utter,OGILVIE (CONT'D),So... Miss Cushing. How is your father? Now Edith knows what he thinks of her manuscript.
utter9.35,utter,CUSHING (V.O.),I take it he said no.
scene10,slugline,,"INT. DINING ROOM - NIGHT A beautiful dining room, with damask wallpaper and art"
desc10.36,desc,,"nouveau sconces. Edith sits across from her FATHER, CARTER CUSHING (almost 60 now.) His beard is streaked with gray."
utter10.37,utter,EDITH,"After skimming a single chapter, Father."
utter10.38,utter,CUSHING,Ogilvie's old-fashioned. He probably looks down on ghost stories.
utter10.39,utter,EDITH,It's not a ghost story.
utter10.40,utter,CUSHING,"But it has a ghost in itEDITH Father. It's a... conduit(off her father's look) -a pretext, to talk about spirituality. The ghost acts as a metaphorCUSHING Ah. A metaphor. That may be too sophisticated for me, then-"
utter10.41,utter,EDITH,Ogilvie said it needed a love story. Can you believe that?
utter10.42,utter,CUSHING,Well... does it? What?
utter10.43,utter,EDITH CUSHING,Need a love story?
utter10.44,utter,EDITH,No!- Why? Why must a woman always write about love? Stories of girls in search of the ideal husband - or the man who eludes them?? Is there nothing else?
desc10.45,desc,,Her father stares at her blankly.
desc10.46,desc,,"Obviously he does not. At that moment, a WHISTLE from a passing train... and a train's lights move on the sheer curtains. Obeying an old habit, Cushing checks his POCKET WATCH - and smiles."
utter10.47,utter,CUSHING (CONT'D),I'll have a word with Ogilvie- Monday at the club.
desc10.48,desc,,She pulls the manuscript from the envelope.
utter10.49,utter,EDITH CUSHING,Why? Why won't you let me help you? No-
utter10.50,utter,EDITH,"(beat) I have to do it myself. With my words on the page! Since I'm not ""beautiful"" - or ""graceful"" - or ""charming""... But you are!"
utter10.51,utter,EDITH,The words have to do it. All I have are words... and they will find their way into print. You'll see. In the meantime you just have to hear me complain...
desc10.52,desc,,He smiles and pats his daughter's cheek.
utter10.53,utter,CUSHING,"With pleasure, always."
scene11,slugline,,EXT. RAILYARD - DAY
desc11.54,desc,,"A high, wide view of a RAILYARD with steam locomotives chuffing from a roundhouse. CAMERA PANS to a five-storey brick OFFICE BUILDING."
scene12,slugline,,INT. OUTER OFFICE - DAY
desc12.55,desc,,"In the large, busy outer office, a scowling Edith is sitting at someone's desk, fingers pecking on a newfangled Underwood typewriter. JANE, a gray-haired secretary, is showing her how to use it."
utter12.56,utter,JANE,"See? The carriage return is almost automatic. Just push this lever hereEDITH Automatic. Such a horrid word, isn't it? Everything is automatic now... But (looking at the page) -it does look stronger than longhand."
utter12.57,utter,JANE,"It's a diabolical contraption, but if you're writing to publishers, you'll get their attention. And you'll save time, I warrant."
utter12.58,utter,EDITH,I'm not sure I want to save time at all. What would I do with it?
desc12.59,desc,,"THOMAS SHARPE, 38, enters. He's a well-dressed, handsome Englishman and carries a WALKING STICK and a MAHOGANY BOX. Edith is too engrossed in her letter to notice him."
utter12.60,utter,SHARPE,"(to Edith) Good morning, Miss."
desc12.61,desc,,Wham! - Edith bangs over the carriage return and looks up. Sharpe blushes and removes his hat.
utter12.62,utter,SHARPE (CONT'D),"Sorry to interrupt, but I have an appointment with Mr. Carter Everett Cushing. Esquire."
utter12.63,utter,EDITH,"Goodness. With the great man, himself? I'm afraid so."
utter12.64,utter,SHARPE JANE,"I'm sorry, but I'm theEdith signals her to be quiet. She'll handle this."
utter12.65,utter,EDITH,"You're not late, are you? He hates that."
utter12.66,utter,SHARPE,"In fact, I'm a bit early."
utter12.67,utter,EDITH,"Oh - I'm afraid he hates that, too."
desc12.68,desc,,Sharpe leans a bit closer.
utter12.69,utter,SHARPE,"Pardon me for asking, but - is he really as terrible as they say?"
desc12.70,desc,,Edith glances at Jane and smiles.
utter12.71,utter,EDITH SHARPE,I don't believe it. Why would a pair of charming ladies work for such a person?
utter12.72,utter,EDITH,He pays me nothing.
utter12.73,utter,JANE,"(chuckles) True enoughSHARPE Impossible. Where is this fiend? I shall make it my business to protest, to rebuke"
utter12.74,utter,himEDITH,"He's just behind you, sir."
desc12.75,desc,,"Sharpe turns to find Carter Cushing approaching, hand"
utter12.76,utter,CUSHING,Sir Thomas Sharpe. Welcome to Boston.
desc12.77,desc,,"He holds the young man's hand an extra momentHe regards Sharpe's long, wavy hair, his walking stick and velvet-collared suit."
utter12.78,utter,CUSHING (CONT'D),"(gestures toward Edith) May I introduce Edith, my daughterSharpe is speechless."
utter12.79,utter,EDITH,"We've just met, father. (to Sharpe) It was a pleasure to make your acquaintance, Sir Thomas. I hope the great man treats you well."
desc12.80,desc,,"She smiles sweetly at Sharpe, who looks abashed but pleased."
scene13,slugline,,INT. CONFERENCE ROOM - DAY
desc13.81,desc,,"The conference room overlooks the railyard. A dozen BANKERS and INVESTORS sit at Cushing's table. Amongst them, an elderly attorney - WILLIAM FERGUSON. Sharpe's mahogany box rests near a stack of topographical maps and production charts. Alongside, a small alcohol lamp heats a miniature, nickel-plated boiler."
utter13.82,utter,SHARPE,"In the last few years, we scraped together just enough capital to reopen the mines and find what we believe are very encouraging samples."
desc13.83,desc,,He shows the men a rough hunk of iron ore. As they pass it from hand to hand...
utter13.84,utter,CUSHING,"""We,"" you say? Who might that be?"
utter13.85,utter,SHARPE,Mining engineers. Geologists. I have their statements here-
utter13.86,utter,CUSHING,So- you've never done any digging yourself? (beat) In that mountain of yours?
utter13.87,utter,SHARPE,"I'm afraid not. Cushing looks at the others: ""Thought so."" Go on."
utter13.88,utter,CUSHING SHARPE,"As investors in mining, you'll want more than speculation and projections. So"
