segment-id,segment-type,segment-speaker,segment-text
scene1,slugline,,Stanley Kubrick & Frederic Raphael INT BILL & ALICE'S APT - LIVING ROOM - NIGHT
desc1.0,desc,,It is a week before Christmas. The tree is decorated and Christmas cards stand open everywhere in the comfortable Central Park West
scene2,slugline,,apartment.
desc2.1,desc,,"Settled into the couch in the living room, watching TV, are seven year-old , HELENA, and the BABY-SITTER, a young college girl."
scene3,slugline,,BEDROOM
desc3.2,desc,,"BILL and ALICE HARFORD, an attractive couple in their thirties, are in evening clothes preparing to leave for a party. ALICE (looking in mirror) How do I look?"
utter3.3,utter,BILL,You look great.
utter3.4,utter,ALICE,My hair okay?
desc3.5,desc,,You're not even looking at it. Bill kisses her neck.
utter3.6,utter,BILL,It's absolutely beautiful. You always
desc3.7,desc,,look beautiful.
desc3.8,desc,,"Oh, shut up... OK, let's go. They walk into the living room. The baby sitter gets to her feet. BABY-SITTER Oh, you look so-ooo lovely, Mrs."
utter3.9,utter,Harford.,ALICE (laughs)
desc3.10,desc,,"Thank you, Roz."
utter3.11,utter,HELENA,"Yes, Mommy. I took my bath and"
desc3.12,desc,,brushed my teeth. AD-LIBS of praise as BILL and ALICE kiss HELENA goodnight. BABY-SITTER What time do you want Helena to go to bed?
utter3.13,utter,HELENA,"Please, Mommy, can I stay up late"
desc3.14,desc,,tonight and watch the (name of TV show) Ple-eease.
desc3.15,desc,,When is it on?
utter3.16,utter,HELENA ALICE,"Okay, darling, but just for tonight."
desc3.17,desc,,"Thank you, Mommy. The house intercom rings. BILL goes to answer it. DOORMAN (VOICE) Doctor Harford?"
utter3.18,utter,BILL,Yes.
desc3.19,desc,,The car is here.
utter3.20,utter,BILL,"OK, we'll be right down."
desc3.21,desc,,Bill returns to sitting room.
desc3.22,desc,,OK the car's here - let's go.
desc3.23,desc,,"Roz, we might be late tonight but I'll hold the car to take you home. BABY-SITTER Oh, that's great, Doctor Harford."
scene4,slugline,,Thanks very much.
desc4.24,desc,,AD-LIBS of Good nights and have a good time.
scene5,slugline,,EXT HIRED CAR DRIVE-BY (CPW TO 5TH) - NIGHT (2nd Unit) INT CAR - NIGHT
desc5.25,desc,,BILL takes ALICE's hand and gives her a loving wink.
scene6,slugline,,EXT ZIEGLER MIDTOWN MANSION - NIGHT
desc6.26,desc,,BILL'S car pulls up behind a stretch limo.
scene7,slugline,,INT CAR - NIGHT
desc7.27,desc,,The driver hands Bill a clip board with a form attached to it.
utter7.28,utter,DRIVER,"Can you sign this, Doctor?"
desc7.29,desc,,"The doorman, carrying an umbrella, opens the car door."
desc7.30,desc,,"Okay, thanks.."
utter7.31,utter,DRIVER,Thanks. (handing his card) Just phone
