segment-id,segment-type,segment-speaker,segment-text
scene1,slugline,,MIDNIGHT IN PARIS
desc1.0,desc,,"MONTAGE - POV SHOTS OF PARIS SET TO MUSIC We hear voices over - GIL and INEZ, a young couple of Americans, engaged to be married as we shall learn. (Standard locations are listed here but they will be determined later when we location scout. Music."
scene2,slugline,,EXT. MONET'S GARDENS - DAY
utter2.1,utter,GIL (V.O.),This is unbelievable - look at this. There's no city like this in the world. There never was. It's become so touristy.
utter2.2,utter,GIL (V.O.),"Well that's just the awful era we live in but can you just imagine what this was like before - but even with all the fast food joints and the traffic - god, you just can't imagine what it was like years ago."
utter2.3,utter,INEZ (V.O.),Well you like cities.
utter2.4,utter,GIL (V.O.),I really do - I love cities - I love big cities with all the crowds and all the action. (Having seen a panoramic view of let us say the Champs Elysee
desc2.5,desc,,we embark on a montage of the city. The comments offered above and following are an approximation of what the actors
scene3,slugline,,EXT. TBD - DAY
utter3.6,utter,GIL (V.O.),Look at these places - the streets - the boulevards. You act like you've never been here before.
utter3.7,utter,CONTD: GIL (V.O.),I don't get here often enough is the problem. Every once in a while for a few days is nothing - my biggest regret is that I didn't settle here the first time I came. I should have gone with my instincts.
utter3.8,utter,INEZ (V.O.),I admit it's pretty but so are so many other places I've visited.
utter3.9,utter,GIL,If I'd have stayed the first time I came by now I'd be a Parisian. Starving.
scene4,slugline,,EXT. TBD - DAY
utter4.10,utter,GIL (V.O.),I'm thinking of a painting by Pisarro I've seen of Paris in the rain. Can you picture how drop dead gorgeous this city is in the rain? Imagine this town in the
scene5,slugline,,twenties - Paris in the twenties -
utter5.11,utter,INEZ (V.O.),Why does every city have to be in the rain? What's wonderful about getting wet?
utter5.12,utter,GIL (V.O.),It's romantic.
utter5.13,utter,INEZ (V.O.),It's annoying.
utter5.14,utter,CONTD: GIL (V.O.),"Or Paris when it's just getting dark - the lights go on - or at night - it's great at night - or no, sunset on the Champs Elysees -"
utter5.15,utter,GIL (V.O.),Could you ever think of us moving here after we're married?
scene6,slugline,,EXT. TBD - DAY
utter6.16,utter,INEZ (V.O.),"Oh god, no. I could never live out of the United States. And if I could it would be someplace totally different."
utter6.17,utter,GIL (V.O.),Like?
utter6.18,utter,INEZ (V.O.),"I don't know, Hawaii."
utter6.19,utter,GIL (V.O.),Hawaii is America.
utter6.20,utter,INEZ (V.O.),Yes but it's - Hawaiian.
utter6.21,utter,GIL (V.O.),If I had stayed here and written novels and not gotten into grinding out movie scripts.
utter6.22,utter,INEZ (V.O.),"Right, and becoming rich and successful. Tell me the sad story."
utter6.23,utter,GIL (V.O.),"But this is where all the artists came to live, to work - the writers, the painters. That was ninety years ago."
