segment-id,segment-type,segment-speaker,segment-text
utter0.0,utter,Shane Black Bang bang bang,Down you go It's just a job I do
utter0.1,utter,Genesis,"Just a Job to Do You wanna be a detective? Here's what you do: Take a trusted friend, and imagine the worst thing, the most despicable thing, the thing it would never even cross their minds to do. Then assume they've already done it twice."
utter0.2,utter,Joseph R. Hallenbeck,"Private Investigator When you consider that a career in pro foot- ball means maybe ten years, after which you got no legs left, and during which you're a painkiller drug addict, a million a year sounds about right. So when people bitch at me about the money I made, I have a pat response: Go fuck yourself."
utter0.3,utter,James Alexander Dix,"Former quarterback, L.A. Stallions"
scene1,slugline,,INT. DARK BEDROOM
desc1.4,desc,,"The only light, that of a flickering TV screen. A big MAN lies, shirtless, on the bed. Watching a sports program. We hear:"
utter1.5,utter,SPORTS FIGURE (V.O.),"(on TV) Eliminating the draft? Worst thing ever happened to pro football. Already you got Eric Dickerson, no team's good enough for him... You got Dion Sanders, this guy, Bosworth, bunch of peacocks. Nagurski, I saw him play for 25 bucks a game. And he woulda played for free, you get me? He loved the game. Nowadays? Forget about it."
desc1.6,desc,,The TELEPHONE SHRILLS in the stillness. The Man On the Bed answers it. Speaks haltingly.
utter1.7,utter,MAN ON BED,Hello...?
utter1.8,utter,MALE (V.O.),"Hello, Billy. Do you know who this is?"
desc1.9,desc,,Silence.
utter1.10,utter,MALE (V.O.),"Kid from Ohio is looking real good, Billie..."
desc1.11,desc,,The Man's hand unclenches. A container of pills spills over the blanket. He stammers:
utter1.12,utter,MAN ON BED,I'm... I'm gonna... try real hard...
utter1.13,utter,MALE (V.O.),"No, Billy. What you're gonna do ... is rush for 150 yards against Chicago."
utter1.14,utter,MAN ON BED,That's... too much. I can't...
utter1.15,utter,MALE (V.O.),"You can. And you will. This is a business, Billy. You don't make one fifty, you're history, the kid steps in. No more job... and no more pills, Billy. Please... Just give me time..."
utter1.16,utter,MALE (V.O.),One hundred and fifty yards. Goodbye.
desc1.17,desc,,"The PHONE CLICKS off. NFL running back Billy Cole stares straight ahead, mouth working spastically."
scene2,slugline,,AERIAL SHOT - SNOWSTORM
desc2.18,desc,,"OVER Chicago, Illinois, as the CAMERA SPIRALS DOWN TOWARD a teeming football stadium. We hear crowd noise and marching band music, deafeningly loud, as we SUPERIMPOSE the legend:"
scene3,slugline,,"SOLDIER FIELD, CHICAGO NOVEMBER 14 INT. ANNOUNCER'S BOOTH"
desc3.19,desc,,"The BROADCAST TEAM huddles inside the quilted jackets, squinting through the snow. Speaking into headset mikes."
utter3.20,utter,ANNOUNCER,Good afternoon and welcome to
scene4,slugline,,"Soldier Field, Chicago, site of"
utter4.21,utter,L.A. Stallions and the Chicago,"Bears. This is Vern Lindquist with Terry Bradshaw, and, yes, my friends, it is that cold."
scene5,slugline,,INT. LOCKER ROOM - SAME TIME
desc5.22,desc,,"Billy Cole sits, alone, in front of his locker. Eyes glazed. Face bathed in sweat. He takes a bottle of pills from the locker. Pops three. Hisses a stream of air through his teeth as we --"
scene6,slugline,,EXT. FOOTBALL FIELD - DAY (FOURTH QUARTER)
desc6.23,desc,,"A deafening CRUNCH as a defensive back hammers a wide receiver, nearly decapitates him. The ball rolls free. The back recovers it."
utter6.24,utter,ANNOUNCER (V.O.),"... Big Ray Walton puts a devastating hit on Bricmont, so Chicago turns over the ball with a minute and forty seconds left."
scene7,slugline,,EXT. SIDELINES - SAME TIME
desc7.25,desc,,"The injured player goes by on a stretcher, moaning. Cheerleaders jump and frolic."
desc7.26,desc,,"gets up off the bench. The rest of the offensive unit sprints onto the field. Cole walks. Straight ahead, eyes front. Like a robot. His HEARTBEAT THUDS on the soundtrack."
utter7.27,utter,COLOR MAN (V.O.),"And so L.A. has a chance to ice the game, no pun intended... And you gotta be thinking, give the ball to Billy Cole. He has had an outstanding day, racking up 138"
desc7.28,desc,,yards against a tough defense.
scene8,slugline,,DOWN ON FIELD
desc8.29,desc,,"The huddle breaks. The L.A. team trudges through the snow to the line of scrimmage. Cole adopts a three-point stance. Everything happens in hyper-real SLOW MOTION: The snow falls. The receivers breeze past, in motion to begin their patterns. Moving like gazelles. Cole's fingers paw the cold earth. Gouging it. He is like a spring. Coiled and ready. The ball is snapped. Turf and snow. Erupting. A firecracker series of POPS as linemen collide. Legs churning. The ball floats through the snowy air. Pitch-out to Cole. He takes it on the run. Tucks it under his arm. Behind him, the quarterback bites the dust, leveled. Cole turns the corner. Picks up a blocker. Feet pounding. Arms pumping. Up ahead, the free safety barrels toward him. Low and hard. Cole does not blink. He reaches beneath his jersey. Pulls out a GUN. Pumps THREE SHOTS into the free safety's head. The bullets go straight through. On the back of his helmet. A mixture of blood and fiberglass. Cole keeps going, jogging for the end zone. Around him, sound. Fury. Impact. Confusion. Another defensive back. Straight ahead. Reacts with almost comical terror. Dives to one side. Cole FIRES. Blows out the guy's knee. Ends a career. Keeps going. We are now in full-scale panic. The players are fleeing the field. Shouts. Pandemonium. A few brave men gather around the fallen players."
scene9,slugline,,POLICE
